"referendum_id","custom_ballot_id","write_in","image_url","id"
"","","yes","","9575013094"
"","","yes","","9575013097"
"","","yes","","9575013145"
"","","yes","","9575013146"
"","","yes","","9575013193"
"","","yes","","9575013194"
"","","yes","","9575013205"
"","","yes","","9575013221"
"","","yes","","9575013222"
"88575000114","","no","","9575000114"
"","","yes","","9575013095"
"","","yes","","9575013110"
"","","yes","","9575013147"
"","","yes","","9575013157"
"","","yes","","9575013158"
"","","yes","","9575013159"
"","","yes","","9575013203"
"","","yes","","9575013242"
"","","yes","","9575013243"
"","","yes","","9575013096"
"","","yes","","9575013124"
"","","yes","","9575013162"
"","","yes","","9575013163"
"","","yes","","9775013125"
"","","yes","","9775013126"
"","","yes","","9775013127"
"","","yes","","9775013128"
"","","yes","","9575013236"
"","","yes","","9575013102"
"","","yes","","9575013103"
"","","yes","","9575013191"
"","","yes","","9575013192"
"","","yes","","9775013072"
"","","yes","","9575013099"
"","","yes","","9575013141"
"","","yes","","9575013142"
"","","yes","","9575013171"
"","","yes","","9575013172"
"","","yes","","9575013204"
"","","yes","","9575013226"
"","","yes","","9575013227"
"","","yes","","9575013164"
"","","yes","","9575013232"
"","","yes","","9575013240"
"","","yes","","9575013241"
"","","yes","","9575013108"
"","","yes","","9575013186"
"","","yes","","9575013233"
"","","yes","","9575013234"
"","","yes","","9575013235"
"","","yes","","9575013101"
"","","yes","","9575013217"
"","","yes","","9775013111"
"","","yes","","9575013098"
"","","yes","","9575013109"
"","","yes","","9575013143"
"","","yes","","9575013144"
"","","yes","","9575013180"
"","","yes","","9575013181"
"","","yes","","9575013182"
"","","yes","","9575013228"
"","","yes","","9775013063"
"","","yes","","9775013064"
"","","yes","","9775013065"
"","","yes","","9575013114"
"","","yes","","9575013121"
"","","yes","","9575013229"
"","","yes","","9775013087"
"","","yes","","9775013088"
"","","yes","","9775013089"
"","","yes","","9775013090"
"","","yes","","9775013091"
"","","yes","","9575013160"
"","","yes","","9575013161"
"","","yes","","9775013093"
"","","yes","","9775013094"
"","","yes","","9575013223"
"","","yes","","9575013224"
"","","yes","","9575013105"
"","","yes","","9575013133"
"","","yes","","9575013134"
"","","yes","","9575013135"
"","","yes","","9575013169"
"","","yes","","9575013170"
"","","yes","","9575013237"
"","","yes","","9575013238"
"","","yes","","9575013239"
"","","yes","","9575013107"
"","","yes","","9575013139"
"","","yes","","9775013098"
"","","yes","","9575013137"
"","","yes","","9575013199"
"","","yes","","9575013200"
"","","yes","","9575013253"
"","","yes","","9575013254"
"","","yes","","9575013255"
"","","yes","","9575013125"
"","","yes","","9575013126"
"","","yes","","9575013187"
"","","yes","","9575013189"
"","","yes","","9575013225"
"","","yes","","9575013220"
"","","yes","","9575013100"
"","","yes","","9775013092"
"","","yes","","9575013140"
"","","yes","","9575013177"
"","","yes","","9575013178"
"","","yes","","9575013251"
"","","yes","","9575013252"
"","","yes","","9575013117"
"","","yes","","9575013118"
"","","yes","","9575013119"
"","","yes","","9575013120"
"","","yes","","9575013149"
"","","yes","","9575013150"
"","","yes","","9575013151"
"","","yes","","9575013152"
"","","yes","","9775013095"
"","","yes","","9775013097"
"","","yes","","9775013099"
"","","yes","","9775013104"
"","","yes","","9775013105"
"","","yes","","9575013218"
"","","yes","","9775013100"
