"name","eo_id","ovc_id","physical_address_state","physical_address_city","physical_address_line3","physical_address_line2","physical_address_line1","physical_address_location_name","physical_address_zip","mailing_address_state","mailing_address_line1","mailing_address_line2","mailing_address_line3","mailing_address_location_name","mailing_address_zip","mailing_address_city","elections_url","registration_url","am_i_registered_url","absentee_url","where_do_i_vote_url","what_is_on_my_ballot_url","rules_url","voter_services","hours","id"
"Forrest County Office","7777100","","","","","","","Forrest County Office","","MS","P.O BOX 992 ","","","Forrest County Office","39403","HATTIESBURG","","","","","","","","","","6666100"
"Franklin County Office","7777101","","","","","","","Franklin County Office","","MS","P.O BOX 267 ","","","Franklin County Office","39653","MEADVILLE","","","","","","","","","","6666101"
"Grenada County Office","7777104","","MS","GRENADA","","","P. O. BOX 1517","Grenada County Office","38902","MS","P.O BOX 1517 ","","","Grenada County Office","38901","GRENADA","","","","","","","","","","6666104"
"Hinds County Office","7777107","","","","","","","Hinds County Office","","MS","P.O BOX 327 ","","","Hinds County Office","39205","JACKSON","","","","","","","","","","6666107"
"Holmes County Office","7777108","","","","","","","Holmes County Office","","MS","P.O BOX 718","","","Holmes County Office","39095","LEXINGTON","","","","","","","","","","6666108"
"Humphreys County Office","7777109","","","","","","","Humphreys County Office","","MS","P.O BOX 696  ","","","Humphreys County Office","39038","BELZONI","","","","","","","","","","6666109"
"Issaquena County Office","7777110","","","","","","","Issaquena County Office","","MS","P.O BOX 27 ","","","Issaquena County Office","39113","MAYERSVILLE","","","","","","","","","","6666110"
"Itawamba County Office","7777111","","MS","FULTON","","","201 WEST MAIN STREET","Itawamba County Office","38843","MS","201 WEST MAIN STREET","","","Itawamba County Office","38843","FULTON","","","","","","","","","","6666111"
"Jackson County Office","7777112","","","","","","","Jackson County Office","","MS","P.O BOX 998 ","","","Jackson County Office","39568","PASCAGOULA","","","","","","","","","","6666112"
"Jeff Davis County Office","7777115","","","","","","","Jeff Davis County Office","","MS","P.O BOX 1090","","","Jeff Davis County Office","39474","PRENTISS","","","","","","","","","","6666115"
"Jefferson County Office","7777116","","MS","FAYETTE","","","P. O. BOX 305  ","Jefferson County Office","39069","MS","1483 MAIN STREET","","","Jefferson County Office","39069","FAYETTE","","","","","","","","","","6666116"
"Jones County Office","7777117","","MS","LAUREL","","","PO BOX 1336","Jones County Office","39441","MS","P.O BOX 1336 ","","","Jones County Office","39441","LAUREL","","","","","","","","","","6666117"
"Lamar County Office","7777120","","","","","","","Lamar County Office","","MS","P.O BOX 369 ","","","Lamar County Office","39475","PURVIS","","","","","","","","","","6666120"
"Lauderdale County Office","7777121","","MS","MERIDIAN","","","P.O BOX 1005","Lauderdale County Office","39302","MS","P.O BOX 1005","","","Lauderdale County Office","39305"," MERIDIAN","","","","","","","","","","6666121"
"Lee County Office","7777124","","MS","TUPELO","","","P. O. BOX 762","Lee County Office","38802","MS","P.O BOX 762  ","","","Lee County Office","38802","TUPELO","","","","","","","","","","6666124"
"Leflore County Office","7777125","","MS","GREENWOOD","","","P.O. BOX 1953","Leflore County Office","38935","MS","P.O BOX 1953  ","","","Leflore County Office","38935","GREENWOOD","","","","","","","","","","6666125"
"Lowndes County Office","7777127","","MS","COLUMBUS","","","P O BOX 31","Lowndes County Office","39703","MS","P.O BOX 31","","","Lowndes County Office","39703","COLUMBUS","","","","","","","","","","6666127"
"Lowndes County Office","7777127","","MS","COLUMBUS","","","P.O. BOX 31, ","Lowndes County Office","39703","MS","P.O BOX 31","","","Lowndes County Office","39703","COLUMBUS","","","","","","","","","","6666127"
"Madison County Office","7777128","","MS","CANTON","","","P O DRAWER1626","Madison County Office","39046","MS","P.O BOX DRAWER 1626  ","","","Madison County Office","39046","CANTON","","","","","","","","","","6666128"
"Marion County Office","7777129","","","","","","","Marion County Office","","MS","250 BROAD STREET, SUITE 1","","","Marion County Office","39429","COLUMBIA","","","","","","","","","","6666129"
"Marshall County Office","7777130","","MS","HOLLY SPRINGS","","","P O BOX 459



","Marshall County Office","38635","MS","128 E VAN DORN AVE
 ","","","Marshall County Office","38635","HOLLY SPRINGS","","","","","","","","","","6666130"
"Monroe County Office","7777131","","MS","ABERDEEN","","","P O BOX 843","Monroe County Office","39730","MS","301 SOUTH CHESTNUT STREET","","","Monroe County Office","39730","ABERDEEN","","","","","","","","","","6666131"
"Montgomery County Office","7777132","","MS","WINONA","","","P. O. BOX 765","Montgomery County Office","38967","MS","614 SUMMIT STREET","","","Montgomery County Office","38967","WINONA","","","","","","","","","","6666132"
"Oktibbeha County Office","7777136","","MS","STARKVILLE","","","108 W MAIN STREET
SUITE 118    ","Oktibbeha County Office","39759","MS","108 W MAIN STREET
SUITE 118


","","","Oktibbeha County Office","39759","STARKVILLE","","","","","","","","","","6666136"
"Pearl River County Office","7777138","","","","","","","Pearl River County Office","","MS","200 SOUTH MAIN","","","Pearl River County Office","39470","POPLARVILLE","","","","","","","","","","6666138"
