"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"EUDORA WELTY LIBRARY","300 N STATE ST","","","JACKSON","MS","39201","","","","13131"
"EUDORA WELTY LIBRARY","300 NORTH STATE ST","","","JACKSON","MS","39201","","","","13131"
"PEOPLES FUNERAL HOME","886 N FARISH ST","","","JACKSON","MS","39202","","","","13133"
"ROWAN MIDDLE SCHOOL","136 E ASH ST","","","JACKSON","MS","39202","","","","13135"
"ROWAN MIDDLE SCHOOL","136 E ASH ST
","","","JACKSON","MS","39202","","","","13135"
"GOOD SAMARITAN CENTER, INC","114 MILLSAPS AVE","","","JACKSON","MS","39202","","","","13138"
"FIRE STATION #5","1810 N STATE ST","","","JACKSON","MS","39202","","","","131310"
"FIRE STATION #5","1810 NORTH STATE ST","","","JACKSON","MS","39202","","","","131310"
"BELHAVEN COLLEGE","1500 PEACHTREE ST","","","JACKSON","MS","39202","","","","131312"
"GALLOWAY ELEMENTARY SCHOOL","186 IDLEWILD ST","","","JACKSON","MS","39203","","","","131314"
"JACKSON MEDICAL MALL","300 W WOODROW WILSON AVE","","","JACKSON ","MS","39213","","","","131315"
"JACKSON MEDICAL MALL","300 WEST WOODROW WILSON AVE","","","JACKSON","MS","39213","","","","131315"
"INSTITUTIONAL AME CHURCH","3032 BISHOP ST","","","JACKSON","MS","39213","","","","131316"
"WALTON ELEMENTARY SCHOOL","3200 BAILEY AVE","","","JACKSON","MS","39213","","","","131317"
"FONDREN PRESBYTERIAN CHURCH","3220 OLD CANTON RD","","","JACKSON","MS","39216","","","","131318"
"WOODLAND HILLS BAPTIST CHURCH","3327 OLD CANTON RD","","","JACKSON","MS","39216","","","","131321"
"ST JAMES EPISCOPAL CHURCH","3921 OAK RIDGE DR","","","JACKSON","MS","39216","","","","131322"
"WELLS MEMORIAL UNITED METH CHURCH","2019 BAILEY AVE","","","JACKSON","MS","39213","","","","131323"
"CHERRY GROVE MISSIONARY BAPT. CHURCH","1296 MARTIN LUTHER KING JR DR","","","JACKSON","MS","39203","","","","131324"
"CHERRY GROVE MISSIONARY BAPT. CHURCH","1296 MARTIN LUTHER KING JR. DR","","","JACKSON","MS","39203","","","","131324"
"LANIER HIGH SCHOOL","833 W MAPLE ST","","","JACKSON","MS","39203","","","","131326"
"GEORGE KURTS FIELDHOUSE","125 GYMNASIUM DR
(OFF BULLARD ST)","","","JACKSON","MS","39209","","","","131327"
"FIRE STATION #20","4445 MEDGAR EVERS BLVD","","","JACKSON","MS","39213","","","","131328"
"MEDGAR EVERS MUNICIPAL LIBRARY","4215 MEDGAR EVERS BLVD","","","JACKSON","MS","39213","","","","131329"
"FRENCH ELEMENTARY SCHOOL","311 JOEL AVE","","","JACKSON","MS","39209","","","","131330"
"RAINES ELEMENTARY SCHOOL","156 FLAG CHAPEL DR","","","JACKSON","MS","39209","","","","131331"
"FIRE STATION #15","4943 CLINTON BLVD","","","JACKSON","MS","39209","","","","131332"
"GROVE PARK COMMUNITY CENTER","4126 PARKWAY AVE","","","JACKSON","MS","39213","","","","131333"
"GOLDEN KEY COMMUNITY CENTER","3450 ALBERMARLE RD","","","JACKSON","MS","39213","","","","131334"
"POWELL MIDDLE SCHOOL","3655 LIVINGSTON RD","","","JACKSON","MS","39213","","","","131335"
"FAITH PRESBYTERIAN CHURCH","3255 BAILEY AVE","","","JACKSON","MS","39213","","","","131336"
"JOHNSON ELEMENTARY SCHOOL","1339 OAK PARK DR","","","JACKSON","MS","39213","","","","131338"
"FIRE STATION #16","1400 LAKELAND DR","","","JACKSON","MS","39216","","","","131339"
"CASEY ELEMENTARY SCHOOL","2101 LAKE CIRCLE","","","JACKSON","MS","39211","","","","131340"
"WILLIE MORRIS LIBRARY","4912 OLD CANTON RD","","","JACKSON","MS","39211","","","","131341"
"SPANN ELEMENTARY SCHOOL","1615 BRECON DR","","","JACKSON","MS","39211","","","","131343"
"MCLEOD ELEMENTARY SCHOOL","1616 SANDALWOOD PL","","","JACKSON","MS","39211","","","","131345"
"BOYD ELEMENTARY SCHOOL","4531 BROADMEADOW DR AT NORTHSIDE","","","JACKSON","MS","39206","","","","131346"
"CHASTAIN ELEMENTARY SCHOOL","4650 MANHATTAN RD","","","JACKSON","MS","39206","","","","131348"
"FIRE STATION #7","4625 NORTH STATE ST","","","JACKSON","MS","39206","","","","131349"
"COLLINS NORTHSIDE CHAPEL","4612 W NORTHSIDE DR","","","JACKSON","MS","39206","","","","131350"
"COLLINS NORTHSIDE CHAPEL","4612 WEST NORTHSIDE DR","","","JACKSON","MS","39206","","","","131350"
"GREEN ELEMENTARY SCHOOL","610 FOREST AVE","","","JACKSON","MS","39206","","","","131351"
"MCWILLIE ELEMENTARY SCHOOL","4851 MCWILLIE DR","","","JACKSON","MS","39206","","","","131352"
"FRESH START CHRISTIAN CHURCH","5210 MANHATTAN RD","","","JACKSON","MS","39206","","","","131353"
"NEW JERUSALEM BAPTIST CHURCH","5708 OLD CANTON RD","","","JACKSON","MS","39211","","","","131354"
"ST PHILLIPS EPISCOPAL CHURCH","5400 OLD CANTON RD","","","JACKSON","MS","39211","","","","131355"
"CHRIST UNITED METHODIST CHURCH","6000 OLD CANTON RD","","","JACKSON","MS","39211","","","","131356"
"BATTLEFIELD PARK RED CENTER","953 W PORTER ST","","","JACKSON","MS","39204","","","","131357"
"JACKSON STATE UNIVERSITY","JACOB L REDDIX CAMPUS UNION
1400 J R LYNCH ST","","","JACKSON","MS","39217","","","","131359"
"ENOCHS OFFICE COMPLEX","101 NEAR STREET","","","JACKSON","MS","39203","","","","131360"
"BLACKBURN MIDDLE SCHOOL","1311 W PEARL ST","","","JACKSON","MS","39203","","","","131361"
"CALVARY BAPTIST CHURCH","160 N GREEN ST
ACTIVITY BLDG","","","JACKSON","MS","39203","","","","131362"
"CALVARY BAPTIST CHURCH","ACTIVITY BLDG
160 N GREEN ST","","","JACKSON","MS","39203","","","","131362"
"HARDY MIDDLE SCHOOL","545 ELLIS AVE","","","JACKSON","MS","39209","","","","131364"
"POLICE TRAINING CENTER","3000 ST CHARLES ST","","","JACKSON","MS","39209","","","","131365"
"FIRE STATION #6","101 LIVINGSTON PARK DR","","","JACKSON","MS","39209","","","","131366"
"PECAN PARK ELEM SCHOOL","415 CLAIBORNE AVE","","","JACKSON","MS","39209","","","","131367"
"PEARL ST AME CHURCH","2519 ROBINSON RD
ACTIVITY BLDG","","","JACKSON","MS","39209","","","","131368"
