"precinct_id","polling_location_id"
"7013","13133313"
"7014","13133314"
"7016","13133316"
"7019","13133319"
"7021","13133321"
"7022","13133322"
"7023","13133323"
"7024","13133324"
"7026","13133326"
"7027","13133327"
"7029","13133329"
"7030","13133330"
"7031","13133331"
"7032","13133332"
"7033","13133333"
"7034","13133334"
"7035","13133336"
"7037","13133337"
"7040","13133340"
"7027",""
"5164","13132358"
"7031",""
"5170","13132365"
"7024",""
"7019",""
"7032",""
"7037",""
"7014",""
"7023",""
"7016",""
"7029",""
"5168","13132362"
"7026",""
"7030",""
"7021",""
"7013",""
"7034",""
"7022",""
"5165","13132359"
"7040",""
"7035",""
"5167","13132361"
"7033",""
"3052","13131317"
"3127","13131336"
"7027",""
"3041","13131307"
"3124","13131334"
"7031",""
"3094","13131331"
"3019","13131300"
"5164",""
"3080","13131321"
"5168",""
"7024",""
"7019",""
"3044","13131310"
"7032",""
"3020","13131301"
"3081","13131322"
"3036","13131304"
"7037",""
"3018","13131299"
"3066","13131319"
"3048","13131313"
"7014",""
"7023",""
"3089","13131327"
"7016",""
"7029",""
"3030","13131302"
"3096","13131333"
"5165",""
"3125","13131335"
"5170",""
"3045","13131311"
"3079","13131320"
"3038","13131305"
"7026",""
"3043","13131309"
"3049","13131314"
"7030",""
"7021",""
"7013",""
"7034",""
"7022",""
"3093","13131330"
"7040",""
"3088","13131326"
"3128","13131337"
"7035",""
"3091","13131328"
"5167",""
"3095","13131332"
"7033",""
"3096",""
"7027",""
"3081",""
"5544","13132485"
"3088",""
"3094",""
"7031",""
"3038",""
"5164",""
"5534","13132475"
"5168",""
"3049",""
"7024",""
"5537","13132478"
"7019",""
"3079",""
"7032",""
"3066",""
"5545","13132486"
"3080",""
"7037",""
"3095",""
"3052",""
"7014",""
"5531","13132472"
"7023",""
"3127",""
"5526","1313750000002"
"3044",""
"7016",""
"7029",""
"3019",""
"3124",""
"5538","13132479"
"3018",""
"5165",""
"5170",""
"3020",""
"3125",""
"5525","13132466"
"7026",""
"7030",""
"3030",""
"3093",""
"7021",""
"7013",""
"7034",""
"3043",""
"5532","13132473"
"3091",""
"3041",""
"7022",""
"3036",""
"3045",""
"3089",""
"3128",""
"7040",""
"3048",""
"5529","13132470"
"7035",""
"5167",""
"7033",""
"1868","13131093"
"1879","13131104"
"3096",""
"7027",""
"3081",""
"1869","13131094"
"1863","13131088"
"3088",""
"3094",""
"7031",""
"3038",""
"5164",""
"5168",""
"3049",""
"7024",""
"7019",""
"1865","13131090"
"3079",""
"7032",""
"3066",""
"3080",""
"1874","13131099"
"7037",""
"5537",""
"3095",""
"1878","13131103"
"3052",""
"5525",""
"7014",""
"7023",""
"3127",""
"5526",""
"3044",""
"7016",""
"7029",""
"3019",""
"3124",""
"3018",""
"1867","13131092"
"750000005","1313500000072"
"5165",""
"5538",""
"5170",""
"750000004","1313500000073"
"1876","13131101"
"3020",""
"3125",""
"5532",""
"7026",""
"5534",""
"1864","13131089"
"7030",""
"5529",""
"3030",""
"3093",""
"1866","13131091"
"7021",""
"7013",""
"7034",""
"3043",""
"5545",""
"3091",""
"3041",""
"7022",""
"3036",""
"3045",""
"3089",""
"3128",""
"7040",""
"3048",""
"750000006","1313500000074"
"7035",""
"5531",""
"5167",""
"5544",""
"7033",""
"3096",""
"7027",""
"3081",""
"750000006",""
"7249","13133446"
"3088",""
"3094",""
"7031",""
"3038",""
"1876",""
"5164",""
"1867",""
"7246","13133432"
"5168",""
"7252","13133448"
"3049",""
"7024",""
"7019",""
"750000005",""
"1874",""
"7251","13133447"
"3079",""
"1869",""
"7032",""
"3066",""
"7255","13133451"
"3080",""
"7245","13133430"
"7037",""
"5537",""
"3095",""
"7257","13133453"
"3052",""
"5525",""
"7243","13133427"
"7014",""
"7248","13133445"
"7023",""
"3127",""
"5526",""
"1864",""
"7256","13133452"
"1879",""
"3044",""
"7016",""
"1866",""
"7029",""
"3019",""
"3124",""
"3018",""
"5165",""
"750000004",""
"5538",""
"5170",""
"1868",""
"3020",""
"3125",""
"5532",""
"7244","13133428"
"7026",""
"5534",""
"7030",""
"5529",""
"3030",""
"3093",""
"7021",""
"7013",""
"7034",""
"3043",""
"5545",""
"3091",""
"3041",""
"1863",""
"7022",""
"3036",""
"7242","13133426"
"3045",""
"1865",""
"3089",""
"3128",""
"7040",""
"3048",""
"7247","13133434"
"1878",""
"7035",""
"7253","13133449"
"5531",""
"5167",""
"5544",""
"7033",""
"6464",""
"6472",""
"3096",""
"7027",""
"3081",""
"7255",""
"6476",""
"750000006",""
"3088",""
"3094",""
"7031",""
"3038",""
"1876",""
"7253",""
"5164",""
"1867",""
"7244",""
"6460",""
"7246",""
"6477",""
"5168",""
"3049",""
"7024",""
"7019",""
"750000005",""
"1874",""
"3079",""
"1869",""
"7032",""
"3066",""
"3080",""
"6473",""
"7251",""
"7037",""
"5537",""
"3095",""
"7242",""
"3052",""
"6462",""
"5525",""
"7014",""
"6466",""
"7023",""
"5526",""
"1864",""
"3127",""
"7247",""
"1879",""
"3044",""
"7016",""
"1866",""
"6467",""
"6475",""
"7029",""
"3019",""
"3124",""
"3018",""
"6478",""
"750000004",""
"5165",""
"5538",""
"7256",""
"1868",""
"5170",""
"3020",""
"7245",""
"3125",""
"5532",""
"7026",""
"5534",""
"7030",""
"5529",""
"3030",""
"6469",""
"6471",""
"3093",""
"7021",""
"7013",""
"7034",""
"3043",""
"6465",""
"5545",""
"3091",""
"3041",""
"7248",""
"1863",""
"7022",""
"3036",""
"3045",""
"7249",""
"6470",""
"1865",""
"3089",""
"3128",""
"7040",""
"6463",""
"7257",""
"3048",""
"1878",""
"6474",""
"7035",""
"6468",""
"5531",""
"5544",""
"5167",""
"7243",""
"7252",""
"7033",""
"6461",""
"3670","13131630"
"6472",""
"6464",""
"3096",""
"7027",""
"3081",""
"7255",""
"6476",""
"3681","13131641"
"575000158","1313575000009"
"750000006",""
"3675","13131635"
"3088",""
"3094",""
"7031",""
"3038",""
"3688","13131648"
"1876",""
"7253",""
"5164",""
"1867",""
"7244",""
"6460",""
"7246",""
"6477",""
"5168",""
"3049",""
"7024",""
"3683","13131643"
"7019",""
"750000005",""
"1874",""
"3079",""
"1869",""
"7032",""
"3066",""
"3671","13131631"
"3680","13131640"
"3080",""
"6473",""
"7251",""
"3676","13131636"
"7037",""
"5537",""
"3095",""
"7242",""
"3052",""
"6462",""
"5525",""
"3687","13131647"
"7014",""
"6466",""
"7023",""
"5526",""
"1864",""
"3127",""
"7247",""
"3682","13131642"
"1879",""
"3044",""
"3677","13131637"
"7016",""
"1866",""
"6467",""
"6475",""
"7029",""
"3019",""
"3124",""
"3685","13131645"
"3018",""
"6478",""
"3684","13131644"
"750000004",""
"5165",""
"5538",""
"7256",""
"1868",""
"5170",""
"3673","13131633"
"3020",""
"7245",""
"3125",""
"3686","13131646"
"5532",""
"7026",""
"5534",""
"7030",""
"5529",""
"3030",""
"6469",""
"6471",""
"3093",""
"7021",""
"7013",""
"7034",""
"3043",""
"3672","13131632"
"6465",""
"5545",""
"3091",""
"3041",""
"7248",""
"1863",""
"7022",""
"3036",""
"3045",""
"7249",""
"3674","13131634"
"1865",""
"6470",""
"3089",""
"3128",""
"3689","13131649"
"7040",""
"6463",""
"7257",""
"3048",""
"1878",""
"6474",""
"7035",""
"6468",""
"5531",""
"5544",""
"5167",""
"7243",""
"7252",""
"7033",""
"6461",""
"3671",""
"6472",""
"6464",""
"3096",""
"7027",""
"3081",""
"7255",""
"6476",""
"3685",""
"3670",""
"750000006",""
"6786","13133149"
"3088",""
"3094",""
"7031",""
"3038",""
"1876",""
"7253",""
"5164",""
"3682",""
"1867",""
"7244",""
"575000158",""
"7246",""
"6460",""
"5168",""
"6477",""
"6769","13133132"
"3049",""
"6768","13133131"
"7024",""
"7019",""
"3687",""
"750000005",""
"1874",""
"3677",""
"3079",""
"1869",""
"7032",""
"3066",""
"6784","13133147"
"3080",""
"6473",""
"7251",""
"3673",""
"7037",""
"5537",""
"6785","13133148"
"3095",""
"7242",""
"6776","13133139"
"3052",""
"6462",""
"5525",""
"7014",""
"6466",""
"7023",""
"3127",""
"5526",""
"1864",""
"7247",""
"1879",""
"3676",""
"3044",""
"6787","13133150"
"7016",""
"1866",""
"6467",""
"7029",""
"6475",""
"3680",""
"3019",""
"3124",""
"3686",""
"3018",""
"6773","13133136"
"6478",""
"6783","13133146"
"5165",""
"750000004",""
"5538",""
"7256",""
"3684",""
"5170",""
"1868",""
"3672",""
"3020",""
"7245",""
"3125",""
"6779",""
"5532",""
"7026",""
"5534",""
"3689",""
"7030",""
"6772","13133135"
"5529",""
"3030",""
"6469",""
"6471",""
"3093",""
"7021",""
"7013",""
"7034",""
"3043",""
"5545",""
"6465",""
"3091",""
"3041",""
"3683",""
"1863",""
"7248",""
"7022",""
"3688",""
"3036",""
"3045",""
"7249",""
"1865",""
"6470",""
"3089",""
"3128",""
"3681",""
"6774","13133137"
"7040",""
"6463",""
"3048",""
"7257",""
"6781","13133144"
"1878",""
"6474",""
"3675",""
"7035",""
"6468",""
"5531",""
"5167",""
"5544",""
"6780","13133143"
"7243",""
"7252",""
"3674",""
"7033",""
"6461",""
"3671",""
"6472",""
"6464",""
"3096",""
"7027",""
"3081",""
"7255",""
"6476",""
"3685",""
"6787",""
"6780",""
"3670",""
"6769",""
"750000006",""
"3088",""
"3094",""
"7031",""
"7147","13133369"
"3038",""
"1876",""
"7253",""
"7137","13133359"
"5164",""
"3682",""
"1867",""
"7244",""
"7135","13133357"
"7148","13133370"
"575000158",""
"7246",""
"6460",""
"5168",""
"6477",""
"3049",""
"7024",""
"7019",""
"3687",""
"750000005",""
"1874",""
"3677",""
"3079",""
"1869",""
"7032",""
"3066",""
"6774",""
"3080",""
"6473",""
"7251",""
"3673",""
"7037",""
"7146","13133368"
"5537",""
"3095",""
"7242",""
"3052",""
"6462",""
"5525",""
"7014",""
"6466",""
"6783",""
"7023",""
"3127",""
"5526",""
"1864",""
"7247",""
"1879",""
"3676",""
"3044",""
"7016",""
"1866",""
"6467",""
"7029",""
"6475",""
"3680",""
"3019",""
"3124",""
"3686",""
"7138","13133360"
"3018",""
"7144","13133366"
"6478",""
"5165",""
"750000004",""
"5538",""
"7256",""
"3684",""
"5170",""
"1868",""
"3672",""
"7139","13133361"
"3020",""
"7245",""
"3125",""
"6779",""
"6772",""
"5532",""
"7026",""
"5534",""
"3689",""
"7030",""
"5529",""
"3030",""
"6776",""
"6469",""
"6471",""
"3093",""
"7021",""
"7013",""
"6785",""
"7034",""
"3043",""
"5545",""
"6465",""
"3091",""
"6786",""
"3041",""
"3683",""
"1863",""
"7248",""
"7143","13133365"
"7022",""
"3688",""
"3036",""
"6768",""
"7145","13133367"
"3045",""
"7249",""
"1865",""
"6470",""
"3089",""
"3128",""
"3681",""
"7040",""
"6463",""
"3048",""
"7257",""
"1878",""
"7141","13133363"
"7140","13133362"
"6474",""
"6773",""
"3675",""
"7035",""
"6468",""
"5531",""
"5167",""
"5544",""
"7136","13133358"
"6784",""
"6781",""
"7243",""
"7252",""
"3674",""
"7033",""
"6461",""
"5333","1313575000329"
"3671",""
"6472",""
"6464",""
"3096",""
"7027",""
"3081",""
"7255",""
"6476",""
"5344","13132454"
"6787",""
"3685",""
"6780",""
"3670",""
"7137",""
"6769",""
"750000006",""
"3088",""
"3094",""
"5348","13132458"
"7031",""
"3038",""
"7139",""
"1876",""
"7253",""
"5164",""
"3682",""
"1867",""
"7244",""
"5336","13132444"
"575000158",""
"6460",""
"7246",""
"6477",""
"5168",""
"3049",""
"5349","1313775000339"
"7024",""
"5335","13132443"
"3687",""
"7019",""
"750000005",""
"7141",""
"1874",""
"3677",""
"3079",""
"1869",""
"7032",""
"3066",""
"6774",""
"3080",""
"6473",""
"3673",""
"7251",""
"7037",""
"5537",""
"3095",""
"7242",""
"7143",""
"3052",""
"6462",""
"5525",""
"5337","13132445"
"7014",""
"6466",""
"6783",""
"7023",""
"5526",""
"1864",""
"3127",""
"7247",""
"7146",""
"1879",""
"3676",""
"3044",""
"5342","13132452"
"7016",""
"1866",""
"6467",""
"6475",""
"7029",""
"3680",""
"3019",""
"3124",""
"3686",""
"3018",""
"6478",""
"750000004",""
"5165",""
"5538",""
"7256",""
"3684",""
"1868",""
