"name","eo_id","ovc_id","physical_address_state","physical_address_city","physical_address_line3","physical_address_line2","physical_address_line1","physical_address_location_name","physical_address_zip","mailing_address_state","mailing_address_line1","mailing_address_line2","mailing_address_line3","mailing_address_location_name","mailing_address_zip","mailing_address_city","elections_url","registration_url","am_i_registered_url","absentee_url","where_do_i_vote_url","what_is_on_my_ballot_url","rules_url","voter_services","hours","id"
"ADAMS COUNTY","3910001","","OH","West Union","","Room 103","215 N. Cross St. ","Adams County","45693","","","","","","","","http://www.electionsonthe.net/oh/Adams/","","","","","","","","8:30 a.m. - 4:00 p.m.","3920001"
"CARROLL COUNTY","39100010","","OH","Carrollton","","Suite 102","119 S. Lisbon St.","Carroll County Courthouse","43950","","","","","","","","http://www.carrollcountyboe.com","","","","","","","","8:00 a.m. - 4:00 p.m.","39200010"
"CHAMPAIGN COUNTY","39100011","","OH","Urbana","","Suite L100","1512 South U.S. Hwy 68","Champaign County","43950","","","","","","","","http://www.electionsonthe.net/OH/CHAMPAIGN","","","","","","","","8:00 a.m. - 4:00 p.m.","39200011"
"CLARK COUNTY","39100012","","OH","Springfield","","","3130 E. Main St.","Clark County","43950","","","","","","","","http://www.electionsonthe.net/oh/clark","","","","","","","","8:00 a.m. - 4:30 p.m.","39200012"
"CLERMONT COUNTY","39100013","","OH","Batavia","","","76 S. Riverside Dr.","Clermont County","43950","","","","","","","","http://www.clermontelections.org","","","","","","","","8:00 a.m. - 4:30 p.m.","39200013"
"CLINTON COUNTY","39100014","","OH","Wilmington","","Room 126","46 S. South St.","Clinton County","43950","","","","","","","","http://www.electionsonthe.net/Oh/Clinton","","","","","","","","8:30 a.m. - 4:00 p.m.","39200014"
"COLUMBIANA COUNTY","39100015","","OH","Lisbon","","Suite 3","7989 Dickey Dr.","Columbiana County","43950","","","","","","","","http://www.columbianaboe.org","","","","","","","","8:00 a.m. - 4:00 p.m.","39200015"
"COSHOCTON COUNTY","39100016","","OH","Coshocton","","Room 100","724 S. Seventh St.","Coshocton County","43950","","","","","","","","http://www.coshoctoncounty.net/agency/boe/index.php","","","","","","","","8:00-4:00 p.m.","39200016"
"CRAWFORD COUNTY","39100017","","OH","Bucyrus","","Suite A","112 East Mansfield St.","Crawford County","43950","","","","","","","","http://sites.google.com/site/crawfordboe/home","","","","","","","","8:30 a.m. - 4:30 p.m.","39200017"
"CUYAHOGA COUNTY","39100018","","OH","Cleveland","","","2925 Euclid Ave.","Cuyahoga County","43950","","","","","","","","http://boe.cuyahogacounty.us","","","","","","","","8:30 a.m. - 4:30 p.m.","39200018"
"DARKE COUNTY","39100019","","OH","Greenville","","Suite 7","300 Garst Ave.","Darke County","43950","","","","","","","","http://www.electionsonthe.net/oh/Darke","","","","","","","","8:30 a.m. - 4:30 p.m.","39200019"
"ALLEN COUNTY","3910002","","OH","Lima","","Lower Level","204 N. Main St.","Allen County","45801","","","","","","","","http://www.allencountyohio.com/boe","","","","","","","","8:30 a.m. - 4:30 p.m.","3920002"
"DEFIANCE COUNTY","39100020","","OH","Defiance","","Suite 103","1300 E. Second St.","Defiance County","43950","","","","","","","","http://www.defiance-county.com/boardofelections","","","","","","","","8:30 a.m. - 4:30 p.m.","39200020"
"DELAWARE COUNTY","39100021","","OH","Delaware","","","2079 U.S. 23 North","Delaware County","43950","","","","","","","","http://www.co.delaware.oh.us/boe/","","","","","","","","8:00 a.m. - 4:30 p.m.","39200021"
"ERIE COUNTY","39100022","","OH","Sandusky","","Room 101","2900 Columbus Ave.","Erie County","43950","","","","","","","","http://www.electionsonthe.net/oh/Erie","","","","","","","","8:00 a.m. - 4:00 p.m.","39200022"
"FAIRFIELD COUNTY","39100023","","OH","Lancaster","","","951 Liberty Dr.","Fairfield County","43950","","","","","","","","http://www.fairfieldelections.com","","","","","","","","8:00 a.m. - 5:00 p.m.","39200023"
"FAYETTE COUNTY","39100024","","OH","Washington Court House","","","135 S. Main St.","Fayette County","43950","","","","","","","","http://www.electionsonthe.net/oh/fayette","","","","","","","","9:00 a.m. - 4:00 p.m.","39200024"
"FRANKLIN COUNTY","39100025","","OH","Columbus","","","1700 Morse Road","Franklin County","43950","","","","","","","","http://vote.franklincountyohio.gov","","","","","","","","8:00 a.m. - 5:00 p.m.","39200025"
"FULTON COUNTY","39100026","","OH","Wauseon","","","135 Court House Plaza","Fulton County","43950","","","","","","","","http://www.fultoncountyoh.com/boardofelections","","","","","","","","9:00 a.m. - 4:00 p.m.","39200026"
"GALLIA COUNTY","39100027","","OH","Gallipolis","","2nd Floor","18 Locust St.","Gallia County Courthouse","43950","","","","","","","","http://www.gallianet.net/index.php/gallia-county/board-of-elections","","","","","","","","8:30 a.m. - 4:00 p.m.","39200027"
"GEAUGA COUNTY","39100028","","OH","Chardon","","","470 Center St. - Building 6A","Geauga County","43950","","","","","","","","http://www.co.geauga.oh.us/Departments","","","","","","","","8:00 a.m. - 4:30 p.m.","39200028"
"GREENE COUNTY","39100029","","OH","Xenia","","","551 Ledbetter Rd.","Greene County","43950","","","","","","","","http://www.co.greene.oh.us/index.aspx?nid=128","","","","","","","","8:00 a.m. - 4:30 p.m.","39200029"
"ASHLAND COUNTY","3910003","","OH","Ashland","","","110 Cottage St.","Ashland County","44805","","","","","","","","http://www.ashlandboe.com","","","","","","","","8:00 a.m. - 4:00 p.m.","3920003"
"GUERNSEY COUNTY","39100030","","OH","Cambridge","","Suite 101","627 Wheeling Ave.","Guernsey County","43950","","","","","","","","http://sites.google.com/site/guernseycountyboe/Home","","","","","","","","9:00 a.m. - 4:30 p.m.","39200030"
"HAMILTON COUNTY","39100031","","OH","Cincinnati","","","824 Broadway","Hamilton County","43950","","","","","","","","http://www.votehamiltoncounty.org","","","","","","","","8:00 a.m. - 4:00 p.m.","39200031"
"HANCOCK COUNTY","39100032","","OH","Findlay","","Rear","201 E. Lincoln St.","Hancock County","43950","","","","","","","","http://www.hancockboardofelections.com","","","","","","","","8:30 a.m. - 4:30 p.m.","39200032"
"HARDIN COUNTY","39100033","","OH","Kenton","","Suite 40","One Court House Sq.","Hardin County","43950","","","","","","","","http://www.hardincountyelections.com","","","","","","","","8:30 a.m. - 4:00 p.m.","39200033"
"HARRISON COUNTY","39100034","","OH","Cadiz","","Suite B","538 N. Main St.","Harrison County","43950","","","","","","","","http://www.electionsonthe.net/oh/harrison","","","","","","","","8:00 a.m. - 4:00 p.m.","39200034"
"HENRY COUNTY","39100035","","OH","Napoleon","","","1827 Oakwood Ave.","Henry County","43950","","","","","","","","http://www.henrycoelections.com","","","","","","","","8:30 a.m. - 4:30 p.m.","39200035"
