"name","type","number","id"
"01","CONGRESSIONAL_DISTRICT","1","3960001"
"02","COURT_OF_APPEALS","2","3960002"
"03","COURT_OF_APPEALS","3","3960003"
"06","STATE_SENATE_DISTRICT","6","3960004"
"07","STATE_REPRESENTATIVE_DISTRICT","7","3960005"
"07","STATE_SENATE_DISTRICT","7","3960006"
"08","STATE_REPRESENTATIVE_DISTRICT","8","3960007"
"08","STATE_SENATE_DISTRICT","8","3960008"
"09","STATE_REPRESENTATIVE_DISTRICT","9","3960009"
"09","STATE_SENATE_DISTRICT","9","39600010"
"10","STATE_REPRESENTATIVE_DISTRICT","10","39600011"
"10","STATE_SENATE_DISTRICT","10","39600012"
"11","STATE_SENATE_DISTRICT","11","39600013"
"14","CONGRESSIONAL_DISTRICT","14","39600014"
"15","CONGRESSIONAL_DISTRICT","15","39600015"
"23","STATE_SENATE_DISTRICT","23","39600016"
"26","STATE_REPRESENTATIVE_DISTRICT","26","39600017"
"26","STATE_SENATE_DISTRICT","26","39600018"
"27","STATE_REPRESENTATIVE_DISTRICT","27","39600019"
"28","STATE_REPRESENTATIVE_DISTRICT","28","39600020"
"28","STATE_SENATE_DISTRICT","28","39600021"
"29","STATE_REPRESENTATIVE_DISTRICT","29","39600022"
"29","STATE_SENATE_DISTRICT","29","39600023"
"2ND WARD","WARD","","39600024"
"37","STATE_REPRESENTATIVE_DISTRICT","37","39600025"
"38","STATE_REPRESENTATIVE_DISTRICT","38","39600026"
"39","STATE_REPRESENTATIVE_DISTRICT","39","39600027"
"40","STATE_REPRESENTATIVE_DISTRICT","40","39600028"
"41","STATE_REPRESENTATIVE_DISTRICT","41","39600029"
"42","STATE_REPRESENTATIVE_DISTRICT","42","39600030"
"4TH WARD","WARD","","39600031"
"58","STATE_REPRESENTATIVE_DISTRICT","58","39600032"
"59","STATE_REPRESENTATIVE_DISTRICT","59","39600033"
"61","STATE_REPRESENTATIVE_DISTRICT","61","39600034"
"62","STATE_REPRESENTATIVE_DISTRICT","62","39600035"
"64","STATE_REPRESENTATIVE_DISTRICT","64","39600036"
"74","STATE_REPRESENTATIVE_DISTRICT","74","39600037"
"75","STATE_REPRESENTATIVE_DISTRICT","75","39600038"
"76","STATE_REPRESENTATIVE_DISTRICT","76","39600039"
"77","STATE_REPRESENTATIVE_DISTRICT","77","39600040"
"80","STATE_REPRESENTATIVE_DISTRICT","80","39600041"
"90","STATE_REPRESENTATIVE_DISTRICT","90","39600042"
"95","STATE_REPRESENTATIVE_DISTRICT","95","39600043"
"96","STATE_REPRESENTATIVE_DISTRICT","96","39600044"
"97","STATE_REPRESENTATIVE_DISTRICT","97","39600045"
"ADAMS TWP","TOWNSHIP","","39600046"
"ADELPHI VILLAGE","VILLAGE","","39600047"
"AKRON WARD 1","WARD","","39600048"
"AKRON WARD 4","WARD","","39600049"
"ALEXANDRIA VILLAGE","VILLAGE","","39600050"
"ALLEN EDUC SRV CTR","EDUCATIONAL_SERVICE_CENTER_DISTRICT","","39600051"
"ALLEN TWP","TOWNSHIP","","39600052"
"ALLIANCE","MUNICIPAL_COURT_DISTRICT","","39600053"
"ALLIANCE CITY","City","","39600054"
"ALLIANCE WARD 4","WARD","","39600055"
"AMBOY TWP","TOWNSHIP","","39600056"
