"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"BRATTON TWP BLDG","2535 LOUDEN RD","","","PEEBLES ","OH","45660","","6:30 am - 7:30 pm","","394100637"
"LYNX OLD SCHOOL BLDG","505 LYNX DRIVE","","","WEST UNION ","OH","45693","","6:30 am - 7:30 pm","","394100734"
"FRANKLIN TWP FIREHOUSE","29670 SR 41","","","PEEBLES ","OH","45660","","6:30 am - 7:30 pm","","3941003624"
"GREEN TWP FIREHOUSE","2243 BLUE CREEK RD","","","STOUT ","OH","45684","","6:30 am - 7:30 pm","","3941002897"
"JEFFERSON SCHOOL GYM","8990 BLUE CREEK RD","","","BLUE CREEK ","OH","45616","","6:30 am - 7:30 pm","","3941003303"
"LIBERTY TWP BLDG","8632 SR 136","","","WEST UNION ","OH","45693","","6:30 am - 7:30 pm","","3941003534"
"MANCHESTER COMMUNITY BLDG","400 PIKE STREET","","","MANCHESTER ","OH","45144","","6:30 am - 7:30 pm","","3941003746"
"PEEBLES FIREHOUSE","182 ELM ST.","","","PEEBLES ","OH","45660","","6:30 am - 7:30 pm","","3941003924"
"PEEBLES FIREHOUSE","182 ELM ST.","","","PEEBLES ","OH","45660","","6:30 am - 7:30 pm","","3941004634"
"PEEBLES FIREHOUSE","182 ELM ST.","","","PEEBLES ","OH","45660","","6:30 am - 7:30 pm","","3941004635"
"MONROE TWP. BLDG.","2416 SR 247","","","MANCHESTER ","OH","45144","","6:30 am - 7:30 pm","","3941004120"
"OLIVER TWP FIRE STATION","4613 UNITY RD.","","","WEST UNION  OH","OH","45693","","6:30 am - 7:30 pm","","3941004451"
"SEAMAN FIRE STATION","6493 TRI-COUNTY RD","","","SEAMAN ","OH","45679","","6:30 am - 7:30 pm","","3941007804"
"SEAMAN COMMUNITY BLDG","17806 SR 247","","","SEAMAN ","OH","45679","","6:30 am - 7:30 pm","","3941007808"
"SPRIGG TWP BLDG","315 POPLAR FLAT RD","","","WEST UNION ","OH","45693","","6:30 am - 7:30 pm","","3941007959"
"ADAMS CO FAIRGROUNDS","836 BOYD AVE","","","WEST UNION ","OH","45693","","6:30 am - 7:30 pm","","3941008246"
"HIGHVIEW 6TH GRADE CENTER","106 S HIGHVIEW RD","","","MIDDLETOWN","OH","45044","(REAR ENT - DOOR I- GYM)","6:30 am - 7:30 pm","","3941004044"
"CREEKVIEW ELEMENTARY SCHOOL","4800 TIMBER TRAIL DR","","","MIDDLETOWN","OH","45044","(ENT DOOR N - GYM)","6:30 am - 7:30 pm","","3941004048"
"MAYFIELD ELEMENTARY SCHOOL","3325 BURBANK AVE","","","MIDDLETOWN","OH","45044","(ENT DOOR I - GYM)","6:30 am - 7:30 pm","","3941004052"
"MAYFIELD ELEMENTARY SCHOOL","3325 BURBANK AVE","","","MIDDLETOWN","OH","45044","(ENT DOOR I - GYM)","6:30 am - 7:30 pm","","3941004056"
"CREEKVIEW ELEMENTARY SCHOOL","4800 TIMBER TRAIL DR","","","MIDDLETOWN","OH","45044","(ENT DOOR N - GYM)","6:30 am - 7:30 pm","","3941004059"
"TALAWANDA MIDDLE SCHOOL","4030 OXFORD REILY RD","","","OXFORD","OH","45056","(DOOR 15- GYM)","6:30 am - 7:30 pm","","3941004520"
"MIAMI UNIVERSITY - SHRIVER CENTER","701 E SPRING ST","","","OXFORD","OH","45056","(MULTI PURPOSE ROOM)","6:30 am - 7:30 pm","","3941004525"
"TALAWANDA MIDDLE SCHOOL","4030 OXFORD REILY RD","","","OXFORD","OH","45056","(DOOR 15- GYM)","6:30 am - 7:30 pm","","3941004526"
"TALAWANDA HIGH SCHOOL","5301 UNIVERSITY PARK BLVD","","","OXFORD","OH","45056","( GYM)","6:30 am - 7:30 pm","","3941004527"
"TALAWANDA MIDDLE SCHOOL","4030 OXFORD REILY RD","","","OXFORD","OH","45056","(DOOR 15- GYM)","6:30 am - 7:30 pm","","3941004528"
"MIAMI UNIVERSITY - SHRIVER CENTER","701 E SPRING ST","","","OXFORD","OH","45056","(MULTI PURPOSE ROOM)","6:30 am - 7:30 pm","","3941004529"
"MIAMI UNIVERSITY - SHRIVER CENTER","701 E SPRING ST","","","OXFORD","OH","45056","(MULTI PURPOSE ROOM)","6:30 am - 7:30 pm","","3941004530"
"TALAWANDA HIGH SCHOOL","5301 UNIVERSITY PARK BLVD","","","OXFORD","OH","45056","( GYM)","6:30 am - 7:30 pm","","3941004531"
"KRAMER ELEMENTARY SCHOOL","400 W SYCAMORE ST","","","OXFORD","OH","45056","(GYM)","6:30 am - 7:30 pm","","3941004532"
"KRAMER ELEMENTARY SCHOOL","400 W SYCAMORE ST","","","OXFORD","OH","45056","(GYM)","6:30 am - 7:30 pm","","3941004521"
