"name","number","locality_id","ward","mail_only","ballot_style_image_url","id"
"001  AUBURN TWP A","28-AAA","39300028","","no","","394001"
"001 PORT CLINTON 1A","62-AAA","39300062","","no","","394002"
"002  AUBURN TWP B","28-AAB","39300028","","no","","394003"
"003  AUBURN TWP C","28-AAC","39300028","","no","","394004"
"003 PORT CLINTON 2A","62-AAD","39300062","","no","","394005"
"004  AUBURN TWP D","28-AAD","39300028","","no","","394006"
"005  AUBURN TWP E","28-AAE","39300028","","no","","394007"
"005 PORT CLINTON 3A","62-AAH","39300062","","no","","394008"
"006  BAINBRIDGE TWP A","28-AAF","39300028","","no","","394009"
"007  BAINBRIDGE TWP B","28-AAG","39300028","","no","","3940010"
"007 PORT CLINTON 4A","62-AAL","39300062","","no","","3940011"
"008  BAINBRIDGE TWP C","28-AAH","39300028","","no","","3940012"
"009  BAINBRIDGE TWP D","28-AAI","39300028","","no","","3940013"
"009 ALLEN 1","62-AAR","39300062","","no","","3940014"
"010  BAINBRIDGE TWP E","28-AAJ","39300028","","no","","3940015"
"010 ALLEN 2","62-AAO","39300062","","no","","3940016"
"011  BAINBRIDGE TWP F","28-AAK","39300028","","no","","3940017"
"011 ALLEN 3","62-AAM","39300062","","no","","3940018"
"012  BAINBRIDGE TWP G","28-AAL","39300028","","no","","3940019"
"012 ALLEN 4","62-AAP","39300062","","no","","3940020"
"013  BAINBRIDGE TWP H","28-AAM","39300028","","no","","3940021"
"013 BAY 1","62-AAT","39300062","","no","","3940022"
"014  BAINBRIDGE TWP I","28-AAN","39300028","","no","","3940023"
"015 BENTON 2","62-AAU","39300062","","no","","3940024"
"015 BURTON VILLAGE","28-AAO","39300028","","no","","3940025"
"016  BURTON TWP A","28-AAP","39300028","","no","","3940026"
"016 BENTON 3","62-AAW","39300062","","no","","3940027"
"017  BURTON TWP B","28-AAQ","39300028","","no","","3940028"
"017 CARROLL 1","62-AAY","39300062","","no","","3940029"
"018  BURTON TWP C","28-AAR","39300028","","no","","3940030"
"018 CARROLL 2","62-AAZ","39300062","","no","","3940031"
"019  CHARDON CITY A","28-AAS","39300028","","no","","3940032"
"019 CATAWBA ISLAND 1","62-ABB","39300062","","no","","3940033"
"020  CHARDON CITY B","28-AAT","39300028","","no","","3940034"
"020 CATAWBA ISLAND 2","62-ABC","39300062","","no","","3940035"
"021  CHARDON CITY C","28-AAU","39300028","","no","","3940036"
"021 CATAWBA ISLAND 3","62-ABG","39300062","","no","","3940037"
"022  CHARDON CITY D","28-AAV","39300028","","no","","3940038"
"022 CATAWBA ISLAND 4","62-ABF","39300062","","no","","3940039"
"023  CHARDON TWP A","28-AAW","39300028","","no","","3940040"
"023 CLAY 1","62-ABO","39300062","","no","","3940041"
"024  CHARDON TWP B","28-AAX","39300028","","no","","3940042"
"024 CLAY 2","62-ABP","39300062","","no","","3940043"
"025  CHARDON TWP C","28-AAY","39300028","","no","","3940044"
"025 CLAY 3","62-ABH","39300062","","no","","3940045"
"026  CHARDON TWP D","28-AAZ","39300028","","no","","3940046"
"026 CLAY 4","62-ABL","39300062","","no","","3940047"
"027  CHESTER TWP A","28-ABA","39300028","","no","","3940048"
"027 DANBURY 1","62-ACA","39300062","","no","","3940049"
"028 CHESTER TWP B","28-ABB","39300028","","no","","3940050"
"028 DANBURY 2","62-ABT","39300062","","no","","3940051"
"029 CHESTER TWP C","28-ABC","39300028","","no","","3940052"
"029 DANBURY 3","62-ABX","39300062","","no","","3940053"
"030 CHESTER TWP D","28-ABD","39300028","","no","","3940054"
"030 DANBURY 4","62-ABW","39300062","","no","","3940055"
"031 CHESTER TWP E","28-ABE","39300028","","no","","3940056"
"031 DANBURY 5","62-ABR","39300062","","no","","3940057"
"032 CHESTER TWP F","28-ABF","39300028","","no","","3940058"
"032 ERIE 1","62-ACC","39300062","","no","","3940059"
"033 CHESTER TWP G","28-ABG","39300028","","no","","3940060"
"033 HARRIS 1","62-ACH","39300062","","no","","3940061"
"034 CHESTER TWP H","28-ABH","39300028","","no","","3940062"
"035 CHESTER TWP I","28-ABI","39300028","","no","","3940063"
"035 HARRIS 3","62-ACE","39300062","","no","","3940064"
"036  AQUILLA VILLAGE","28-ABJ","39300028","","no","","3940065"
"036 HARRIS 4","62-ACG","39300062","","no","","3940066"
"037  CLARIDON TWP A","28-ABK","39300028","","no","","3940067"
"037 PORTAGE 1","62-ACL","39300062","","no","","3940068"
"038  CLARIDON TWP B","28-ABL","39300028","","no","","3940069"
"039  CLARIDON TWP C","28-ABM","39300028","","no","","3940070"
"039 PUT-IN-BAY 1","62-ACQ","39300062","","no","","3940071"
"040  HAMBDEN TWP A","28-ABN","39300028","","no","","3940072"
"041  HAMBDEN TWP B","28-ABO","39300028","","no","","3940073"
"042 HAMBDEN TWP C","28-ABP","39300028","","no","","3940074"
"043 HAMBDEN TWP D","28-ABQ","39300028","","no","","3940075"
"043 SALEM 1","62-ACV","39300062","","no","","3940076"
"044  HUNTSBURG TWP A","28-ABR","39300028","","no","","3940077"
"044 SALEM 2","62-ACW","39300062","","no","","3940078"
"045 HUNTSBURG TWP B","28-ABS","39300028","","no","","3940079"
"045 SALEM 3","62-ACY","39300062","","no","","3940080"
"046 MIDDLEFIELD VILL A","28-ABT","39300028","","no","","3940081"
"046 SALEM 4","62-ACU","39300062","","no","","3940082"
"047 MIDDLEFIELD VILL B","28-ABU","39300028","","no","","3940083"
"047 SALEM 5","62-ACS","39300062","","no","","3940084"
"048 MIDDLEFIELD TWP A","28-ABV","39300028","","no","","3940085"
"049 MIDDLEFIELD TWP B","28-ABW","39300028","","no","","3940086"
"050 MONTVILLE TWP A","28-ABX","39300028","","no","","3940087"
"051 MONTVILLE TWP B","28-ABY","39300028","","no","","3940088"
"052 MUNSON TWP A","28-ABZ","39300028","","no","","3940089"
"053 MUNSON TWP B","28-ACA","39300028","","no","","3940090"
"054 MUNSON TWP C","28-ACB","39300028","","no","","3940091"
"055 MUNSON TWP D","28-ACC","39300028","","no","","3940092"
"056 MUNSON TWP E","28-ACD","39300028","","no","","3940093"
"057 MUNSON TWP F","28-ACE","39300028","","no","","3940094"
"058  NEWBURY TWP A","28-ACF","39300028","","no","","3940095"
"059 NEWBURY TWP B","28-ACG","39300028","","no","","3940096"
"060 NEWBURY TWP C","28-ACH","39300028","","no","","3940097"
"061 NEWBURY TWP D","28-ACI","39300028","","no","","3940098"
"062 NEWBURY TWP E","28-ACJ","39300028","","no","","3940099"
"063 PARKMAN TWP A","28-ACK","39300028","","no","","39400100"
"064 PARKMAN TWP B","28-ACL","39300028","","no","","39400101"
"065 SOUTH RUSSELL VILL A","28-ACM","39300028","","no","","39400102"
"066 SOUTH RUSSELL VILL B","28-ACN","39300028","","no","","39400103"
"067 SOUTH RUSSELL VILL C","28-ACO","39300028","","no","","39400104"
"068 SOUTH RUSSELL VILL D","28-ACP","39300028","","no","","39400105"
"069 HUNTING VALLEY VILL","28-ACQ","39300028","","no","","39400106"
"070 RUSSELL TWP A","28-ACR","39300028","","no","","39400107"
"071 RUSSELL TWP B","28-ACS","39300028","","no","","39400108"
"072 RUSSELL TWP C","28-ACT","39300028","","no","","39400109"
"073 RUSSELL TWP D","28-ACU","39300028","","no","","39400110"
"074 RUSSELL TWP E","28-ACV","39300028","","no","","39400111"
"075 THOMPSON TWP A","28-ACW","39300028","","no","","39400112"
"076 THOMPSON TWP B","28-ACX","39300028","","no","","39400113"
"077 TROY TWP A","28-ACY","39300028","","no","","39400114"
"078 TROY TWP B","28-ACZ","39300028","","no","","39400115"
"ABERDEEN VILLAGE","08AAK","3930008","","no","","39400116"
"ADA NORTH","33AAZ","39300033","","no","","39400117"
"ADA SOUTH","33ABB","39300033","","no","","39400118"
"ADAMS A","14AAQ","39300014","","no","","39400119"
"ADAMS B","14ACD","39300014","","no","","39400120"
"ADDISON PRECINCT","27AAF","39300027","","no","","39400121"
"ADDISON TOWNSHIP","27AAG","39300027","","no","","39400122"
"ADDYSTON A","31-BKA","39300031","","no","","39400123"
"AKRON 1-A","77AAA","39300077","","no","","39400124"
"AKRON 1-B","77AAC","39300077","","no","","39400125"
"AKRON 1-C","77AAE","39300077","","no","","39400126"
"AKRON 1-D","77AAF","39300077","","no","","39400127"
"AKRON 1-E","77AAG","39300077","","no","","39400128"
"AKRON 1-F","77AAH","39300077","","no","","39400129"
"AKRON 1-G","77AAJ","39300077","","no","","39400130"
"AKRON 1-H","77AAL","39300077","","no","","39400131"
"AKRON 1-I","77AAN","39300077","","no","","39400132"
"AKRON 1-J","77AAP","39300077","","no","","39400133"
"AKRON 1-K","77AAR","39300077","","no","","39400134"
"AKRON 10-A","77AIF","39300077","","no","","39400135"
"AKRON 10-B","77AIG","39300077","","no","","39400136"
