"ballot_id","candidate_id","sort_order"
"01700001","0160005",""
"01700061","0160003",""
"01700071","0160008",""
"01700071","0160013",""
"01700081","0160002",""
"01700081","0160009",""
"01700091","0160019",""
"01700101","0160018",""
"01700111","0160014",""
"01700121","0160000",""
"01700131","0160016",""
"01700131","0160017",""
"01700141","0160004",""
"01700141","0160011",""
"01700151","0160006",""
"01700161","0160001",""
"01700171","0160010",""
"01700171","0160012",""
"01700181","0160007",""
"01700181","0160015",""
"01700191","0160020",""
