"ballot_id","candidate_id","sort_order"
"05700001","0560016",""
"05700001","0560018",""
"05700001","0560023",""
"05700001","0560025",""
"05700061","0560000",""
"05700061","0560014",""
"05700061","0560021",""
"05700071","0560002",""
"05700071","0560019",""
"05700071","0560020",""
"05700081","0560006",""
"05700081","0560008",""
"05700081","0560015",""
"05700091","0560001",""
"05700091","0560009",""
"05700091","0560010",""
"05700091","0560017",""
"05700101","0560004",""
"05700101","0560007",""
"05700101","0560012",""
"05700111","0560011",""
"05700111","0560022",""
"05700111","0560024",""
"05700121","0560003",""
"05700121","0560005",""
"05700121","0560013",""
