"ballot_id","candidate_id","sort_order"
"08700001","0860003","5"
"08700001","0860006","2"
"08700001","0860012","3"
"08700001","0860016","1"
"08700001","0860021","4"
"08700001","0860022","6"
"08700051","0860000","2"
"08700051","0860023","1"
"08700061","0860005","1"
"08700061","0860019","2"
"08700071","0860007","2"
"08700071","0860010","3"
"08700071","0860011","1"
"08700081","0860004","1"
"08700081","0860013","3"
"08700081","0860015","2"
"08700081","0860017","4"
"08700081","0860018","5"
"08700081","0860020","6"
"08700091","0860001","3"
"08700091","0860008","4"
"08700091","0860014","1"
"08700091","0860025","2"
"08700101","0860002","2"
"08700101","0860009","3"
"08700101","0860024","1"
