"ballot_id","candidate_id","sort_order"
"13700001","1360000",""
"13700001","1360006",""
"13700001","1360019",""
"13700041","1360011",""
"13700041","1360024",""
"13700051","1360003",""
"13700051","1360010",""
"13700061","1360008",""
"13700061","1360009",""
"13700061","1360020",""
"13700071","1360013",""
"13700071","1360022",""
"13700081","1360001",""
"13700081","1360014",""
"13700081","1360015",""
"13700091","1360004",""
"13700091","1360017",""
"13700101","1360012",""
"13700101","1360016",""
"13700111","1360005",""
"13700111","1360018",""
"13700111","1360023",""
"13700121","1360002",""
"13700121","1360007",""
"13700131","1360021",""
"13700131","1360025",""
