"ballot_id","candidate_id","sort_order"
"20700001","2060004","2"
"20700001","2060009","3"
"20700001","2060011","1"
"20700021","2060014","5"
"20700021","2060016","4"
"20700021","2060017","3"
"20700021","2060019","8"
"20700021","2060020","7"
"20700021","2060021","2"
"20700021","2060022","1"
"20700021","2060023","6"
"20700031","2060015","1"
"20700031","2060018","2"
"20700041","2060000","1"
"20700041","2060003","2"
"20700051","2060002","1"
"20700051","2060007","2"
"20700061","2060006","3"
"20700061","2060010","2"
"20700061","2060013","1"
"20700071","2060005","2"
"20700071","2060008","1"
"20700081","2060001","1"
"20700081","2060012","2"
