name,type,number,id
BD of Public Utilities 2,BPU,2,320130917
BD of Public Utilities (AL),BPU,,320448366
BD of Public Utilities 1,BPU,1,320130916
BD of Public Utilities 3,BPU,3,320130918
Com Dist 2,County Commission,2,320120656
Com Dist 3,County Commission,3,320120657
Commissioner 1,County Commission,1,320126698
Commissioner 2,County Commission,2,320126699
Commissioner 3,County Commission,3,320126700
Commission 2,County Commission,2,32092556
Commission 1,County Commission,1,32092559
CC1 County Commission 1,County Commission,1,320123408
CC2 County Commission 2,County Commission,2,320123409
CC3 County Commission 3,County Commission,3,320123410
CC4 County Commission 4,County Commission,4,320123411
CC5 County Commission 5,County Commission,5,320123412
Commissioner Dist 1,County Commission,1,320453760
Commissioner Dist 2,County Commission,2,320453761
Commissioner Dist 3,County Commission,3,320453762
Commission 02,County Commission,2,320100550
Commission 03,County Commission,3,320100556
Commission 01,County Commission,1,320100559
District 1-Dave Lewis,County Commission,1,320124707
District 2-Robert Boyd,County Commission,2,320124708
District 3-Ron Wells,County Commission,3,320124709
Commission 1,County Commission,1,32098548
Commission 2,County Commission,2,32098553
Commission 3,County Commission,3,32098558
Commission 1,County Commission,1,32036517
Commission 3,County Commission,3,32036525
Commission 2,County Commission,2,32036528
Commission Dist 1,County Commission,1,320151121
Commission Dist 2,County Commission,2,320151122
Commission Dist 3,County Commission,3,320151123
County Commissioner Dist 01,County Commission,1,320136625
County Commissioner Dist 02,County Commission,2,320136626
County Commissioner Dist 03,County Commission,3,320136627
Commissioner Dist 1,County Commission,1,320144600
Commissioner Dist 2,County Commission,2,320144601
Commissioner Dist 3,County Commission,3,320144602
County Commissioner 04,County Commission,4,320192758
County Commissioner 05,County Commission,5,320192759
Commission 01,County Commission,1,32050525
Commission 02,County Commission,2,32050532
Commission 03,County Commission,3,32050537
Commissioner Dist 1,County Commission,1,320148612
Commissioner Dist 2,County Commission,2,320148613
Commissioner Dist 3,County Commission,3,320148614
Commission District 1,County Commission,1,320146771
Commission District 2,County Commission,2,320146772
Commission District 3,County Commission,3,320146773
Commission 01,County Commission,1,32058530
Commission 02,County Commission,2,32058577
Commission 03,County Commission,3,32058596
Commission 01,County Commission,1,320108553
Commission 02,County Commission,2,320108568
Commission 03,County Commission,3,320108577
Commissioner 1,County Commission,1,320130919
Commissioner 2,County Commission,2,320130920
Commissioner 3,County Commission,3,320130921
Commissioner 4,County Commission,4,320130922
Commissioner 5,County Commission,5,320130923
Commissioner 6,County Commission,6,320130924
Commissioner 7,County Commission,7,320130925
Commissioner 8,County Commission,8,320130926
Commissioners Dist 1,County Commission,1,320140705
Commissioners Dist 2,County Commission,2,320140706
Commissioners Dist 3,County Commission,3,320140707
Commissioners Dist 4,County Commission,4,320140708
Commissioners Dist 5,County Commission,5,320140709
County Commissioner 1,County Commission,1,320138640
County Commissioner 2,County Commission,2,320138641
County Commissioner 3,County Commission,3,320138642
Commissioner Dist 1,County Commission,1,320142714
Commissioner Dist 2,County Commission,2,320142715
Commissioner Dist 3,County Commission,3,320142716
Commissioner Dist. 1,County Commission,1,320134670
Commissioner Dist. 2,County Commission,2,320134671
Commissioner Dist. 3,County Commission,3,320134672
Commissioner Dist. 4,County Commission,4,320134673
Commissioner Dist. 5,County Commission,5,320134674
Commissioner DIST 0,County Commission,0,320128691
Commissioner DIST 1,County Commission,1,320128692
Commissioner DIST 2,County Commission,2,320128693
Commissioner DIST 3,County Commission,3,320128694
Commissioner Dist 1,County Commission,1,320132575
Commissioner Dist 2,County Commission,2,320132576
Commissioner Dist 3,County Commission,3,320132577
Com Dist 1,County Commission,1,320120655
Commission 1,County Commission,1,320112555
Commission 3,County Commission,3,320112566
Commission 2,County Commission,2,320112582
Supervisor  At Large,County Commission,3,320453419
Commission 3,County Commission,3,32024511
Commission 2,County Commission,2,32024522
Commission 1,County Commission,1,32024525
Commission 3,County Commission,3,32052525
Commission 2,County Commission,2,32052533
Commission 1,County Commission,1,32052537
Commission 01,County Commission,1,32076537
Commission 02,County Commission,2,32076547
Commission 03,County Commission,3,32076552
Commission 2,County Commission,2,320106552
Commission 1,County Commission,1,320106556
Commission 3,County Commission,3,320106559
Commissioner Dist 1,County Commission,1,320158635
Commissioner Dist 2,County Commission,2,320158636
Commissioner Dist 3,County Commission,3,320158637
