address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,polling_hours,id
Community Christian Church,1919 S. Horton,,,Fort Scott,KS,66701 ,, - ,60064633
Grace Baptist Church,502 S. Margrave,,,Fort Scott,KS,66701 ,, - ,60064634
Center for Health &amp; Wellness,"2707 E 21st St N, Wichita",,,Wichita,KS,67214 ,South side of 21st St N between Grove and Erie. ,06:00 AM - 07:00 PM,60016876
50 Eudora Church of Christ,1530 Winchester,,,Eudora,KS,66025 ,"
",07:00 AM - 07:00 PM,60020494
Centralia Area Comm Bldg - Home,106 John Riggins Ave,,,Centralia,KS,66415 ,,07:00 AM - 07:00 PM,60064867
North Lyon County Library,421 Main St.,,,Allen,KS,66833 ,,07:00 AM - 07:00 PM,60016575
32 Christ the King Luth Ch,111 W Magnolia Road,,,Salina,KS,67401 ,"East Door off of Simmons St-Key for SJ

Key Pad Code ""7610"" for West Door given to Road &amp; Bridge. ",07:00 AM - 07:00 PM,60017463
Gl/OH/PV F D Station #3,2911 N Hedville Rd,,,Hedville,KS,67401 ,"South Door off of parking lot

Key Pad Code - ""1245""
. ",07:00 AM - 07:00 PM,60017469
Nemaha Co Comm Bldg - Richmond,1500 Community Drive,,,Seneca,KS,66538 ,,07:00 AM - 07:00 PM,60064875
Nemaha Co Comm Bldg - Seneca City Ward 2,1500 Community Drive,,,Seneca,KS,66538 ,,07:00 AM - 07:00 PM,60064877
Pleasantview Baptist,"1335 N Buckner, Derby",,,Derby,KS,67037 ,W side of Buckner S of Meadowlark (71st St S). Use N entry. ,06:00 AM - 07:00 PM,60016991
WSU Metropolitan Complex,"5015 E 29th St N, Wichita",,,Wichita,KS,67220 ,"SE corner of Oliver and 29th St N.  Use Entrance ""N"" on South side of building (Welsbacher Theatre entrance). ",06:00 AM - 07:00 PM,60017049
Andale City Building,"326 N Main, Andale",,,Andale,KS,67001 ,E side of Main just N of Anderson. Park on East side of building,06:00 AM - 07:00 PM,60016859
Randolph Senior Center,109 Front Street,,,Randolph,KS,66554 ,,07:00 AM - 07:00 PM,60017205
Troy Community Building - Troy City,1225 Last Chance Road,,,Troy,KS,66087 ,,07:00 AM - 07:00 PM,60064236
Wathena Community Center - Bo,(Burr Oak Precinct),303 E St. Joseph St,,Wathena,KS,66090 ,,07:00 AM - 07:00 PM,60064238
GR First Christian Ch,2727 E Crawford St,,,Salina,KS,67401 ,"Enter West Door off parking lot - turn left down hallway

Key for SJ. ",07:00 AM - 07:00 PM,60017471
EU/GY Gypsum Com Library,521 Maple Street-East Door,,,Gypsum,KS,67448 ,Enter East Door at back of Library. ,07:00 AM - 07:00 PM,60017477
35 SA Area Tech College,2562 Centennial Rd,,,Salina,KS,67401 ,,07:00 AM - 07:00 PM,60017486
Pottorf Hall (Cico),Avery Ave.,,,Manhattan,KS,66503 ,,07:00 AM - 07:00 PM,60017195
London Heights Baptist Church,734 North 78th St,,,Kansas City,KS,66112 ,, - ,60018101
Immanuel Lutheran Church,630 S Eisenhower,,,Junction City,KS,66441 ,,07:00 AM - 07:00 PM,60065169
Community Christian Church - Ward 3,18 McCardell St,,,Council Grove,KS,66846 ,, - ,60065111
St. John Lutheran Hall,304 W. 3rd St.,,,Pittsburg,KS,66762 ,,07:00 AM - 07:00 PM,60019910
State Street/Chase School 2/03,2250 NE State Street,,SW Parking Lot Door,Topeka,KS,66616 ,SW PARKING LOT DOOR. , - ,60021215
Plaza West Apartments  11/04,5620 SW 22nd St,,Front Door,Topeka,KS,66614 ,FRONT DOOR. , - ,60021221
Presbyterian Manor  10/02,4712 SW 6th Ave,,Main Door,Topeka,KS,66606 ,MAIN DOOR. , - ,60021229
Dwight Community Bldg - Twp 4,,,,,KS,,, - ,60065119
Senior Citizen Center  1/02,619 NW Paramore St,,Back Door,Topeka,KS,66608 ,BACK DOOR. , - ,60021245
Shawnee Heights Elementary  45,2410 SE Burton St,,Front Door,Topeka,KS,66605 ,FRONT DOOR. , - ,60021252
Christ the King Church  12/01,5973 SW 25th St,,East Side Main Door,Topeka,KS,66614 ,EAST SIDE MAIN DOOR. , - ,60021121
First Baptist Church  9/03,3033 SW MacVicar Ave,,Main Door/ New Building,Topeka,KS,66611 ,MAIN DOOR/NEW BUILDING. , - ,60021141
