name,number,locality_id,ward,mail_only,ballot_style_image_url,id
0419,0419   ,200104,,no,,300122573
0420,0420   ,200104,,no,,300122574
0422,0422   ,200104,,no,,300122576
0423,0423   ,200104,,no,,300122577
0424,0424   ,200104,,no,,300122578
0113,0113   ,200104,,no,,300122580
0114,0114   ,200104,,no,,300122591
MV14,MV14   ,200104,,no,,300456094
0503,0503   ,200104,,no,,300122596
0504,0504   ,200104,,no,,300122597
0506,0506   ,200104,,no,,300122599
0507,0507   ,200104,,no,,300122600
0508,0508   ,200104,,no,,300122601
0115,0115   ,200104,,no,,300122602
0509,0509   ,200104,,no,,300122603
0510,0510   ,200104,,no,,300122604
0512,0512   ,200104,,no,,300122606
0513,0513   ,200104,,no,,300122607
0514,0514   ,200104,,no,,300122608
0515,0515   ,200104,,no,,300122609
0516,0516   ,200104,,no,,300122610
0517,0517   ,200104,,no,,300122611
0518,0518   ,200104,,no,,300122612
0117,0117   ,200104,,no,,300122613
0519,0519   ,200104,,no,,300122614
0522,0522   ,200104,,no,,300122617
0524,0524   ,200104,,no,,300122618
0525,0525   ,200104,,no,,300122619
0526,0526   ,200104,,no,,300122620
0527,0527   ,200104,,no,,300122621
0528,0528   ,200104,,no,,300122622
0119,0119   ,200104,,no,,300122624
0530,0530   ,200104,,no,,300122625
0531,0531   ,200104,,no,,300122626
0120,0120   ,200104,,no,,300122635
0601,0601   ,200104,,no,,300122642
0602,0602   ,200104,,no,,300122643
0604,0604   ,200104,,no,,300122645
0121,0121   ,200104,,no,,300122646
0605,0605   ,200104,,no,,300122647
0606,0606   ,200104,,no,,300122648
0607,0607   ,200104,,no,,300122649
0608,0608   ,200104,,no,,300122650
0609,0609   ,200104,,no,,300122651
0610,0610   ,200104,,no,,300122652
0611,0611   ,200104,,no,,300122653
0612,0612   ,200104,,no,,300122654
0613,0613   ,200104,,no,,300122655
El Dorado Twp East,54     ,20097,,no,,300456106
0122,0122   ,200104,,no,,300122657
0615,0615   ,200104,,no,,300122658
0617,0617   ,200104,,no,,300122659
0618,0618   ,200104,,no,,300122660
0619,0619   ,200104,,no,,300122661
0621,0621   ,200104,,no,,300122662
0622,0622   ,200104,,no,,300122663
0623,0623   ,200104,,no,,300122664
0123,0123   ,200104,,no,,300122669
AF,AF     ,200104,,no,,300122679
AT01,AT01   ,200104,,no,,300122681
AT02,AT02   ,200104,,no,,300122682
AT03,AT03   ,200104,,no,,300122683
AT05,AT05   ,200104,,no,,300122684
AT06,AT06   ,200104,,no,,300122685
BA01,BA01   ,200104,,no,,300122687
BA02,BA02   ,200104,,no,,300122688
BA03,BA03   ,200104,,no,,300122689
0126,0126   ,200104,,no,,300122691
DL02,DL02   ,200104,,no,,300122693
DL03,DL03   ,200104,,no,,300122694
DL04,DL04   ,200104,,no,,300122695
EA,EA     ,200104,,no,,300122714
ER,ER     ,200104,,no,,300122715
GA,GA     ,200104,,no,,300122716
GD,GD     ,200104,,no,,300122717
GR,GR     ,200104,,no,,300122720
GY01,GY01   ,200104,,no,,300122721
GY02,GY02   ,200104,,no,,300122722
GY03,GY03   ,200104,,no,,300122723
IL01,IL01   ,200104,,no,,300122736
KE01,KE01   ,200104,,no,,300122738
KE02,KE02   ,200104,,no,,300122739
KE03,KE03   ,200104,,no,,300122740
KE04,KE04   ,200104,,no,,300122741
KE07,KE07   ,200104,,no,,300122743
LI,LI     ,200104,,no,,300122744
MI01,MI01   ,200104,,no,,300122745
KE06,KE06   ,200104,,no,,300456116
Andover Exclave A,500    ,20097,,no,,300456145
Andover Exclave C,501    ,20097,,no,,300456146
Andover Exclave D Sewage Plant,502    ,20097,,no,,300456147
Andover Exclave E Sewage Plant,503    ,20097,,no,,300456148
Augusta City Ward 1 Exclave A,510    ,20097,,no,,300456149
Augusta City Ward 1 Exclave B,511    ,20097,,no,,300456150
Augusta City Ward 1 Exclave C,513    ,20097,,no,,300456151
Augusta City Ward 1 Exclave D,514    ,20097,,no,,300456152
Augusta City Ward 3 Exclave,515    ,20097,,no,,300456153
0101,0101   ,200104,,no,,300122557
Bruno Twp Enclave D Part C,523    ,20097,,no,,300456157
Bruno Twp Enclave D Part D,524    ,20097,,no,,300456158
Bruno Twp Enclave D Part B,522    ,20097,,no,,300456156
Bruno Two Enclave D Part E,525    ,20097,,no,,300456159
El Dorado City W1P2 Exclave A,530    ,20097,,no,,300456160
Otis City,2800601,20024,,no,,30092566
Rush Center City,2900701,20024,,no,,30092568
Timken City,3100801,20024,,no,,30092570
Alexander-Belle Prairie Twsp.,AB00102,20024,,no,,30092571
Banner Twsp.,BA00802,20024,,no,,30092572
Big Timber Twsp.,BT00402,20024,,no,,30092573
Center Twsp.,CE00702,20024,,no,,30092574
Garfield Twsp.,GA00900,20024,,no,,30092575
Hampton-Fairview Twsp.,HF00502,20024,,no,,30092576
Illinois Twsp.,IL00202,20024,,no,,30092577
LaCrosse-Brookdale Twsp. #1,LB00302,20024,,no,,30092578
LaCrosse-Brookdale Twsp. #2,LB00303,20024,,no,,30092579
Lone Star Twsp.,LS00203,20024,,no,,30092580
Pioneer Twsp.,PI00602,20024,,no,,30092581
El Dorado City W2P1 Exclave A,540    ,20097,,no,,300456161
El Dorado City W2P1 Exclave B,541    ,20097,,no,,300456162
0404,0404   ,200104,,no,,300122561
0405,0405   ,200104,,no,,300122562
0406,0406   ,200104,,no,,300122563
0408,0408   ,200104,,no,,300122564
0409,0409   ,200104,,no,,300122565
0412,0412   ,200104,,no,,300122568
0111,0111   ,200104,,no,,300122569
0413,0413   ,200104,,no,,300122570
0416,0416   ,200104,,no,,300122571
0417,0417   ,200104,,no,,300122572
1H Ward 1 Pct 01,001    ,20085,,no,,300128560
1H Ward 3 Pct 03,010    ,20085,,no,,300128561
