"name","precinct_id","ballot_style_image_url","id"
"Republic City BB - 109 1/4 C2","300190603","","310450306"
"999.1","300138695","","310138696"
"Ottawa Twp/287/1-4","30038587","","31038651"
"Twp #1 271","300448555","","310448569"
"54.1 Lincoln Twp","300100572","","310100601"
"USD 484-336","300116587","","310116621"
"Anthony / WD1","300184594","","310184601"
"1.4 Marena Twp N 496, C1","300198595","","310198607"
"HOLC/14","300446145","","310446156"
"Twp 10, USD 438,  Comm 3","30086573","","31086604"
"Twp5 /C1/SD361/MD3/H832","300449660","","310449669"
"Graham Twp/USD 281","300158583","","310158617"
"Twp #2 Sarver's Add 271","300448556","","310448605"
"Ward 14 H122","300446103","","310456092"
"Washington - 109 1/4 C2 F9","300190618","","310453404"
"Kapioma 377","30012537","","31012567"
"Riverside/R122","300446106","","310446131"
"2.1 Jetmore Cty, N Center, C2","300198596","","310198608"
"Jefferson - 109 2/5 C1 F7","300190610","","310453394"
"USD 484-114","300116588","","310116622"
"Ke/2/412","30098571","","31098602"
"Big Bow Twp, CC 3, SD 3-6","300132562","","310132569"
"Franklin Twp/289/3-6","30038548","","31038619"
"Baker (293, 3) CC2","300216604","","310216615"
"Ohio Twp/288/2-5","30038585","","31038649"
"Morland City/Sol.Twp/USD281","300158578","","310158604"
"1l201.1","300114564","","310114576"
"Baker (293, 2) Quinter","300216604","","310216622"
"Bryant Twp/USD 281","300158581","","310158597"
"MT/226-3/M","30070557","","31070580"
"Ward 15 H122 DD2","300446104","","310456091"
"Grinnell (274) Oakley","300216607","","310216642"
"4.5 Center Twp SE, C4 227","300198598","","310450192"
"Millbrook Twp/USD 281","300158586","","310158615"
"Cntr IA Twp CD2/300","300454130","","310454131"
"Meade/226-2/M","30070541","","31070567"
"Belleville -109 1/4 C3 F7","300190602","","310190641"
"Niotaze City","30018524","","31018562"
"Jackson 2-5","30010535","","31010573"
"25.1 Kanorado City","300100563","","310100596"
"Monument Twp. #274","30062551","","31062570"
"Paris Twp Pa00007.3","30060572","","31060613"
"Lo/3/316","30098572","","31098603"
"52.1 Iowa Twp  USD 314","300100567","","310100598"
"Ward 4 Comm 1","30086554","","31086583"
"Walnut Enclave 409","30012544","","31012578"
"Nevada Twp H1/106/2","300214611","","310214633"
"Franklin H2/303/1","300214608","","310214629"
"3rd Ward - 109 1/4 C1","300190593","","310190624"
"Ward 5","30086555","","31086584"
"Jerome (292)","300216611","","310216653"
"Twp 7 USD 382  Comm 2","30086564","","31086590"
"Washington","30010558","","31010597"
"Hendricks-USD 285","30018544","","31018575"
"USD 484-114","300116575","","310116607"
"Lone Elm 365","30010539","","31010577"
"Paris Twp Pa00007.4","30060572","","31060614"
