"title","subtitle","brief","text","pro_statement","con_statement","passage_threshold","effect_of_abstain","id"
"Proposed Amendment No. 1 ","","Do you support an amendment to authorize the legislature to create the Louisiana Medical Assistance Trust Fund, for the payment of Medicaid reimbursement to the health care provider groups paying fees into the fund? (Adds Article VII, Section 10.14) ","Do you support an amendment to authorize the legislature to create the Louisiana Medical Assistance Trust Fund, for the payment of Medicaid reimbursement to the health care provider groups paying fees into the fund? (Adds Article VII, Section 10.14) ","","","","","225000"
"Proposed Amendment No. 10 ","","Do you support an amendment providing for an eighteen-month redemption period in any parish other than Orleans, for vacant property sold at tax sale which is blighted or abandoned? (Effective January 1, 2015) (Adds Article VII, Section 25(B)(3)) ","Do you support an amendment providing for an eighteen-month redemption period in any parish other than Orleans, for vacant property sold at tax sale which is blighted or abandoned? (Effective January 1, 2015) (Adds Article VII, Section 25(B)(3)) ","","","","","225001"
"Proposed Amendment No. 11 ","","Do you support an amendment to change the maximum number of departments in the executive branch of state government from twenty to twenty-one? (Amends Article IV, Section 1(B))","Do you support an amendment to change the maximum number of departments in the executive branch of state government from twenty to twenty-one? (Amends Article IV, Section 1(B))","","","","","225002"
"Proposed Amendment No. 12","","Do you support an amendment to require that two members of the Wildlife and Fisheries Commission be electors from parishes located north of the parishes of Beauregard, Allen, Evangeline, Avoyelles, and Pointe Coupee? (Amends Article IX, Section 7(A)) ","Do you support an amendment to require that two members of the Wildlife and Fisheries Commission be electors from parishes located north of the parishes of Beauregard, Allen, Evangeline, Avoyelles, and Pointe Coupee? (Amends Article IX, Section 7(A)) ","","","","","225003"
"Proposed Amendment No. 13","","Do you support an amendment to authorize the governing authority of the city of New Orleans to sell at a price fixed by the legislature property located in the Lower Ninth Ward of the city of New Orleans? (Amends Article VII, Section (14)(B)) ","Do you support an amendment to authorize the governing authority of the city of New Orleans to sell at a price fixed by the legislature property located in the Lower Ninth Ward of the city of New Orleans? (Amends Article VII, Section (14)(B)) ","","","","","225004"
"Proposed Amendment No. 14","","Do you support an amendment to provide that legislation relative to tax rebates, tax incentives, and tax abatements may not be introduced or considered by the legislature in a regular session held in an even-numbered year? (Amends Article III, Section 2(A)(3)(b) and (4)(b)(introductory paragraph)) ","Do you support an amendment to provide that legislation relative to tax rebates, tax incentives, and tax abatements may not be introduced or considered by the legislature in a regular session held in an even-numbered year? (Amends Article III, Section 2(A)(3)(b) and (4)(b)(introductory paragraph)) ","","","","","225005"
"Proposed Amendment No. 2","","Do you support an amendment to create the Hospital Stabilization Fund to stabilize and protect Medicaid reimbursements for health care services by depositing assessments paid by hospitals, as authorized by the legislature, into a fund to support Louisiana hospital reimbursement? (Adds Article VII, Section 10.13) ","Do you support an amendment to create the Hospital Stabilization Fund to stabilize and protect Medicaid reimbursements for health care services by depositing assessments paid by hospitals, as authorized by the legislature, into a fund to support Louisiana hospital reimbursement? (Adds Article VII, Section 10.13) ","","","","","225006"
"Proposed Amendment No. 3 ","","Do you support an amendment allowing an authorized agent of a tax collector to assist in the tax sale process, including the sale of property for delinquent taxes and that the fee charged by the authorized agent be included within the costs that the collector can recover in the tax sale? (Amends Article VII, Section 25(A)(1) and (E))","Do you support an amendment allowing an authorized agent of a tax collector to assist in the tax sale process, including the sale of property for delinquent taxes and that the fee charged by the authorized agent be included within the costs that the collector can recover in the tax sale? (Amends Article VII, Section 25(A)(1) and (E))","","","","","225007"
"Proposed Amendment No. 4 ","","Do you support an amendment to authorize the investment of public funds to capitalize a state infrastructure bank and the loan, pledge, guarantee, or donation of public funds by a state infrastructure bank for eligible transportation projects? (Amends Article VII, Section 14(B)) ","Do you support an amendment to authorize the investment of public funds to capitalize a state infrastructure bank and the loan, pledge, guarantee, or donation of public funds by a state infrastructure bank for eligible transportation projects? (Amends Article VII, Section 14(B)) ","","","","","225008"
"Proposed Amendment No. 5 ","","Do you support an amendment to remove the constitutional requirement that a judge retire upon attaining the age of seventy or, if his seventieth birthday occurs during his term, that he retire upon completion of that term? (Amends Article V, Section 23) ","Do you support an amendment to remove the constitutional requirement that a judge retire upon attaining the age of seventy or, if his seventieth birthday occurs during his term, that he retire upon completion of that term? (Amends Article V, Section 23) ","","","","","225009"
