"ballot_id","candidate_id","sort_order"
"36700031","3660004","7"
"36700031","3660005","1"
"36700031","3660006","5"
"36700031","3660007","4"
"36700031","3660009","3"
"36700031","3660010","2"
"36700031","3660013","6"
"36700041","3660011","7"
"36700041","3660017","3"
"36700041","3660018","2"
"36700041","3660020","6"
"36700041","3660021","1"
"36700041","3660022","5"
"36700041","3660023","4"
"36700051","3660000","1"
"36700051","3660001","5"
"36700051","3660002","7"
"36700051","3660003","4"
"36700051","3660008","6"
"36700051","3660012","10"
"36700051","3660014","3"
"36700051","3660015","2"
"36700051","3660016","9"
"36700051","3660019","8"
