"ballot_id","candidate_id","sort_order"
"46700001","4660007","3"
"46700001","4660011","4"
"46700001","4660015","2"
"46700001","4660017","1"
"46700041","4660001","1"
"46700041","4660013","2"
"46700051","4660008","1"
"46700051","4660018","2"
"46700061","4660003","2"
"46700061","4660014","3"
"46700061","4660021","1"
"46700071","4660002","2"
"46700071","4660006","3"
"46700071","4660022","1"
"46700081","4660000","3"
"46700081","4660005","2"
"46700081","4660012","1"
"46700081","4660019","4"
"46700091","4660010","1"
"46700091","4660020","2"
"46700101","4660004","2"
"46700101","4660009","1"
"46700101","4660016","3"
