"ballot_id","candidate_id","sort_order"
"48700001","4860000","4"
"48700001","4860011","2"
"48700001","4860027","1"
"48700001","4860044","3"
"48700021","4860001","1"
"48700021","4860002","3"
"48700021","4860003","2"
"48700031","4860005","1"
"48700031","4860028","2"
"48700031","4860039","3"
"48700041","4860029","3"
"48700041","4860034","1"
"48700041","4860043","2"
"48700051","4860012","1"
"48700051","4860015","3"
"48700051","4860053","2"
"48700061","4860023","1"
"48700061","4860035","2"
"48700061","4860038","3"
"48700071","4860008","4"
"48700071","4860014","3"
"48700071","4860017","2"
"48700071","4860022","1"
"48700081","4860024","3"
"48700081","4860042","1"
"48700081","4860046","2"
"48700091","4860020","4"
"48700091","4860021","3"
"48700091","4860032","1"
"48700091","4860048","2"
"48700101","4860010","3"
"48700101","4860025","2"
"48700101","4860033","4"
"48700101","4860049","1"
"48700111","4860016","1"
"48700111","4860026","2"
"48700111","4860030","3"
"48700111","4860051","4"
"48700121","4860004","3"
"48700121","4860013","4"
"48700121","4860018","1"
"48700121","4860041","2"
"48700131","4860006","4"
"48700131","4860019","1"
"48700131","4860031","3"
"48700131","4860052","2"
"48700141","4860007","4"
"48700141","4860009","1"
"48700141","4860036","2"
"48700141","4860045","3"
"48700151","4860037","3"
"48700151","4860040","4"
"48700151","4860047","1"
"48700151","4860050","2"
