"ballot_id","candidate_id","sort_order"
"56700001","5660003","1"
"56700001","5660004","4"
"56700001","5660019","3"
"56700001","5660020","2"
"56700011","5660000","2"
"56700011","5660001","4"
"56700011","5660010","3"
"56700011","5660017","1"
"56700031","5660011","1"
"56700031","5660012","2"
"56700041","5660005","3"
"56700041","5660006","4"
"56700041","5660015","1"
"56700041","5660018","2"
"56700051","5660007","1"
"56700051","5660008","3"
"56700051","5660013","2"
"56700061","5660002","1"
"56700071","5660009","1"
"56700071","5660016","2"
"56700081","5660014","1"
