"referendum_id","custom_ballot_id","write_in","image_url","id"
"","","yes","","54510001"
"","","yes","","545100010"
"","","yes","","5451000100"
"","","yes","","5451000101"
"","","yes","","5451000102"
"","","yes","","5451000103"
"","","yes","","5451000104"
"","","yes","","5451000105"
"","","yes","","5451000106"
"","","yes","","5451000107"
"","","yes","","5451000108"
"","","yes","","5451000109"
"","","yes","","545100011"
"","","yes","","5451000110"
"","","yes","","5451000111"
"","","yes","","5451000112"
"","","yes","","5451000113"
"","","yes","","5451000114"
"","","yes","","5451000115"
"","","yes","","5451000116"
"","","yes","","5451000117"
"","","yes","","5451000118"
"","","yes","","5451000119"
"","","yes","","545100012"
"","","yes","","5451000120"
"","","yes","","5451000121"
"","","yes","","5451000122"
"","","yes","","5451000123"
"","","yes","","5451000124"
"","","yes","","5451000125"
"","","yes","","5451000126"
"","","yes","","5451000127"
"","","yes","","5451000128"
"","","yes","","5451000129"
"","","yes","","545100013"
"","","yes","","5451000130"
"","","yes","","5451000131"
"","","yes","","5451000132"
"","","yes","","5451000133"
"","","yes","","5451000134"
"","","yes","","5451000135"
"","","yes","","5451000136"
"","","yes","","5451000137"
"","","yes","","5451000138"
"","","yes","","5451000139"
"","","yes","","545100014"
"","","yes","","5451000140"
"","","yes","","5451000141"
"","","yes","","5451000142"
"","","yes","","5451000143"
"","","yes","","5451000144"
"","","yes","","5451000145"
"","","yes","","5451000146"
"","","yes","","5451000147"
"","","yes","","5451000148"
"","","yes","","5451000149"
"","","yes","","545100015"
"","","yes","","5451000150"
"","","yes","","545100016"
"","","yes","","545100017"
"","","yes","","545100018"
"","","yes","","545100019"
"","","yes","","54510002"
"","","yes","","545100020"
"","","yes","","545100021"
"","","yes","","545100022"
"","","yes","","545100023"
"","","yes","","545100024"
"","","yes","","545100025"
"","","yes","","545100026"
"","","yes","","545100027"
"","","yes","","545100028"
"","","yes","","545100029"
"","","yes","","54510003"
"","","yes","","545100030"
"","","yes","","545100031"
"","","yes","","545100032"
"","","yes","","545100033"
"","","yes","","545100034"
"","","yes","","545100035"
"","","yes","","545100036"
"","","yes","","545100037"
"","","yes","","545100038"
"","","yes","","545100039"
"","","yes","","54510004"
"","","yes","","545100040"
"","","yes","","545100041"
"","","yes","","545100042"
"","","yes","","545100043"
"","","yes","","545100044"
"","","yes","","545100045"
"","","yes","","545100046"
"","","yes","","545100047"
"","","yes","","545100048"
"","","yes","","545100049"
"","","yes","","54510005"
"","","yes","","545100050"
"","","yes","","545100051"
"","","yes","","545100052"
"","","yes","","545100053"
"","","yes","","545100054"
"","","yes","","545100055"
"","","yes","","545100056"
"","","yes","","545100057"
"","","yes","","545100058"
"","","yes","","545100059"
"","","yes","","54510006"
"","","yes","","545100060"
"","","yes","","545100061"
"","","yes","","545100062"
"","","yes","","545100063"
"","","yes","","545100064"
"","","yes","","545100065"
"","","yes","","545100066"
"","","yes","","545100067"
"","","yes","","545100068"
"","","yes","","545100069"
"","","yes","","54510007"
"","","yes","","545100070"
"","","yes","","545100071"
"","","yes","","545100072"
"","","yes","","545100073"
"","","yes","","545100074"
"","","yes","","545100075"
"","","yes","","545100076"
"","","yes","","545100077"
"","","yes","","545100078"
"","","yes","","545100079"
"","","yes","","54510008"
"","","yes","","545100080"
"","","yes","","545100081"
"","","yes","","545100082"
"","","yes","","545100083"
"","","yes","","545100084"
"","","yes","","545100085"
"","","yes","","545100086"
"","","yes","","545100087"
"","","yes","","545100088"
"","","yes","","545100089"
"","","yes","","54510009"
"","","yes","","545100090"
"","","yes","","545100091"
"","","yes","","545100092"
"","","yes","","545100093"
"","","yes","","545100094"
"","","yes","","545100095"
"","","yes","","545100096"
"","","yes","","545100097"
"","","yes","","545100098"
"","","yes","","545100099"
