"election_id","electoral_district_id","type","partisan","primary_party","electorate_specifications","special","office","filing_closed_date","number_elected","number_voting_for","ballot_id","ballot_placement","id"
"5400","5440001","general","yes","","","no","U.S. Senator","","1","1","54510001","2","54520001"
"5400","544100000001","general","yes","","","no","County Commission/County Council - Barbour","","1","1","54510002","26","54520002"
"5400","544100000001","general","yes","","","no","Sheriff - Barbour","","1","1","54510003","6","54520003"
"5400","544100000002","general","yes","","","no","County Commission/County Council - Berkeley","","1","1","54510004","26","54520004"
"5400","544100000003","general","yes","","","no","County Commission/County Council - Boone","","1","1","54510005","26","54520005"
"5400","544100000004","general","yes","","","no","Assessor - Unexpired Term - Braxton","","1","1","54510006","84","54520006"
"5400","544100000004","general","yes","","","no","County Commission/County Council - Braxton","","1","1","54510007","26","54520007"
"5400","544100000004","general","yes","","","no","Magistrate - Unexpired Term - Braxton","","1","1","54510008","80","54520008"
"5400","544100000005","general","yes","","","no","County Commission/County Council - Brooke","","1","1","54510009","26","54520009"
"5400","544100000007","general","yes","","","no","County Clerk - Unexpired Term - Calhoun","","1","1","545100010","28","545200010"
"5400","544100000007","general","yes","","","no","County Commission/County Council - Calhoun","","1","1","545100011","26","545200011"
"5400","544100000008","general","yes","","","no","County Commission/County Council - Clay","","1","1","545100012","26","545200012"
"5400","544100000008","general","yes","","","no","Sheriff - Clay","","1","1","545100013","6","545200013"
"5400","544100000009","general","yes","","","no","County Commission/County Council - Doddridge","","1","1","545100014","26","545200014"
"5400","544100000010","general","yes","","","no","County Commission/County Council - Fayette","","1","1","545100015","26","545200015"
"5400","544100000012","general","yes","","","no","County Commission/County Council - Grant","","1","1","545100016","26","545200016"
"5400","544100000019","general","yes","","","no","County Commission/County Council - Jefferson","","1","1","545100017","26","545200017"
"5400","544100000020","general","yes","","","no","County Commission/County Council - Kanawha","","1","1","545100018","26","545200018"
"5400","544100000021","general","yes","","","no","County Commission/County Council - Lewis","","1","1","545100019","26","545200019"
"5400","544100000021","general","yes","","","no","Prosecuting Attorney - Unexpired Term - Lewis","","1","1","545100020","79","545200020"
"5400","544100000022","general","yes","","","no","County Commission/County Council - Lincoln","","1","1","545100021","26","545200021"
