"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"# 01  CENTRAL CITY SCHOOL  (MULTIPURPOSE ROOM)","2100 WASHINGTON AVENUE","","","HUNTINGTON","WV","25704","","","","54888000"
"# 02  CENTRAL CITY SCHOOL  (MULTIPURPOSE ROOM)","2100 WASHINGTON AVENUE","","","HUNTINGTON","WV","25704","","","","54888001"
"# 03  DEPT. OF TRANS. (DMV LOBBY)","801 MADISON AVENUE","","","HUNTINGTON","WV","25704","","","","54888002"
"# 04  MUSEUM OF RADIO/TECH","1640 FLORENCE AVENUE","","","HUNTINGTON","WV","25704","","","","54888003"
"# 05  DEPT. OF TRANS. (DMV LOBBY)","801 MADISON AVENUE","","","HUNTINGTON","WV","25704","","","","54888004"
"# 06 HUNTINGTON MIDDLE SCHOOL","925 3RD ST","","","HUNTINGTON","","25701","","","","54888005"
"# 09 HUNTINGTON CITY HALL  (LOBBY)","800 5TH AVENUE","","","HUNTINGTON","WV","25701","","","","54888006"
"# 10 HUNTINGTON MIDDLE SCHOOL","925 3RD ST","","","HUNTINGTON","","25701","","","","54888007"
"# 11  FIRST PRES CHURCH","1015 5TH AVENUE","","","HUNTINGTON","WV","25701","","","","54888008"
"# 12  A.D. LEWIS COMM CENTER","","","","","","","","","","54888009"
"# 13 BARNETT CENTER","1524 10TH AVE","","","HUNTINGTON","","25701","","","","54888010"
"# 14  MEADOWS SCHOOL  (GYM)","1601 WASHINGTON BLVD","","","HUNTINGTON","WV","25705","","","","54888011"
"# 16  SENIOR LIFE ENRICH CENTER","1750 9TH AVENUE","","","HUNTINGTON","WV","25703","","","","54888012"
"# 17  SPRING HILL SCHOOL (LOBBY)","1901 HALL AVENUE","","","HUNTINGTON","WV","25701","","","","54888013"
"# 18  MEADOWS SCHOOL  (GYM)","1601 WASHINGTON BLVD","","","HUNTINGTON","WV","25705","","","","54888014"
"# 19  HIGHLAWN SCHOOL (GYM)","2549 1ST AVENUE","","","HUNTINGTON","WV","25701","","","","54888015"
"# 20 COMMUNITY OF GRACE CHURCH","225  28TH ST","","","HUNTINGTON","WV","25701","","","","54888016"
"# 21 FAIRFIELD EAST COMM BLDG","2711 8TH AVENUE","","","HUNTINGTON","WV","25703","","","","54888017"
"# 22 HUNTINGTON HIGH SCHOOL","1 HIGHLANDER WAY","","","HUNTINGTON","WV","25701","","","","54888018"
