"name","number","locality_id","ward","mail_only","ballot_style_image_url","id"
"001","001","543100000024","","no","","54320001"
"005","005","543100000024","","no","","54320004"
"006","006","543100000024","","no","","54320006"
"007","007","543100000024","","no","","54320007"
"01","01","543100000001","","no","","54320008"
"01","01","543100000002","","no","","54320009"
"01","01","543100000003","","no","","543200010"
"01","01","543100000004","","no","","543200011"
"01","01","543100000005","","no","","543200012"
"01","01","543100000006","","no","","543200013"
"01","01","543100000007","","no","","543200014"
"01","01","543100000008","","no","","543200015"
"01","01","543100000011","","no","","543200016"
"01","01","543100000013","","no","","543200018"
"01","01","543100000022","","no","","543200019"
"01","01","543100000023","","no","","543200020"
"01","01","543100000025","","no","","543200021"
"01","01","543100000029","","no","","543200024"
"01","01","543100000032","","no","","543200027"
"01","01","543100000033","","no","","543200028"
"01","01","543100000036","","no","","543200029"
"01","01","543100000037","","no","","543200030"
"01","01","543100000038","","no","","543200031"
"01","01","543100000039","","no","","543200032"
"01","01","543100000040","","no","","543200033"
"01","01","543100000041","","no","","543200034"
"01","01","543100000043","","no","","543200035"
"01","01","543100000044","","no","","543200036"
"01","01","543100000045","","no","","543200037"
"01","01","543100000048","","no","","543200039"
"01","01","543100000050","","no","","543200040"
"01","01","543100000053","","no","","543200041"
"010V","010V","543100000035","","no","","543200043"
"011A","011A","543100000035","","no","","543200044"
"012A","012A","543100000035","","no","","543200045"
"013","013","543100000024","","no","","543200046"
"016","016","543100000024","","no","","543200048"
"016A","016A","543100000035","","no","","543200049"
"018","018","543100000024","","no","","543200050"
"01A","01A","543100000016","","no","","543200051"
"01A","01A","543100000034","","no","","543200052"
"01B","01B","543100000016","","no","","543200053"
"01B","01B","543100000034","","no","","543200054"
"02","02","543100000001","","no","","543200056"
"02","02","543100000002","","no","","543200057"
"02","02","543100000003","","no","","543200058"
"02","02","543100000006","","no","","543200059"
"02","02","543100000009","","no","","543200060"
"02","02","543100000012","","no","","543200061"
"02","02","543100000014","","no","","543200062"
"02","02","543100000019","","no","","543200063"
"02","02","543100000022","","no","","543200064"
"02","02","543100000028","","no","","543200066"
"02","02","543100000033","","no","","543200068"
"02","02","543100000034","","no","","543200069"
"02","02","543100000036","","no","","543200070"
"02","02","543100000037","","no","","543200071"
"02","02","543100000038","","no","","543200072"
"02","02","543100000040","","no","","543200074"
"02","02","543100000041","","no","","543200075"
"02","02","543100000043","","no","","543200076"
"02","02","543100000046","","no","","543200077"
"02","02","543100000048","","no","","543200078"
"02","02","543100000051","","no","","543200079"
"02","02","543100000053","","no","","543200080"
"020","020","543100000024","","no","","543200081"
"027","027","543100000024","","no","","543200084"
"028","028","543100000024","","no","","543200085"
"029","029","543100000024","","no","","543200087"
"03","03","543100000001","","no","","543200091"
"03","03","543100000003","","no","","543200092"
"03","03","543100000004","","no","","543200093"
"03","03","543100000006","","no","","543200094"
"03","03","543100000012","","no","","543200095"
