"name","eo_id","ovc_id","physical_address_state","physical_address_city","physical_address_line3","physical_address_line2","physical_address_line1","physical_address_location_name","physical_address_zip","mailing_address_state","mailing_address_line1","mailing_address_line2","mailing_address_line3","mailing_address_location_name","mailing_address_zip","mailing_address_city","elections_url","registration_url","am_i_registered_url","absentee_url","where_do_i_vote_url","what_is_on_my_ballot_url","rules_url","voter_services","hours","id"
"OFFICE OF THE GENERAL REGISTRAR OF VOTERS","50000","","VA","ACCOMAC","23312 COURTHOUSE AVE","PO BOX 97","COUNTY OF ACCOMACK","OFFICE OF THE GENERAL REGISTRAR OF VOTERS","23301-0097","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m. - 12:30 p.m. and 1:00 - 5:00 p.m.","40000"
"ALBEMARLE COUNTY VOTER REGISTRATION","50001","","VA","CHARLOTTESVILLE","","1600 5TH STREET","","ALBEMARLE COUNTY VOTER REGISTRATION","22902","","","","","","","","http://www.albemarle.org/registrar","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m. - 5:00 p.m.","40001"
"ALLEGHANY COUNTY","50002","","VA","COVINGTON","","SUITE D","110 ROSEDALE AVENUE","ALLEGHANY COUNTY","24426","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9:00 am to 1:00 pm and 2:00 pm to 5:00 pm","40002"
"COUNTY OF AMELIA-PHYSICAL ADDRESS","50003","","VA","AMELIA COURT HOUSE","","","9127 WASHINGTON STREET","COUNTY OF AMELIA-PHYSICAL ADDRESS","23002","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 am - 4:30 pm","40003"
"AMHERST COUNTY","50004","","VA","AMHERST","","","P.O. BOX 550","AMHERST COUNTY","24521-0550","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30AM-4:30PM","40004"
"APPOMATTOX COUNTY - PHYSICAL ADDRESS","50005","","VA","APPOMATTOX","","","367 VIRGINIA AVENUE","APPOMATTOX COUNTY - PHYSICAL ADDRESS","24522-","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40005"
"VOTER REGISTRATION AND ELECTIONS","50006","","VA","ARLINGTON","","","2100 CLARENDON BLVD STE 320","VOTER REGISTRATION AND ELECTIONS","22201-5400","","","","","","","","http://vote.arlingtonva.us","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8-5","40006"
"COUNTY OF AUGUSTA - PHYSICAL ADDRESS","50007","","VA","VERONA","","18 GOVERNMENT CENTER LN","AUGUSTA COUNTY GOVERNMENT CENTER","COUNTY OF AUGUSTA - PHYSICAL ADDRESS","24482-2639","","","","","","","","http://www.co.augusta.va.us","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 am - 1:00 pm and 2:00 pm - 5:00 pm","40007"
"BATH COUNTY","50008","","VA","WARM SPRINGS","65 COURTHOUSE HILL","PO BOX 157","COURTHOUSE","BATH COUNTY","24484","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m. - 12:00; 1:00 - 4:30 p.m.","40008"
"BEDFORD COUNTY OFFICE OF ELECTIONS PHYSICAL ADDRESS","50009","","VA","BEDFORD","","122 E MAIN ST STE 204","COUNTY ADMINISTRATION BLDG","BEDFORD COUNTY OFFICE OF ELECTIONS PHYSICAL ADDRESS","24523","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m. - 5:00 p.m.","40009"
