"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"Clinchco Senior Citizens Center","160 Clinchco Main St. ","","","Clinchco","VA","24226","","6:00 AM - 7:00 PM","","80000"
"TANNERS CRK ELEMENTARY SCHOOL","1335 Longdale Dr","","","Norfolk","VA","235134741","","6:00 AM - 7:00 PM","","80001"
"DORCHESTER COMMUNITY CENTER","4543 Dorchester Rd","","","Norton","VA","242734227","","6:00 AM - 7:00 PM","","80002"
"THOMPSON VALLEY COMMUNITY CENTER","8925 Thompson Valley Rd","","","Tazewell","VA","246519069","","6:00 AM - 7:00 PM","","80003"
"FAIRLAWN ELEMENTARY SCHOOL","1014 Kempsville Rd","","","Norfolk","VA","235022721","","6:00 AM - 7:00 PM","","80004"
"LITTLE CREEK VOLUNTEER FD","10157 Little Creek Hwy","","","Dublin","VA","240847408","","6:00 AM - 7:00 PM","","80005"
"UMW UNION HALL","4018 Stoney Ridge Rd","","","Bandy","VA","24602","","6:00 AM - 7:00 PM","","80006"
"CLEVELAND TOWN HALL","35 Riverview Terrace Dr","","","Cleveland","VA","242257147","","6:00 AM - 7:00 PM","","80007"
"RAVEN ELEMENTARY SCHOOL","122 School St","","","Raven","VA","246399773","","6:00 AM - 7:00 PM","","80008"
"Clintwood Elementary School","150 Elementary Circle","","","Clintwood","VA","24228","","6:00 AM - 7:00 PM","","80009"
"BLUEFIELD TOWN HALL","112 Huffard Dr","","","Bluefield","VA","246059209","","6:00 AM - 7:00 PM","","80010"
"YORKTOWN HIGH SCHOOL","5200 Yorktown Blvd","","","Arlington","VA","222071727","","6:00 AM - 7:00 PM","","80011"
"FIRE STATION #10","1559 Wilson Blvd","","","Arlington","VA","222092433","","6:00 AM - 7:00 PM","","80012"
"POPLAR HALLS ELEMENTARY SCHOOL","5523 Pebble Ln","","","Norfolk","VA","235024409","","6:00 AM - 7:00 PM","","80013"
"PRINCE EDWARD ELKS LODGE #269","636 S Main St","","","Farmville","VA","23901","","6:00 AM - 7:00 PM","","80014"
"PRINCE EDWARD ELKS LODGE #269","636 S Main St","","","Farmville","VA","239012140","","6:00 AM - 7:00 PM","","80015"
"BETTIE F WILLIAMS ELEM SCHOOL","892 Newtown Rd","","","Virginia Beach","VA","234621145","","6:00 AM - 7:00 PM","","80016"
"EASTON PRESCHOOL","6045 Curlew Dr","","","Norfolk","VA","235024713","","6:00 AM - 7:00 PM","","80017"
"OLD SULPHUR SPRINGS SCHOOL","3123 Frying Pan Road","VA HWY 625","","Birchleaf","VA","24220","","6:00 AM - 7:00 PM","","80018"
"NUCKOLLS HALL","515 Fairground Rd","","","Tazewell","VA","246519791","","6:00 AM - 7:00 PM","","80019"
