"name","number","locality_id","ward","mail_only","ballot_style_image_url","id"
"303 - WARDELL","0303","70088","","","","90000"
"020 - THRIFTON","0020","70006","","","","90001"
"103 - GUEST RIVER VOTING PLACE","0103","70095","","","","90002"
"302 - NORTH GRUNDY","0302","70013","","","","90003"
"203 - NEWBERN","0203","70073","","","","90004"
"044 - DAWSON TERRACE","0044","70006","","","","90005"
"050 - CRYSTAL PLAZA","0050","70006","","","","90006"
"602 - GARDEN","0602","70013","","","","90007"
"093 - NEWTOWN","0093","70129","","","","90008"
"314 - MCLEAN","0314","70028","","","","90009"
"402 - SWORDS CREEK","0402","70079","","","","90010"
"016 - LYON VILLAGE","0016","70006","","","","90011"
"019 - ROSSLYN","0019","70006","","","","90012"
"305 - POUNDING MILL","0305","70088","","","","90013"
"003 - WEST PRECINCT","0003","70123","","","","90014"
"001 - EAST WARD","0001","70119","","","","90015"
"204 - CLEAR FORK","0204","70088","","","","90016"
"409 - FAIRLAWN","0409","70118","","","","90017"
"501 - ROBINSON","0501","70073","","","","90018"
"006 - CRYSTAL CITY","0006","70006","","","","90019"
"502 - NORTH CLINTWOOD","0502","70025","","","","90020"
"401 - HAYSI-COLLEY","0401","70025","","","","90021"
"203 - CLINCHCO","0203","70025","","","","90022"
"021 - DAVIS CORNER","0021","70129","","","","90023"
"302 - MECHANICSBURG","0302","70010","","","","90024"
"301 - HOLLYBROOK","0301","70010","","","","90025"
"502 - GRAHAM","0502","70088","","","","90026"
"401 - RICHLANDS","0401","70088","","","","90027"
"501 - PRATER","0501","70013","","","","90028"
"002 - CENTRAL PRECINCT","0002","70123","","","","90029"
"214 - THOMPSON VALLEY","0214","70088","","","","90030"
"110 - ADRIA","0110","70088","","","","90031"
"057 - SHERRY PARK","0057","70129","","","","90032"
"WARD B - 0950B","B","70070","","","","90033"
"007 - CHERRYDALE","0007","70006","","","","90034"
"303 - BOWLING PARK","0303","70118","","","","90035"
"WARD D - 0950D","D","70070","","","","90036"
"302 - CHESTERBROOK","0302","70028","","","","90037"
"602 - ELK GARDEN","0602","70079","","","","90038"
"401 - ROCKY GAP","0401","70010","","","","90039"
"061 - BAKER","0061","70129","","","","90040"
"209 - JEFFERSONVILLE","0209","70088","","","","90041"
"503 - VANSANT","0503","70013","","","","90042"
"103 - HURLEY","0103","70013","","","","90043"
"307 - HAYCOCK","0307","70028","","","","90044"
"404 - CAMPOSTELLA","0404","70118","","","","90045"
"405 - CHESTERFIELD","0405","70118","","","","90046"
