"precinct_id","polling_location_id"
"90000","80079"
"90001","80023"
"90002","80109"
"90003","80111"
"90004","80058"
"90005","80135"
"90006","80056"
"90007","80089"
"90008","80038"
"90009","80140"
"90010","80046"
"90011","80032"
"90012","80012"
"90013","80098"
"90014","80082"
"90016","80093"
"90017","80004"
"90018","80069"
"90019","80041"
"90020","80009"
"90021","80047"
"90022","80000"
"90023","80016"
"90024","80124"
"90025","80068"
"90026","80010"
"90027","80029"
"90028","80045"
"90029","80087"
"90030","80003"
"90031","80118"
"90032","80088"
"90033","80084"
"90034","80039"
"90035","80054"
"90036","80015"
"90037","80060"
"90038","80103"
"90039","80026"
"90040","80066"
"90041","80019"
"90042","80034"
"90043","80049"
"90044","80030"
"90045","80027"
"90046","80090"
"90047","80073"
"90048","80006"
"90049","80112"
"90050","80078"
"90051","80072"
"90052","80042"
"90053","80137"
"90055","80011"
"90056","80057"
"90057","80099"
"90058","80130"
"90059","80097"
"90060","80127"
"90061","80024"
"90062","80106"
"90063","80133"
"90064","80136"
"90065","80123"
"90066","80081"
"90067","80014"
"90068","80110"
"90069","80028"
"90070","80035"
"90071","80128"
"90072","80129"
"90073","80061"
"90074","80055"
"90075","80017"
"90076","80086"
"90077","80063"
"90078","80139"
"90079","80077"
"90080","80037"
"90081","80126"
"90082","80036"
"90083","80094"
"90084","80083"
"90085","80121"
"90086","80116"
"90087","80020"
"90088","80065"
"90089","80105"
"90090","80007"
"90091","80075"
"90092","80021"
"90093","80002"
"90094","80051"
"90095","80059"
"90096","80113"
"90097","80040"
"90098","80114"
"90099","80092"
"90100","80115"
"90101","80050"
"90102","80070"
"90103","80095"
"90104","80107"
"90105","80125"
"90106","80071"
"90107","80074"
"90108","80119"
"90109","80141"
"90110","80043"
"90111","80001"
"90112","80062"
"90113","80053"
"90114","80104"
"90115","80048"
"90116","80064"
"90117","80044"
"90118","80008"
"90119","80102"
"90120","80122"
"90121","80033"
"90122","80013"
"90123","80100"
"90124","80025"
"90125","80018"
"90126","80067"
"90127","80085"
"90128","80031"
"90129","80134"
"90130","80120"
"90131","80022"
"90132","80131"
"90133","80091"
"90134","80138"
"90135","80052"
"90136","80117"
"90137","80132"
"90138","80076"
"90139","80096"
"90140","80108"
"90141","80080"
"90142","80005"
"90143","80101"
"90054","80113"
"90015","80142"
