"precinct_split_id","electoral_district_id"
"100000","60001"
"100001","60001"
"100002","60001"
"100003","60003"
"100004","60001"
"100005","60003"
"100006","60001"
"100007","60001"
"100008","60002"
"100009","60001"
"100010","60001"
"100011","60001"
"100012","60001"
"100013","60001"
"100014","60002"
"100015","60000"
"100016","60003"
"100017","60002"
"100018","60002"
"100019","60003"
"100020","60000"
"100021","60001"
"100022","60002"
"100023","60001"
"100024","60001"
"100025","60001"
"100026","60001"
"100027","60001"
"100028","60002"
"100029","60001"
"100030","60001"
"100031","60000"
"100032","60001"
"100033","60001"
"100034","60001"
"100035","60001"
"100036","60001"
"100037","60001"
"100038","60000"
"100039","60000"
"100040","60003"
"100041","60002"
"100042","60001"
"100043","60001"
"100044","60001"
"100045","60001"
"100046","60001"
"100047","60003"
"100048","60001"
"100049","60001"
"100050","60001"
"100051","60001"
"100052","60003"
"100053","60001"
"100054","60001"
"100055","60001"
"100056","60001"
"100057","60001"
"100058","60001"
"100059","60003"
"100060","60001"
"100061","60001"
"100062","60001"
"100063","60001"
"100064","60001"
"100065","60003"
"100066","60001"
"100067","60001"
"100068","60001"
"100069","60001"
"100070","60001"
"100071","60001"
"100072","60001"
"100073","60001"
"100074","60001"
"100075","60002"
"100076","60001"
"100077","60002"
"100078","60002"
"100079","60000"
"100080","60001"
"100081","60003"
"100082","60001"
"100083","60003"
"100084","60001"
"100085","60001"
"100086","60001"
"100087","60001"
"100088","60003"
"100089","60001"
"100090","60001"
"100091","60001"
"100092","60001"
"100093","60001"
"100094","60001"
"100095","60001"
"100096","60001"
"100097","60003"
"100098","60003"
"100099","60001"
"100100","60001"
"100101","60001"
"100102","60003"
"100103","60001"
"100104","60001"
"100105","60001"
"100106","60001"
"100107","60001"
"100108","60001"
"100109","60001"
"100110","60001"
"100111","60001"
"100112","60001"
"100113","60001"
"100114","60001"
"100115","60001"
"100116","60001"
"100117","60001"
"100118","60003"
"100119","60001"
"100120","60003"
"100121","60001"
"100122","60001"
"100123","60001"
"100124","60001"
"100125","60001"
"100126","60001"
"100127","60001"
"100128","60001"
"100129","60001"
"100130","60003"
"100131","60001"
"100132","60001"
"100133","60001"
"100134","60001"
"100135","60001"
"100136","60001"
"100137","60001"
"100138","60001"
"100139","60001"
"100140","60003"
"100141","60001"
"100142","60003"
"100143","60001"
"100144","60002"
"100145","60001"
"100146","60001"
"100147","60001"
"100148","60002"
"100149","60001"
"100150","60001"
"100151","60001"
"100152","60001"
"100153","60002"
"100154","60001"
"100155","60001"
"100156","60001"
"100157","60003"
"100158","60001"
"100159","60001"
"100160","60001"
"100161","60001"
"100162","60002"
"100163","60002"
"100164","60002"
"100165","60001"
"100166","60002"
"100167","60001"
"100168","60001"
"100169","60002"
"100170","60002"
"100171","60001"
"100172","60001"
