"start_house_number","end_house_number","odd_even_both","start_apartment_number","end_apartment_number","non_house_address_address_direction","non_house_address_street_name","non_house_address_house_number_prefix","non_house_address_city","non_house_address_street_suffix","non_house_address_state","non_house_address_street_direction","non_house_address_house_number_suffix","non_house_address_zip","non_house_address_apartment","non_house_address_house_number","precinct_id","precinct_split_id","id"
"1","1","Both","","","","Mcdonald","","Bluefield","ST","VA","","","24605","","","90026","100089","2000000"
"1","1","Both","","","","Saint Clair","","RICHLANDS","LN","VA","","","24641","","","90027","100135","2000001"
"1","1","Both","0","1000","","Jefferson Hall","","Radford","","VA","","","24142","","","90137","100071","2000002"
"1","1","Both","0","1500","","Muse Hall","","Radford","","VA","","","24142","","","90137","100071","2000003"
"1","1","Both","0","500","","Trinkle Hall","","Radford","","VA","","","24142","","","90137","100071","2000004"
"1","1","Odd","","","","BAKER","","N TAZEWELL","ST","VA","","","24630","","","90041","100116","2000005"
"1","1","Odd","","","","Presidential","","Norfolk","Pkwy","VA","","","23504","","","90079","100017","2000006"
"1","1","Odd","# 1","# 1","","ACADEMIC","","BLUEFIELD","CIR","VA","","","24605","","","90026","100089","2000007"
"1","10","Both","","","","PINETREE","","RADFORD","LN","VA","","","24141","","","90029","100115","2000008"
"1","100","Both","","","","Barkay","","Bluefield","ESTS","VA","","","24605","","","90138","100060","2000009"
"1","100","Both","","","","BERKLEY WILLIAMS","","RADFORD","DR","VA","","","24141","","","90137","100071","2000010"
"1","100","Both","","","","BEVERLY","","RADFORD","ST","VA","","","24141","","","90014","100129","2000011"
"1","100","Both","","","","BURKE","","SAINT PAUL","ST","VA","","","24283","","","90141","100029","2000012"
"1","100","Both","","","","BYPASS","","Lebanon","ST","VA","","","24266","","","90059","100034","2000013"
"1","100","Both","","","","CHESTNUT","","RADFORD","ST","VA","","","24141","","","90137","100071","2000014"
"1","100","Both","","","","DEHAVEN","","RADFORD","DR","VA","","","24141","","","90029","100115","2000015"
"1","100","Both","","","","DENVER","","Saint Paul","ST","VA","","","24283","","","90141","100029","2000016"
"1","100","Both","","","","EDGEHILL","","RADFORD","LN","VA","","","24141","","","90137","100071","2000017"
"1","100","Both","","","","FRYE","","PULASKI","ST","VA","","","24301","","","90139","100101","2000018"
"1","100","Both","","","","HICKORY","","RADFORD","LN","VA","","","24141","","","90137","100071","2000019"
"1","100","Both","","","","HUMBLE","","RADFORD","ST","VA","","","24141","","","90029","100115","2000020"
"1","100","Both","","","","PINECREST","","HONAKER","DR","VA","","","24260","","","90136","100105","2000021"
"1","100","Both","","","","RHODOENDRON","","PULASKI","LN","VA","","","24301","","","90018","100072","2000022"
"1","100","Both","","","","SLAUGHTER","","PULASKI","ST","VA","","","24301","","","90057","100061","2000023"
"1","100","Both","","","","SUES","","CLEVELAND","DR","VA","","","24225","","","90090","100109","2000024"
"1","100","Both","","","","VILLAGE","","Lebanon","DR","VA","","","24266","","","90129","100096","2000025"
"1","1000","Both","","","","CARRIAGE HILL","","PULASKI","DR","VA","","","24301","","","90018","100072","2000026"
"1","1000","Both","","","","CITY VIEW","","PULASKI","HTS","VA","","","24301","","","90018","100072","2000027"
"1","1000","Both","","","","LAUREL WOOD","","PULASKI","DR","VA","","","24301","","","90139","100101","2000028"
"1","1000","Both","","","SE","WOODLAND","","NORTON","TER","VA","","","24273","","","90015","100058","2000029"
"1","1001","Both","","","","CRYSTAL SPRINGS","","BLAND","DR","VA","","","24315","","","90024","100172","2000030"
"1","1003","Both","","","","TIGERTOWN","","HONAKER","DR","VA","","","24260","","","90056","100167","2000031"
"1","1005","Both","","","","GARDNER","","HONAKER","RD","VA","","","24260","","","90010","100062","2000032"
"1","1007","Both","","","W","Wood","","Big Stone Gap","AVE","VA","","","24219","","","90089","100091","2000033"
"1","101","Both","","","","KENNY OSBORNE","","Castlewood","DR","VA","","","24224","","","90141","100029","2000034"
"1","101","Both","","","","Larkspur","","Bastian","LN","VA","","","24314","","","90039","100171","2000035"
"1","101","Both","","","","WILLOW","","HONAKER","CIR","VA","","","24260","","","90136","100105","2000036"
"1","101","Both","","","S","ALGONQUIN","","BIG STONE GAP","ST","VA","E","","24219","","","90089","100091","2000037"
"1","1010","Both","","","","HEATHER GLEN","","RADFORD","DR","VA","","","24141","","","90029","100115","2000038"
"1","1010","Both","","","","SUNSET","","ROSEDALE","RD","VA","","","24280","","","90038","100054","2000039"
"1","102","Both","","","","4TH","","CLEVELAND","ST","VA","","","24225","","","90090","100100","2000040"
"1","102","Both","","","","FLAT ROCK","","Lebanon","LN","VA","","","24266","","","90129","100096","2000041"
"1","1020","Both","","","","PENDLETON","","RADFORD","ST","VA","","","24141","","","90014","100129","2000042"
"1","1026","Both","","","","HUBBARD TOWN","","HONAKER","RD","VA","","","24260","","","90056","100123","2000043"
"1","1027","Both","","","","BLAND FARM","","BLAND","RD","VA","","","24315","","","90024","100172","2000044"
"1","1028","Both","","","","SETTLE","","Lebanon","LN","VA","","","24266","","","90038","100054","2000045"
"1","103","Both","","","","ALTAMONT","","Lebanon","DR","VA","","","24266","","","90129","100096","2000046"
"1","103","Both","","","","BOLLING","","CASTLEWOOD","ST","VA","","","24224","","","90100","100106","2000047"
"1","103","Both","","","","CAMP","","BASTIAN","DR","VA","W","","24314","","","90105","100013","2000048"
"1","103","Both","","","","Colleys Trailer Park","","Bastian","LN","VA","","","24314","","","90105","100013","2000049"
"1","103","Both","","","","Mossy Oak","","Bland","LN","VA","","","24315","","","90119","100063","2000050"
"1","103","Both","","","","WOOD LAND","","Lebanon","CIR","VA","","","24266","","","90129","100096","2000051"
"1","1033","Both","","","","DISMAL CREEK","","BLAND","RD","VA","","","24315","","","90025","100136","2000052"
"1","1035","Both","","","","BRANDON","","Honaker","LN","VA","","","24260","","","90010","100062","2000053"
"1","104","Both","","","","DUFF","","Lebanon","ST","VA","","","24266","","","90059","100034","2000054"
"1","1043","Both","","","","DRY HOLLOW","","BLAND","RD","VA","","","24315","","","90024","100172","2000055"
"1","1045","Both","","","","Ravens Cliff","","Ceres","DR","VA","","","24318","","","90063","100154","2000056"
"1","1047","Both","","","","Stillhouse Spring","","Bland","Dr","VA","","","24315","","","90119","100063","2000057"
"1","1049","Both","","","","HOGBACK RIDGE","","BLAND","RD","VA","","","24315","","","90119","100063","2000058"
"1","105","Both","","","","BIG B","","CASTLEWOOD","DR","VA","","","24224","","","90141","100029","2000059"
"1","105","Both","","","","EVERGREEN","","Castlewood","ST","VA","","","24224","","","90141","100029","2000060"
"1","105","Both","","","","FERNWOOD","","ROCKY GAP","DR","VA","","","24366","","","90039","100171","2000061"
"1","105","Both","","","","Hauschild","","Farmville","DR","VA","","","23901","","","90054","100031","2000062"
"1","105","Both","","","","WILLOW","","Castlewood","DR","VA","","","24224","","","90100","100106","2000063"
"1","10527","Both","","","","CLEAR FORK CREEK","","BASTIAN","RD","VA","","","24314","","","90039","100171","2000064"
"1","1055","Both","","","","FINCASTLE ESTATES","","Lebanon","","VA","","","24266","","","90059","100051","2000065"
"1","106","Both","","","","RUSSELL","","Lebanon","DR","VA","","","24266","","","90059","100051","2000066"
"1","106","Both","","","","TRAIN TRACK","","Cleveland","AVE","VA","","","24225","","","90090","100100","2000067"
"1","1062","Both","","","","MAPLE GAP","","Swords Creek","RD","VA","","","24649","","","90010","100062","2000068"
"1","107","Both","","","","Grayson","","Bland","LN","VA","","","24315","","","90063","100154","2000069"
"1","107","Both","","","","MANSION","","Lebanon","DR","VA","","","24266","","","90104","100066","2000070"
"1","107","Both","","","","NEECE","","CASTLEWOOD","ST","VA","","","24224","","","90094","100002","2000071"
"1","107","Both","","","","RHODADENDRON","","BLAND","LN","VA","","","24315","","","90025","100136","2000072"
"1","107","Both","","","","Sun Ridge","","Bastian","LN","VA","","","24314","","","90105","100013","2000073"
"1","107","Both","","","","SWEETWATER","","CERES","LN","VA","","","24318","","","90063","100154","2000074"
"1","107","Both","","","","SYCAMORE","","HONAKER","DR","VA","","","24260","","","90136","100105","2000075"
"1","1077","Both","","","","ROBINSON RIDGE","","Swords Creek","RD","VA","","","24649","","","90010","100062","2000076"
"1","1078","Both","","","","BEAR WALLOW","","Castlewood","RD","VA","","","24224","","","90100","100106","2000077"
"1","1079","Both","","","","Lodge","","Bastian","DR","VA","","","24314","","","90105","100013","2000078"
"1","1081","Odd","","","","SUNNY POINT","","CASTLEWOOD","RD","VA","","","24224","","","90141","100029","2000079"
"1","109","Both","","","","BOYD","","BASTIAN","LN","VA","","","24314","","","90105","100013","2000080"
"1","109","Both","","","","FAITH","","Cleveland","ST","VA","","","24225","","","90090","100109","2000081"
"1","109","Both","","","","Rivermont","","Bluefield","DR","VA","","","24605","","","90026","100089","2000082"
"1","109","Both","","","","TALBERT","","Castlewood","ST","VA","","","24224","","","90100","100106","2000083"
"1","1091","Both","","","","BEARS","","Lebanon","LN","VA","","","24266","","","90056","100123","2000084"
"1","1093","Both","","","","PONDAROSA","","LEBANON","RD","VA","","","24266","","","90129","100096","2000085"
"1","1095","Both","","","","GRISSOM CREEK","","HONAKER","RD","VA","","","24260","","","90143","100145","2000086"
"1","11","Both","","","","WILD ROSE","","CEDAR BLUFF","DR","VA","","","24609","","","90038","100054","2000087"
"1","11","Both","","","N","11th","","Big Stone Gap","ST","VA","E","","24219","","","90089","100091","2000088"
"1","11","Both","","","N","12th","","Big Stone Gap","ST","VA","W","","24219","","","90089","100091","2000089"
"1","11","Both","","","W","3rd","","Big Stone Gap","AVE","VA","","","24219","","","90089","100091","2000090"
"1","110","Both","","","","BEAVERS FARM","","CEDAR BLUFF","RD","VA","","","24609","","","90038","100054","2000091"
"1","110","Both","","","","FALCON CREST","","HONAKER","DR","VA","","","24260","","","90136","100105","2000092"
"1","110","Both","","","","MILLER","","RADFORD","ST","VA","","","24141","","","90137","100071","2000093"
"1","110","Both","","","","MONROE","","RADFORD","TER","VA","","","24141","","","90137","100071","2000094"
"1","110","Odd","","","","LONG WAY HOME","","RADFORD","DR","VA","","","24141","","","90014","100129","2000095"
"1","1100","Both","","","","WASHINGTON SQ","","PULASKI","DR","VA","","","24301","","","90139","100101","2000096"
"1","1108","Both","","","","HAZEL OSBORNE","","Castlewood","RD","VA","","","24224","","","90141","100029","2000097"
"1","111","Both","","","","COBBLESTONE","","Cedar Bluff","DR","VA","","","24609","","","90038","100054","2000098"
"1","111","Both","","","","LEDGE","","Lebanon","DR","VA","","","24266","","","90059","100034","2000099"
"1","111","Both","","","","LONG SPUR SCHOOL","","DUBLIN","DR","VA","","","24084","","","90142","100046","2000100"
"1","111","Both","","","","VALLEY VIEW","","Lebanon","DR","VA","","","24266","","","90059","100051","2000101"
"1","111","Both","","","","Walkers","","Bland","LN","VA","","","24315","","","90024","100172","2000102"
"1","1110","Both","","","","DOVEWOOD","","Swords Creek","LN","VA","","","24649","","","90010","100062","2000103"
"1","1110","Both","","","","ROBERTSON","","RADFORD","ST","VA","","","24141","","","90029","100115","2000104"
"1","1111","Both","","","","STONE MOUNTAIN","","HONAKER","RD","VA","","","24260","","","90056","100167","2000105"
"1","112","Both","","","","FRANKS","","Castlewood","DR","VA","","","24224","","","90100","100106","2000106"
"1","112","Both","","","","MONTGOMERY","","RADFORD","ST","VA","","","24141","","","90014","100129","2000107"
"1","112","Both","","","","STARNES","","Lebanon","DR","VA","","","24266","","","90104","100066","2000108"
"1","112","Both","","","","SUNNYHILL","","Lebanon","DR","VA","","","24266","","","90059","100051","2000109"
"1","1120","Both","","","","SPRING HILL","","Cedar Bluff","RD","VA","","","24609","","","90038","100054","2000110"
"1","1121","Both","","","E","Railroad","","Big Stone Gap","AVE","VA","","","24219","","","90089","100091","2000111"
"1","1122","Both","","","","GLADE HILL","","LEBANON","DR","VA","","","24266","","","90069","100064","2000112"
"1","1122","Both","","","","J FRANK TAYLOR","","Cedar Bluff","RD","VA","","","24609","","","90038","100054","2000113"
"1","1127","Odd","","","","THOMPSON CREEK","","Honaker","RD","VA","","","24260","","","90056","100167","2000114"
"1","113","Both","","","","BACHELOR HILL","","Honaker","DR","VA","","","24260","","","90056","100167","2000115"
"1","113","Both","","","","CLOVER HILL CULDESAC","","ROSEDALE","","VA","","","24280","","","90038","100054","2000116"
"1","113","Both","","","","COOK","","LEBANON","AVE","VA","","","24266","","","90059","100034","2000117"
"1","113","Both","","","","Mulberry","","Bastian","LN","VA","","","24314","","","90105","100013","2000118"
"1","113","Both","","","","PINEVIEW","","Honaker","DR","VA","","","24260","","","90136","100105","2000119"
"1","113","Both","","","","SAN DOE","","LEBANON","AVE","VA","","","24266","","","90059","100034","2000120"
"1","11355","Odd","","","","Grapefield","","Bastian","RD","VA","","","24314","","","90039","100171","2000121"
"1","114","Both","","","","ANGEL","","Cleveland","ST","VA","","","24225","","","90090","100109","2000122"
"1","114","Both","","","","FOX","","Lebanon","AVE","VA","","","24266","","","90059","100034","2000123"
"1","114","Both","","","","LANCE","","Honaker","DR","VA","","","24260","","","90010","100062","2000124"
"1","114","Both","","","","MUNSEY","","Lebanon","DR","VA","","","24266","","","90059","100034","2000125"
"1","114","Both","","","","Proctor","","Big Stone Gap","CIR","VA","","","24219","","","90089","100091","2000126"
"1","115","Both","","","","CHURCH HILL","","BLAND","LN","VA","","","24315","","","90119","100063","2000127"
"1","115","Both","","","","DEPOT","","BASTIAN","RD","VA","","","24314","","","90105","100013","2000128"
"1","115","Both","","","","HAMILTON","","Saint Paul","ST","VA","","","24283","","","90094","100002","2000129"
"1","115","Both","","","","Windsor","","Bluefield","CIR","VA","","","24605","","","90026","100089","2000130"
"1","1150","Both","","","","MEADOWVIEW","","PULASKI","DR","VA","","","24301","","","90139","100101","2000131"
"1","116","Both","","","","CREST VIEW","","ROSEDALE","DR","VA","","","24280","","","90038","100054","2000132"
"1","116","Both","","","","FARR","","Castlewood","ST","VA","","","24224","","","90100","100106","2000133"
"1","116","Both","","","","GOSE","","Saint Paul","ST","VA","","","24283","","","90094","100002","2000134"
"1","1162","Both","","","","TWIN OAK","","Lebanon","CIR","VA","","","24266","","","90104","100066","2000135"
"1","1163","Both","","","","BLANCHE DAVIS","","Castlewood","RD","VA","","","24224","","","90087","100095","2000136"
"1","1165","Both","","","","NO BUSINESS CREEK","","BLAND","RD","VA","","","24315","","","90025","100136","2000137"
"1","117","Both","","","","ANGLE","","Lebanon","AVE","VA","S","","24266","","","90059","100034","2000138"
"1","117","Both","","","","CHURCH","","Castlewood","ST","VA","","","24224","","","90141","100029","2000139"
"1","117","Both","","","","ELIZABETH","","Castlewood","DR","VA","","","24224","","","90087","100095","2000140"
"1","117","Both","","","","REDWOOD","","HONAKER","DR","VA","","","24260","","","90136","100105","2000141"
"1","117","Both","","","","SUMMERSWEET","","ROCKY GAP","LN","VA","","","24366","","","90039","100171","2000142"
"1","117","Both","","","","Summit View","","Bastian","LN","VA","","","24314","","","90105","100013","2000143"
"1","117","Both","","","","WATER","","Saint Paul","LN","VA","","","24283","","","90094","100002","2000144"
