"ballot_id","candidate_id","sort_order"
"25","10051",""
"226","10944",""
"403","10233",""
"414","10451",""
"422","10938",""
"96","10939",""
"76","10859",""
"182","10937",""
"239","10937",""
"94","10586",""
"32","10020",""
"256","10060",""
"282","10176",""
"292","10468",""
"307","10420",""
"224","10938",""
"6","10940",""
"350","10942",""
"369","10942",""
"201","10937",""
"220","10937",""
"218","10273",""
"76","10942",""
"21","10747",""
"46","10632",""
"151","10941",""
"170","10941",""
"95","10942",""
"114","10942",""
"155","10942",""
"133","10832",""
"238","10940",""
"72","10941",""
"76","10225",""
"215","10939",""
"174","10942",""
"391","10942",""
"318","10937",""
"337","10937",""
"358","10937",""
"377","10937",""
"11","10938",""
"317","10940",""
"336","10940",""
"258","10232",""
"273","10184",""
"294","10939",""
"313","10939",""
"293","10942",""
"312","10942",""
"41","10323",""
"258","10937",""
"257","10940",""
"110","10941",""
"417","10967",""
"18","10018",""
"139","10827",""
"400","10938",""
"194","10939",""
"234","10939",""
"193","10942",""
"343","10627",""
"179","10937",""
"152","10938",""
"229","10657",""
"53","10168",""
"226","10956",""
"381","10938",""
"175","10939",""
"355","10424",""
"261","10937",""
"299","10937",""
"414","10940",""
"366","10435",""
"410","10942",""
"48","10064",""
"198","10587",""
"161","10937",""
"219","10940",""
"13","10941",""
"287","10941",""
"290","10785",""
"296","10371",""
"332","10415",""
"343","10938",""
"137","10939",""
"148","10879",""
"2","10164",""
"196","10667",""
"1","10368",""
"133","10616",""
"126","10390",""
"35","10453",""
"69","10117",""
"7","10037",""
"73","10941",""
"84","10354",""
"88","10940",""
"2","10641",""
"110","10908",""
"100","10937",""
"316","10967",""
"219","10273",""
"236","10708",""
"235","10939",""
"351","10942",""
"80","10546",""
"271","10403",""
"398","10312",""
"399","10967",""
"302","10938",""
"216","10939",""
"301","10941",""
"390","10942",""
"37","10720",""
"183","10445",""
"16","10643",""
"245","10967",""
"74","10938",""
"159","10940",""
"378","10967",""
"92","10915",""
"26","10051",""
"109","10911",""
"122","10353",""
"416","10937",""
"363","10435",""
"421","10938",""
"295","10939",""
"352","10939",""
"142","10434",""
"59","10937",""
"310","10938",""
"376","10940",""
"31","10941",""
"309","10941",""
"237","10967",""
"75","10097",""
"345","10011",""
"273","10939",""
"272","10942",""
"142","10828",""
"397","10937",""
"231","10938",""
"297","10940",""
"396","10940",""
"230","10941",""
"390","10320",""
"418","10463",""
"419","10460",""
"167","10940",""
"87","10010",""
"237","10706",""
"267","10393",""
"275","10332",""
"323","10407",""
"160","10937",""
"395","10967",""
"87","10715",""
"156","10939",""
"354","10942",""
"56","10731",""
"198","10169",""
"290","10047",""
"303","10434",""
"415","10940",""
"73","10953",""
