"election_id","electoral_district_id","type","partisan","primary_party","electorate_specifications","special","office","filing_closed_date","number_elected","number_voting_for","ballot_id","ballot_placement","id"
"30000","60332","","NO","","","no","Treasurer","1900-01-01","1","1","87","13","20000"
"30000","60238","","NO","","","no","Commissioner of Revenue","1900-01-01","1","1","77","12","20001"
"30000","60054","","NO","","","no","Member School Board","1900-01-01","1","1","48","28","20002"
"30000","60054","","NO","","","no","Member School Board","1900-01-01","1","1","51","28","20003"
"30000","60164","","NO","","","no","Commonwealth's Attorney","1900-01-01","1","1","106","10","20004"
"30000","60235","","NO","","","no","Member House of Delegates","1900-01-01","1","1","364","8","20005"
"30000","60235","","NO","","","no","Member House of Delegates","1900-01-01","1","1","399","8","20006"
"30000","60310","","NO","","","no","Sheriff","1900-01-01","1","1","167","11","20007"
"30000","60324","","NO","","","no","Member House of Delegates","1900-01-01","1","1","331","8","20008"
"30000","60098","","NO","","","no","Member House of Delegates","1900-01-01","1","1","286","8","20009"
"30000","60098","","NO","","","no","Member House of Delegates","1900-01-01","1","1","289","8","20010"
"30000","60292","","NO","","","no","Member Board of Supervisors","1900-01-01","1","1","234","18","20011"
"30000","60255","","NO","","","no","Treasurer","1900-01-01","1","1","80","13","20012"
"30000","60092","","NO","","","no","Member House of Delegates","1900-01-01","1","1","45","8","20013"
"30000","60241","","NO","","","no","Sheriff","1900-01-01","1","1","254","11","20014"
"30000","60241","","NO","","","no","Sheriff","1900-01-01","1","1","341","11","20015"
"30000","60101","","NO","","","no","Treasurer","1900-01-01","1","1","99","13","20016"
"30000","60315","","NO","","","no","Member House of Delegates","1900-01-01","1","1","42","8","20017"
"30000","60315","","NO","","","no","Member House of Delegates","1900-01-01","1","1","164","8","20018"
"30000","60329","","NO","","","no","Member School Board","1900-01-01","1","1","289","28","20019"
"30000","60329","","NO","","","no","Member School Board","1900-01-01","1","1","411","28","20020"
"30000","60310","","NO","","","no","Treasurer","1900-01-01","1","1","63","13","20021"
"30000","60310","","NO","","","no","Treasurer","1900-01-01","1","1","237","13","20022"
"30000","60297","","NO","","","no","Member Board of Supervisors","1900-01-01","1","1","89","18","20023"
"30000","60052","","NO","","","no","Member Board of Supervisors","1900-01-01","1","1","71","18","20024"
"30000","60325","","NO","","","no","Member Board of Supervisors","1900-01-01","1","1","307","18","20025"
"30000","60190","","NO","","","no","Commissioner of Revenue","1900-01-01","1","1","8","12","20026"
"30000","60048","","NO","","","no","Member House of Delegates","1900-01-01","1","1","219","8","20027"
"30000","60322","","NO","","","no","Member Board of Supervisors","1900-01-01","1","1","191","18","20028"
"30000","60058","","NO","","","no","Sheriff","1900-01-01","1","1","131","11","20029"
"30000","60058","","NO","","","no","Sheriff","1900-01-01","1","1","259","11","20030"
"30000","60058","","NO","","","no","Sheriff","1900-01-01","1","1","311","11","20031"
"30000","60058","","NO","","","no","Sheriff","1900-01-01","1","1","320","11","20032"
"30000","60058","","NO","","","no","Sheriff","1900-01-01","1","1","375","11","20033"
"30000","60058","","NO","","","no","Sheriff","1900-01-01","1","1","404","11","20034"
"30000","60058","","NO","","","no","Sheriff","1900-01-01","1","1","407","11","20035"
"30000","60085","","NO","","","no","Member School Board","1900-01-01","1","1","102","28","20036"
"30000","60238","","NO","","","no","Member School Board - Special","1900-01-01","1","1","77","25","20037"
"30000","60201","","NO","","","no","Member House of Delegates","1900-01-01","1","1","185","8","20038"
"30000","60030","","NO","","","no","Member Board of Supervisors","1900-01-01","1","1","48","18","20039"
"30000","60030","","NO","","","no","Member Board of Supervisors","1900-01-01","1","1","51","18","20040"
"30000","60077","","NO","","","no","Member House of Delegates","1900-01-01","1","1","113","8","20041"
"30000","60209","","NO","","","no","Member House of Delegates","1900-01-01","1","1","238","8","20042"
"30000","60270","","NO","","","no","Member Board of Supervisors","1900-01-01","1","1","5","18","20043"
"30000","60024","","NO","","","no","Member House of Delegates","1900-01-01","1","1","181","8","20044"
"30000","60024","","NO","","","no","Member House of Delegates","1900-01-01","1","1","184","8","20045"
"30000","60085","","NO","","","no","Member Board of Supervisors","1900-01-01","1","1","101","18","20046"
