"name","type","number","id"
"WINCHESTER CITY","Locality","","60000"
"DISTRICT 5","Election","05","60001"
"038","House of Delegates","038","60002"
"BANISTER DISTRICT","Election","03","60003"
"DISTRICT 7","Election","07","60004"
"019","House of Delegates","019","60005"
"ELK CREEK DISTRICT","Election","02","60006"
"SOUTHERN DISTRICT","Election","02","60007"
"067","House of Delegates","067","60008"
"RED BUD DISTRICT","Election","06","60009"
"VINTON DISTRICT","Election","04","60010"
"BOONE DISTRICT","Election","06","60011"
"POWHATAN DISTRICT","Election","03","60012"
"DISTRICT 1","Election","01","60013"
"SHANGHAI DISTRICT","Election","05","60014"
"COLLINSVILLE DISTRICT","Election","04","60015"
"NORFOLK CITY","Locality","","60016"
"DISTRICT 2","Election","02","60017"
"BUENA VISTA CITY","Locality","","60018"
"CALLANDS-GRETNA DISTRICT","Election","02","60019"
"GALAX CITY","Locality","","60020"
"CUNNINGHAM DISTRICT","Election","04","60021"
"DISTRICT A","Election","01","60022"
"NORTON CITY","Locality","","60023"
"062","House of Delegates","062","60024"
"065","House of Delegates","065","60025"
"SIMMONSVILLE DISTRICT","Election","03","60026"
"GLOUCESTER POINT DISTRICT","Election","04","60027"
"DISTRICT 1","Election","01","60028"
"WILSON DISTRICT","Election","01","60029"
"SAMUEL MILLER DISTRICT","Election","03","60030"
"SALTVILLE DISTRICT","Election","01","60031"
"071","House of Delegates","071","60032"
"MANASSAS PARK CITY","Locality","","60033"
"039","House of Delegates","039","60034"
"AQUIA DISTRICT","Election","04","60035"
"OCCOQUAN","Town","1820","60036"
"FRANKLIN CITY","Locality","","60037"
"DISTRICT 4","Election","04","60038"
"GORDONSVILLE","Town","1110","60039"
"GAINESBORO DISTRICT","Election","02","60040"
"DISTRICT 7","Election","07","60041"
"DAN RIVER DISTRICT","Election","04","60042"
"CHILHOWIE DISTRICT","Election","03","60043"
"DISTRICT 2","Election","02","60044"
"JACKSON RIVER DISTRICT","Election","04","60045"
"082","House of Delegates","082","60046"
"077","House of Delegates","077","60047"
"037","House of Delegates","037","60048"
"SHILOH DISTRICT","Election","04","60049"
"036","House of Delegates","036","60050"
"068","House of Delegates","068","60051"
"FALMOUTH DISTRICT","Election","05","60052"
"PIPERS GAP DISTRICT","Election","04","60053"
"JACK JOUETT DISTRICT","Election","02","60054"
"DISTRICT 1","Election","01","60055"
"CLIFTON FORGE","Town","0550","60056"
"NORTH DISTRICT","Election","02","60057"
"FAIRFAX COUNTY","Locality","","60058"
"002","House of Delegates","002","60059"
"MARTINSVILLE CITY","Locality","","60060"
"BRISTOL CITY","Locality","","60061"
"SALUDA DISTRICT","Election","01","60062"
"BROADWAY","Town","0310","60063"
"061","House of Delegates","061","60064"
"086","House of Delegates","086","60065"
"DISTRICT 4","Election","04","60066"
"COVINGTON CITY","Locality","","60067"
"DISTRICT 1","Election","01","60068"
"KERRS CREEK DISTRICT","Election","02","60069"
"DISTRICT 2","Election","02","60070"
"MIDWAY DISTRICT","Election","04","60071"
"054","House of Delegates","054","60072"
"DISTRICT E","Election","05","60073"
"MOUNTAIN ROAD DISTRICT","Election","07","60074"
