"referendum_id","custom_ballot_id","write_in","image_url","id"
"","","yes","","200000"
"","","yes","","200001"
"","","yes","","200002"
"","","yes","","200003"
"","","yes","","200004"
"","","yes","","200005"
"","","yes","","200006"
"","","yes","","200007"
"","","yes","","200008"
"","","yes","","200009"
"","","yes","","200010"
"","","yes","","200011"
"","","yes","","200012"
"","","yes","","200013"
"","","yes","","200014"
"","","yes","","200015"
"","","yes","","200016"
"","","yes","","200017"
"","","yes","","200018"
"","","yes","","200019"
"","","yes","","200020"
"","","yes","","200021"
"","","yes","","200022"
"","","yes","","200023"
"","","yes","","200024"
"","","yes","","200025"
"","","yes","","200026"
"","","yes","","200027"
"","","yes","","200028"
"","","yes","","200029"
"","","yes","","200030"
"","","yes","","200031"
"","","yes","","200032"
"","","yes","","200033"
"","","yes","","200034"
"","","yes","","200035"
"","","yes","","200036"
"","","yes","","200037"
"","","yes","","200038"
"","","yes","","200039"
"","","yes","","200040"
"","","yes","","200041"
"","","yes","","200042"
"","","yes","","200043"
"","","yes","","200044"
"","","yes","","200045"
"","","yes","","200046"
"","","yes","","200047"
"","","yes","","200048"
"","","yes","","200049"
"","","yes","","200050"
"","","yes","","200051"
"","","yes","","200052"
"","","yes","","200053"
"","","yes","","200054"
"","","yes","","200055"
"","","yes","","200056"
"","","yes","","200057"
"","","yes","","200058"
"","","yes","","200059"
"","","yes","","200060"
"","","yes","","200061"
"","","yes","","200062"
"","","yes","","200063"
"","","yes","","200064"
"","","yes","","200065"
"","","yes","","200066"
"","","yes","","200067"
"","","yes","","200068"
"","","yes","","200069"
"","","yes","","200070"
"","","yes","","200071"
"","","yes","","200072"
"","","yes","","200073"
"","","yes","","200074"
"","","yes","","200075"
"","","yes","","200076"
"","","yes","","200077"
"","","yes","","200078"
"","","yes","","200079"
"","","yes","","200080"
"","","yes","","200081"
"","","yes","","200082"
"","","yes","","200083"
"","","yes","","200084"
"","","yes","","200085"
"","","yes","","200086"
"","","yes","","200087"
"","","yes","","200088"
"","","yes","","200089"
"","","yes","","200090"
"","","yes","","200091"
"","","yes","","200092"
"","","yes","","200093"
"","","yes","","200094"
"","","yes","","200095"
"","","yes","","200096"
"","","yes","","200097"
"","","yes","","200098"
"","","yes","","200099"
"","","yes","","200100"
"","","yes","","200101"
"","","yes","","200102"
"","","yes","","200103"
"","","yes","","200104"
"","","yes","","200105"
"","","yes","","200106"
"","","yes","","200107"
"","","yes","","200108"
"","","yes","","200109"
"","","yes","","200110"
"","","yes","","200111"
"","","yes","","200112"
