"election_id","electoral_district_id","type","partisan","primary_party","electorate_specifications","special","office","filing_closed_date","number_elected","number_voting_for","ballot_id","ballot_placement","id"
"30000","60056","Federal","yes","","","no","United States Senate","1900-01-01","1","1","200190","2","20000"
"30000","60014","Federal","no","","","no","Member House of Representatives - Special","1900-01-01","1","1","200013","3","20001"
"30000","60014","Federal","yes","","","no","Member House of Representatives","1900-01-01","1","1","200049","3","20002"
"30000","60067","Federal","yes","","","no","Member House of Representatives","1900-01-01","1","1","200087","3","20003"
"30000","60133","Federal","yes","","","no","Member House of Representatives","1900-01-01","1","1","200132","3","20004"
"30000","60044","Federal","yes","","","no","Member House of Representatives","1900-01-01","1","1","200155","3","20005"
"30000","60038","Federal","yes","","","no","Member House of Representatives","1900-01-01","1","1","200173","3","20006"
"30000","60074","Federal","yes","","","no","Member House of Representatives","1900-01-01","1","1","200182","3","20007"
"30000","60026","Federal","yes","","","no","Member House of Representatives","1900-01-01","1","1","200186","3","20008"
"30000","60121","Federal","yes","","","no","Member House of Representatives","1900-01-01","1","1","200189","3","20009"
"30000","60110","Federal","yes","","","no","Member House of Representatives","1900-01-01","1","1","200211","3","20010"
"30000","60130","Federal","yes","","","no","Member House of Representatives","1900-01-01","1","1","200215","3","20011"
"30000","60138","Federal","yes","","","no","Member House of Representatives","1900-01-01","1","1","200233","3","20012"
"30000","60143","State","yes","","","no","Member Senate of Virginia","1900-01-01","1","1","200051","7","20013"
"30000","60032","Local","no","","","no","Clerk of Court","1900-01-01","1","1","200019","9","20014"
"30000","60073","Local","no","","","no","Clerk of Court","1900-01-01","1","1","200046","9","20015"
"30000","60020","Local","no","","","no","Clerk of Court","1900-01-01","1","1","200060","9","20016"
"30000","60024","Local","no","","","no","Clerk of Court","1900-01-01","1","1","200118","9","20017"
"30000","60128","Local","no","","","no","Clerk of Court","1900-01-01","1","1","200149","9","20018"
"30000","60132","Local","no","","","no","Clerk of Court","1900-01-01","1","1","200183","9","20019"
"30000","60117","Local","no","","","no","Commonwealth's Attorney","1900-01-01","1","1","200139","10","20020"
"30000","60109","Local","no","","","no","Commonwealth's Attorney","1900-01-01","1","1","200192","10","20021"
"30000","60145","Local","no","","","no","Sheriff","1900-01-01","1","1","200195","11","20022"
"30000","60131","Local","no","","","no","Commissioner of Revenue","1900-01-01","1","1","200052","12","20023"
"30000","60102","Local","no","","","no","Commissioner of Revenue","1900-01-01","1","1","200059","12","20024"
"30000","60020","Local","no","","","no","Commissioner of Revenue","1900-01-01","1","1","200131","12","20025"
"30000","60086","Local","no","","","no","Commissioner of Revenue","1900-01-01","1","1","200156","12","20026"
"30000","60107","Local","no","","","no","Treasurer","1900-01-01","1","1","200027","13","20027"
"30000","60001","Local","no","","","no","Treasurer","1900-01-01","1","1","200161","13","20028"
"30000","60065","Local","no","","","no","Treasurer","1900-01-01","1","1","200206","13","20029"
"30000","60113","Local","no","","","no","Treasurer","1900-01-01","1","1","200225","13","20030"
"30000","60113","Local","no","","","no","Member County Board","1900-01-01","1","1","200016","16","20031"
"30000","60079","Local","no","","","no","Tie Breaker Board of Supervisor","1900-01-01","1","1","200094","16","20032"
"30000","60097","Local","no","","","no","Member Board of Supervisors","1900-01-01","1","1","200004","18","20033"
"30000","60045","Local","no","","","no","Member Board of Supervisors","1900-01-01","1","1","200009","18","20034"
"30000","60094","Local","no","","","no","Member Board of Supervisors","1900-01-01","1","1","200045","18","20035"
"30000","60057","Local","no","","","no","Member Board of Supervisors","1900-01-01","1","1","200101","18","20036"
"30000","60061","Local","no","","","no","Member Board of Supervisors","1900-01-01","1","1","200117","18","20037"
"30000","60060","Local","no","","","no","Member Board of Supervisors","1900-01-01","1","1","200136","18","20038"
"30000","60070","Local","no","","","no","Member Board of Supervisors","1900-01-01","1","1","200145","18","20039"
"30000","60058","Local","no","","","no","Member Board of Supervisors","1900-01-01","1","1","200168","18","20040"
"30000","60027","Local","no","","","no","Member Board of Supervisors","1900-01-01","1","1","200185","18","20041"
"30000","60137","Local","no","","","no","Member City Council","1900-01-01","1","1","200010","20","20042"
"30000","60059","Local","no","","","no","Member City Council","1900-01-01","1","1","200018","20","20043"
"30000","60054","Local","no","","","no","Member City Council","1900-01-01","3","3","200036","20","20044"
"30000","60023","Local","no","","","no","Member City Council","1900-01-01","2","2","200069","20","20045"
"30000","60007","Local","no","","","no","Member City Council","1900-01-01","3","3","200103","20","20046"
"30000","60050","Local","no","","","no","Member City Council","1900-01-01","1","1","200129","20","20047"
"30000","60013","Local","no","","","no","Member City Council","1900-01-01","3","3","200130","20","20048"
"30000","60042","Local","no","","","no","Member City Council","1900-01-01","1","1","200137","20","20049"
"30000","60100","Local","no","","","no","Member City Council","1900-01-01","3","3","200152","20","20050"
"30000","60123","Local","no","","","no","Member City Council","1900-01-01","3","3","200158","20","20051"
"30000","60103","Local","no","","","no","Member City Council","1900-01-01","2","2","200165","20","20052"
"30000","60098","Local","no","","","no","Member City Council","1900-01-01","3","3","200180","20","20053"
"30000","60006","Local","no","","","no","Member City Council - Special","1900-01-01","1","1","200191","20","20054"
"30000","60054","Local","no","","","no","Member City Council - Special","1900-01-01","1","1","200212","20","20055"
"30000","60054","Local","no","","","no","Member City Council","1900-01-01","3","3","200221","20","20056"
"30000","60099","Local","no","","","no","Member City Council - At Large","1900-01-01","2","2","200012","21","20057"
"30000","60088","Local","no","","","no","Member City Council","1900-01-01","1","1","200002","23","20058"
"30000","60041","Local","no","","","no","Member City Council - Eastern","1900-01-01","1","1","200005","23","20059"
"30000","60036","Local","no","","","no","Member City Council","1900-01-01","1","1","200008","23","20060"
"30000","60040","Local","no","","","no","Member City Council","1900-01-01","1","1","200020","23","20061"
"30000","60101","Local","no","","","no","Member City Council","1900-01-01","1","1","200031","23","20062"
"30000","60066","Local","no","","","no","Member City Council","1900-01-01","1","1","200037","23","20063"
"30000","60019","Local","no","","","no","Member City Council","1900-01-01","1","1","200039","23","20064"
"30000","60071","Local","no","","","no","Member City Council","1900-01-01","1","1","200043","23","20065"
"30000","60099","Local","no","","","no","Member City Council - Rose Hall","1900-01-01","1","1","200047","23","20066"
"30000","60144","Local","no","","","no","Member City Council","1900-01-01","1","1","200056","23","20067"
"30000","60099","Local","no","","","no","Member City Council - Lynnhaven","1900-01-01","1","1","200065","23","20068"
"30000","60099","Local","no","","","no","Member City Council - Princess Anne","1900-01-01","1","1","200072","23","20069"
"30000","60092","Local","no","","","no","Member City Council","1900-01-01","1","1","200073","23","20070"
"30000","60062","Local","no","","","no","Member City Council","1900-01-01","1","1","200082","23","20071"
"30000","60099","Local","no","","","no","Member City Council - Beach ","1900-01-01","1","1","200084","23","20072"
"30000","60036","Local","no","","","no","Member City Council - Special","1900-01-01","1","1","200097","23","20073"
"30000","60041","Local","no","","","no","Member City Council - Central","1900-01-01","1","1","200121","23","20074"
"30000","60134","Local","no","","","no","Member City Council","1900-01-01","1","1","200122","23","20075"
"30000","60041","Local","no","","","no","Member City Council - Western","1900-01-01","1","1","200125","23","20076"
"30000","60099","Local","no","","","no","Member City Council - Bayside","1900-01-01","1","1","200147","23","20077"
"30000","60119","Local","no","","","no","Member City Council","1900-01-01","1","1","200157","23","20078"
"30000","60125","Local","no","","","no","Member City Council","1900-01-01","1","1","200164","23","20079"
"30000","60095","Local","no","","","no","Member City Council","1900-01-01","1","1","200178","23","20080"
"30000","60053","Local","no","","","no","Member City Council","1900-01-01","1","1","200196","23","20081"
"30000","60076","Local","no","","","no","Member City Council","1900-01-01","1","1","200202","23","20082"
"30000","60115","Local","no","","","no","Member City Council","1900-01-01","1","1","200210","23","20083"
"30000","60030","Local","no","","","no","Member City Council","1900-01-01","1","1","200219","23","20084"
"30000","60007","Local","no","","","no","Member, School Board","1900-01-01","3","3","200021","25","20085"
"30000","60098","Local","no","","","no","Member School Board - Special","1900-01-01","1","1","200030","25","20086"
"30000","60100","Local","no","","","no","Member School Board","1900-01-01","3","3","200067","25","20087"
"30000","60054","Local","no","","","no","Member School Board","1900-01-01","2","2","200083","25","20088"
"30000","60113","Local","no","","","no","Member School Board","1900-01-01","1","1","200111","25","20089"
"30000","60098","Local","no","","","no","Member School Board","1900-01-01","4","4","200116","25","20090"
"30000","60113","Local","no","","","no","Member School Board - Special","1900-01-01","1","1","200142","25","20091"
"30000","60068","Local","no","","","no","Member School Board At Large","1900-01-01","1","1","200159","26","20092"
"30000","60099","Local","no","","","no","Member School Board - At Large","1900-01-01","2","2","200187","26","20093"
"30000","60099","Local","no","","","no","Member School Board - Bayside","1900-01-01","1","1","200001","28","20094"
"30000","60103","Local","no","","","no","Member School Board - West District","1900-01-01","1","1","200028","28","20095"
"30000","60099","Local","no","","","no","Member School Board - Beach","1900-01-01","1","1","200041","28","20096"
"30000","60031","Local","no","","","no","Member School Board","1900-01-01","1","1","200070","28","20097"
"30000","60099","Local","no","","","no","Member School Board - Princess Anne","1900-01-01","1","1","200079","28","20098"
"30000","60078","Local","no","","","no","Member School Board","1900-01-01","1","1","200080","28","20099"
"30000","60111","Local","no","","","no","Member School Board","1900-01-01","1","1","200098","28","20100"
"30000","60015","Local","no","","","no","Member School Board","1900-01-01","1","1","200099","28","20101"
"30000","60055","Local","no","","","no","Member School Board","1900-01-01","1","1","200107","28","20102"
"30000","60071","Local","no","","","no","Member School Board","1900-01-01","1","1","200112","28","20103"
"30000","60030","Local","no","","","no","Member School Board ","1900-01-01","1","1","200119","28","20104"
"30000","60103","Local","no","","","no","Member School Board - East District","1900-01-01","2","2","200124","28","20105"
"30000","60070","Local","no","","","no","Member School Board","1900-01-01","1","1","200126","28","20106"
