"name","type","number","id"
"CHARLOTTE COURT HOUSE","Town","0430","60000"
"RAPPAHANNOCK COUNTY","Locality","","60001"
"MCKENNEY","Town","1510","60002"
"HILLSBORO","Town","1240","60003"
"GOSHEN","Town","1120","60004"
"GRETNA","Town","1130","60005"
"BUENA VISTA CITY","Locality","","60006"
"NORTON CITY","Locality","","60007"
"CLEVELAND","Town","0530","60008"
"SALTVILLE DISTRICT","Election","01","60009"
"STEPHENS CITY","Town","2340","60010"
"WINDSOR","Town","2650","60011"
"ALTAVISTA","Town","0060","60012"
"MANASSAS PARK CITY","Locality","","60013"
"07","Congressional","07","60014"
"CEDAR CREEK DISTRICT","Election","02","60015"
"TIMBERVILLE","Town","2450","60016"
"GORDONSVILLE","Town","1110","60017"
"ALBERTA","Town","0030","60018"
"FIRST WARD","Election","01","60019"
"CUMBERLAND COUNTY","Locality","","60020"
"NOTTOWAY COUNTY","Locality","","60021"
"CLIFTON FORGE","Town","0550","60022"
"MARTINSVILLE CITY","Locality","","60023"
"BRISTOL CITY","Locality","","60024"
"FRONT ROYAL","Town","1040","60025"
"02","Congressional","02","60026"
"SOUTH RIVER DISTRICT","Election","06","60027"
"CULPEPER","Town","0690","60028"
"VIRGILINA","Town","2530","60029"
"FIRST WARD","Election","01","60030"
"SLEEPY HOLE BOROUGH","Election","01","60031"
"HALIFAX COUNTY","Locality","","60032"
"COLONIAL BEACH","Town","0610","60033"
"LEESBURG","Town","1440","60034"
"WEST POINT","Town","2620","60035"
"THIRD WARD","Election","03","60036"
"MIDDLETOWN","Town","1610","60037"
"10","Congressional","10","60038"
"AMHERST","Town","0070","60039"
"DISTRICT 5","Election","05","60040"
"POQUOSON CITY","Locality","","60041"
"WARD 7","Election","07","60042"
"BOYCE","Town","0250","60043"
"03","Congressional","03","60044"
"DISTRICT 3","Election","03","60045"
"DISTRICT 2","Election","02","60046"
"Bedford","Town","0130","60047"
"FIFTH DISTRICT","Election","05","60048"
"POCAHONTAS","Town","1940","60049"
"WARD 2","Election","02","60050"
"DAMASCUS","Town","0700","60051"
"MELFA","Town","1586","60052"
"CYPRESS BOROUGH","Election","03","60053"
"BEDFORD CITY","Locality","","60054"
"CATALPA DISTRICT","Election","03","60055"
"Statewide","Statewide","","60056"
