"address_location_name","address_line1","address_line2","address_line3","address_city","address_state","address_zip","directions","polling_hours","photo_url","id"
"SALEM PRESBYTERIAN CHURCH","5394 Studley Rd","","","Mechanicsville","VA","231166655","","6:00 AM - 7:00 PM","","80000"
"Lake Jackson Fire Station","11310 Coles Dr","","","Manassas","VA","20112","","6:00 AM - 7:00 PM","","80001"
"ELK KNOB ELEM SCHOOL","148 HORNET LOOP","","","Pennington Gap","VA","24277","","6:00 AM - 7:00 PM","","80002"
"BACHELORS HALL FIRE STATION","1260 DUNCAN DRIVE","","","DANVILLE","VA","24541","","6:00 AM - 7:00 PM","","80003"
"MINE RUN FIRE DEPARTMENT","31077 Old Plank Rd","","","Locust Grove","VA","22508","","6:00 AM - 7:00 PM","","80004"
"PORT NORFOLK RECREATION CENTER","432 BROAD STREET","","","PORTSMOUTH","VA","237072003","","6:00 AM - 7:00 PM","","80005"
"THOMAS WALKER HIGH SCHOOL","126 BLUE GRAY RD","PO BOX 39","","EWING","VA","24248","","6:00 AM - 7:00 PM","","80006"
"Dixon-Smith Middle School","503 Deacon Rd","","","Fredericksburg","VA","224051828","","6:00 AM - 7:00 PM","","80007"
"JOHN F. KENNEDY COMMUNITY CENTER","12 Grand St","","","Portsmouth","VA","237013012","","6:00 AM - 7:00 PM","","80008"
"MELFA FIRE HOUSE","28328 Hatton St","","","Melfa","VA","23310","","6:00 AM - 7:00 PM","","80009"
"NEW ADMINISTRATION BUILDING","7516 County Complex Rd","","","Hanover","VA","230691530","","6:00 AM - 7:00 PM","","80010"
"Appalachian College of Pharmacy","1060 Dragon Rd","","","OAKWOOD","VA","24631","Room 108","6:00 AM - 7:00 PM","","80011"
"WOODLAWN SCHOOL","745 WOODLAWN RD","","","WOODLAWN","VA","243813419","CAFETERIA","6:00 AM - 7:00 PM","","80012"
"CHINN LIBRARY","13065 Chinn Park Dr","","","Woodbridge","VA","221925073","","6:00 AM - 7:00 PM","","80013"
"TUNSTALL VOL FIRE & RESCUE","740 TUNSTALL HIGH RD","","","DRY FORK","VA","24549","","6:00 AM - 7:00 PM","","80014"
"CARROLL COUNTY MIDDLE SCHOOL","1036 N MAIN ST","","","HILLSVILLE","VA","243431129","GYMNASIUM LOBBY","6:00 AM - 7:00 PM","","80015"
"ATLEE HIGH SCHOOL","9414 Atlee Station Rd","","","Mechanicsville","VA","231162600","","6:00 AM - 7:00 PM","","80016"
"HOLLY GROVE FIRE DEPT","143 Factory Mill Rd","","","Bumpass","VA","230242201","","6:00 AM - 7:00 PM","","80017"
"BLUE RIDGE VOLUNTEER FIRE HALL","131 Retreat Rd","","","Bluemont","VA","201354642","","6:00 AM - 7:00 PM","","80018"
"RINGGOLD VOL FIRE & RESCUE","3880 Tom Fork Rd","","","Ringgold","VA","245863846","","6:00 AM - 7:00 PM","","80019"
"LEE COUNTY VOCATIONAL SCHOOL","181 VO-TECH DRIVE","","","BEN HUR","VA","24218","","6:00 AM - 7:00 PM","","80020"
"SCHOOLFIELD ELEMENTARY SCHOOL","1400 West Main St","","","Danville","VA","24541","","6:00 AM - 7:00 PM","","80021"
"FAIRVIEW HEIGHTS BAPTIST CHURCH","4704 Deep Creek Blvd","","","Portsmouth","VA","237021916","","6:00 AM - 7:00 PM","","80022"
"FAIRFAX HIGH SCHOOL","3501 Rebel Run","","","Fairfax","VA","220301827","","6:00 AM - 7:00 PM","","80023"
"HAMPTON OAKS ELEMENTARY SCHOOL","107 Northampton Blvd","","","Stafford","VA","225547660","","6:00 AM - 7:00 PM","","80024"
"EVERGREEN ACTIVITY CENTER","535 Winding Rd","","","Wytheville","VA","243823749","","6:00 AM - 7:00 PM","","80025"
"EVERGREEN FIRE STATION","3510 James Madison Hwy","","","Haymarket","VA","201691932","","6:00 AM - 7:00 PM","","80026"
"WOODLAWN SCHOOL","745 Woodlawn Rd","","","Woodlawn","VA","243813419","CAFETERIA","6:00 AM - 7:00 PM","","80027"
"White Oak Volunteer Fire Department","12 Newton Rd.","","","Fredericksburg","VA","22405","","6:00 AM - 7:00 PM","","80028"
"RANGELEY RURITAN BUILDING","134 Calloway Dr","","","Fieldale","VA","240893301","","6:00 AM - 7:00 PM","","80029"
"First United Presbyterian Church","14391 Minnieville Rd","","","Woodbridge","VA","22193","","6:00 AM - 7:00 PM","","80030"
"KING MEMORIAL COMMUNITY CHURCH"," c/o 15229 Craig Creek Rd.","125 Oriskany Square","","Oriskany","VA","24085","","6:00 AM - 7:00 PM","","80031"
"DUGSPUR RESCUE SQUAD BUILDING","118 DOUBLE CABIN ROAD","","","DUGSPUR","VA","24325","","6:00 AM - 7:00 PM","","80032"
"JOHN MUSANTE PORTER LIBRARY","2001 Parkway Blvd","","","Stafford","VA","225543972","","6:00 AM - 7:00 PM","","80033"
"MINERAL BAPTIST CHURCH","51 Louisa Avenue","","","MINERAL","VA","23117","FAMILY LIFE CENTER","6:00 AM - 7:00 PM","","80034"
"JOHNSON SCHOOL","680 Arnett Blvd","","","Danville","VA","245402542","","6:00 AM - 7:00 PM","","80035"
"BROOKE POINT HIGH SCHOOL","1700 Courthouse Rd","","","Stafford","VA","225545409","","6:00 AM - 7:00 PM","","80036"
"SAUNDERS MIDDLE SCHOOL","13557 Spriggs Rd","","","Manassas","VA","201123810","LECTURE HALL","6:00 AM - 7:00 PM","","80037"
"TAPPAHANNOCK-ESSEX VOL FIRE DEPT ","620 AIRPORT ROAD","","","TAPPAHANNOCK","VA","22560","","6:00 AM - 7:00 PM","","80038"
"LAKE RIDGE MIDDLE SCHOOL","12350 Mohican Rd","","","Woodbridge","VA","221921757","AUXILLARY GYM","6:00 AM - 7:00 PM","","80039"
"SANVILLE ELEM SCHOOL","19 Sanville School Rd","","","Bassett","VA","240555032","","6:00 AM - 7:00 PM","","80040"
"Elk's Lodge","22454 Front St","","","Accomac","VA","23301","","6:00 AM - 7:00 PM","","80041"
"TOGA FIRE STATION","1779 Mount Rush Hwy","","","Dillwyn","VA","239362498","","6:00 AM - 7:00 PM","","80042"
"ROCK HILL ELEMENTARY SCHOOL","50 Wood Dr","","","Stafford","VA","225561838","","6:00 AM - 7:00 PM","","80043"
"Patriot High School","10504 Kettle Run Road","","","Nokesville","VA","20181","","6:00 AM - 7:00 PM","","80044"
"Ashland Fire Station #1","501 Archie Cannon Dr","","","Ashland","VA","23005","","6:00 AM - 7:00 PM","","80045"
"F-C MIDDLE SCHOOL - ENTRANCE A","645 Miles Rd","","","Collinsville","VA","240782453","","6:00 AM - 7:00 PM","","80046"
"YORKSHIRE ELEMENTARY SCHOOL","7610 Old Centreville Road","","","Manassas","VA","20111","","6:00 AM - 7:00 PM","","80047"
"SAINT ANDREW'S UNITED METHODIST CHURCH","5615 Portsmouth Blvd","","","Portsmouth","VA","237011834","","6:00 AM - 7:00 PM","","80048"
"MONTCLAIR ELEMENTARY SCHOOL","4920 Tallowwood Dr","","","Dumfries","VA","220253030","","6:00 AM - 7:00 PM","","80049"
"MOSS-NUCKOLS ELEMENTARY SCHOOL","2055 Courthouse Road","","","Louisa","VA","23093","Gym","6:00 AM - 7:00 PM","","80050"
