"precinct_id","polling_location_id"
"90000","80486"
"90002","80190"
"90003","80719"
"90004","80233"
"90005","80566"
"90012","80653"
"90014","80060"
"90016","80458"
"90017","80078"
"90022","80102"
"90023","80750"
"90024","80108"
"90025","80215"
"90027","80144"
"90028","80045"
"90031","80597"
"90035","80114"
"90039","80433"
"90043","80021"
"90046","80683"
"90050","80058"
"90052","80514"
"90058","80149"
"90060","80588"
"90063","80290"
"90066","80582"
"90068","80446"
"90069","80577"
"90075","80272"
"90076","80062"
"90080","80503"
"90081","80579"
"90085","80220"
"90088","80122"
"90091","80434"
"90093","80258"
"90096","80357"
"90098","80027"
"90099","80432"
"90102","80645"
"90115","80517"
"90116","80252"
"90120","80350"
"90129","80538"
"90131","80531"
"90132","80733"
"90134","80680"
"90136","80656"
"90139","80063"
"90141","80596"
"90153","80562"
"90154","80465"
"90158","80313"
"90166","80194"
"90169","80064"
"90175","80540"
"90177","80666"
"90180","80557"
"90181","80454"
"90183","80214"
"90184","80459"
"90187","80095"
"90188","80627"
"90189","80497"
"90190","80739"
"90199","80013"
"90203","80575"
"90205","80180"
"90212","80365"
"90215","80285"
"90217","80691"
"90220","80506"
"90225","80264"
"90226","80151"
"90239","80507"
"90243","80508"
"90248","80620"
"90252","80740"
"90255","80146"
"90257","80425"
"90258","80515"
"90262","80502"
"90266","80289"
"90269","80259"
"90270","80581"
"90275","80512"
"90276","80065"
"90278","80421"
"90281","80500"
"90283","80348"
"90288","80284"
"90289","80172"
"90290","80023"
"90293","80574"
"90294","80710"
"90300","80057"
"90303","80249"
"90306","80200"
"90308","80174"
"90309","80754"
"90310","80054"
"90311","80521"
"90318","80158"
"90323","80743"
"90327","80353"
"90330","80616"
"90331","80295"
"90336","80241"
"90349","80360"
"90350","80216"
"90353","80197"
"90355","80725"
"90365","80010"
"90366","80202"
"90376","80103"
"90378","80586"
"90381","80487"
"90382","80640"
"90383","80192"
"90384","80239"
"90386","80535"
"90390","80209"
"90393","80682"
"90395","80393"
"90402","80525"
"90405","80323"
"90407","80498"
"90410","80025"
"90414","80315"
"90415","80527"
"90416","80678"
"90420","80076"
"90422","80354"
"90430","80120"
"90432","80159"
"90433","80555"
"90434","80505"
"90437","80201"
"90444","80539"
"90446","80569"
"90448","80693"
"90451","80659"
"90452","80635"
"90456","80105"
"90461","80052"
"90462","80121"
"90465","80407"
"90467","80346"
"90472","80124"
"90478","80226"
"90479","80745"
"90485","80450"
"90492","80321"
"90496","80685"
"90497","80005"
"90499","80410"
"90502","80079"
"90504","80034"
"90507","80757"
"90510","80388"
"90511","80374"
"90512","80178"
"90515","80426"
"90519","80435"
"90521","80677"
"90522","80613"
"90523","80520"
"90531","80012"
"90534","80534"
"90535","80455"
"90536","80186"
"90538","80325"
"90539","80155"
"90544","80317"
"90545","80629"
"90546","80580"
"90548","80529"
"90549","80478"
"90550","80644"
"90553","80156"
"90555","80742"
"90561","80326"
"90562","80309"
"90563","80625"
"90566","80606"
"90572","80362"
"90574","80584"
"90576","80056"
"90578","80409"
"90586","80071"
"90588","80166"
"90590","80695"
"90591","80337"
"90594","80191"
"90595","80649"
"90596","80110"
"90598","80650"
"90600","80188"
"90609","80402"
"90610","80055"
"90620","80684"
"90622","80753"
"90629","80479"
"90630","80119"
"90633","80381"
"90634","80104"
"90636","80379"
"90645","80568"
"90647","80306"
"90648","80543"
"90650","80556"
"90654","80182"
"90656","80244"
"90661","80412"
"90663","80139"
"90665","80352"
"90667","80603"
"90678","80043"
"90679","80452"
"90681","80138"
"90683","80386"
"90685","80467"
"90686","80496"
"90692","80221"
"90700","80494"
"90707","80385"
"90710","80727"
"90711","80424"
"90721","80436"
"90722","80316"
"90725","80578"
"90728","80109"
"90730","80530"
"90734","80617"
"90736","80100"
"90737","80371"
"90742","80417"
"90747","80697"
"90748","80726"
"90752","80053"
"90753","80223"
"90767","80282"
"90773","80208"
"90774","80322"
"90777","80312"
"90779","80204"
"90784","80164"
"90792","80068"
"90796","80674"
"90798","80628"
"90800","80721"
"90801","80406"
"90807","80648"
"90808","80072"
"90809","80059"
"90812","80187"
"90816","80206"
"90820","80451"
"90822","80373"
"90828","80008"
"90836","80495"
"90838","80302"
"90843","80327"
"90846","80205"
"90848","80469"
"90849","80094"
"90855","80080"
"90865","80022"
"90868","80687"
"90870","80160"
"90875","80250"
"90877","80715"
"90878","80370"
"90884","80165"
"90886","80066"
"90888","80314"
"90889","80116"
"90892","80397"
"90893","80748"
"90894","80128"
"90897","80730"
"90900","80571"
"90903","80210"
"90906","80028"
"90907","80718"
"90913","80001"
"90914","80614"
"90915","80561"
"90918","80382"
"90922","80274"
"90927","80698"
"90928","80401"
"90929","80135"
"90930","80161"
"90933","80331"
"90945","80473"
"90953","80026"
"90955","80061"
"90960","80096"
"90962","80035"
"90964","80006"
"90967","80255"
"90968","80563"
"90969","80673"
"90970","80029"
"90976","80444"
"90977","80150"
"90981","80411"
"90988","80700"
"90989","80756"
"90995","80548"
"90996","80636"
"90997","80257"
"90999","80218"
"91002","80086"
"91007","80533"
"91011","80552"
"91012","80253"
"91017","80320"
"91019","80621"
"91020","80711"
"91022","80408"
"91023","80567"
"91025","80445"
"91028","80602"
"91038","80714"
"91042","80340"
"91050","80389"
"91051","80228"
"91053","80692"
"91055","80334"
"91058","80632"
"91059","80522"
"91063","80387"
"91065","80368"
"91066","80273"
"91068","80456"
"91069","80227"
"91073","80657"
"91077","80133"
"91084","80132"
"91086","80523"
"91092","80162"
"91093","80077"
"91094","80607"
"91095","80511"
"91100","80185"
"91102","80631"
"91104","80605"
"91105","80367"
"91108","80729"
"91110","80549"
"91115","80622"
"91116","80341"
"91117","80198"
"91123","80042"
"91125","80501"
"91126","80690"
"91127","80652"
"91128","80324"
"91131","80484"
"91133","80256"
"91137","80738"
"91139","80573"
"91142","80300"
"91144","80126"
"91146","80755"
"91153","80576"
"91154","80676"
"91159","80734"
"91160","80351"
"91162","80639"
"91163","80003"
"91166","80170"
"91169","80547"
"91170","80633"
"91172","80553"
"91175","80107"
"91179","80736"
"91180","80550"
"91181","80030"
"91183","80230"
"91184","80474"
"91187","80175"
"91188","80145"
"91190","80014"
"91191","80329"
"91192","80758"
"91194","80195"
"91199","80093"
"91200","80304"
"91201","80437"
"91202","80074"
"91203","80717"
"91210","80483"
"91211","80007"
"91212","80554"
"91214","80248"
"91218","80551"
"91223","80427"
"91227","80039"
"91231","80664"
"91232","80181"
"91246","80518"
"91248","80509"
"91249","80463"
"91252","80369"
"91255","80462"
"91258","80391"
"91271","80041"
"91275","80085"
"91276","80593"
"91280","80641"
"91281","80092"
"91286","80136"
"91287","80611"
"91299","80217"
"91300","80036"
"91301","80429"
"91302","80723"
"91303","80392"
"91308","80524"
"91311","80601"
"91313","80009"
"91320","80722"
"91325","80513"
"91328","80672"
"91332","80179"
"91333","80311"
"91334","80183"
"91336","80142"
"91338","80152"
"91339","80651"
"91340","80686"
"91346","80091"
"91348","80177"
"91349","80287"
"91350","80598"
"91359","80229"
"91366","80163"
"91367","80301"
"91369","80147"
"91372","80238"
"91376","80281"
"91377","80565"
"91378","80499"
"91379","80746"
"91383","80098"
"91386","80604"
"91391","80232"
"91394","80655"
"91395","80399"
"91397","80260"
"91402","80418"
"91405","80654"
"91408","80099"
"91416","80171"
"91420","80359"
"91425","80343"
"91428","80741"
"91430","80587"
"91434","80415"
"91443","80618"
"91444","80117"
"91445","80504"
"91447","80224"
"91450","80305"
"91457","80097"
"91460","80609"
"91463","80724"
"91465","80073"
"91467","80196"
"91470","80134"
"91472","80143"
"91475","80328"
"91476","80004"
"91481","80338"
"91482","80390"
"91484","80263"
"91489","80541"
"91491","80630"
"91494","80536"
"91497","80544"
"91501","80591"
"91507","80130"
"91508","80376"
"91510","80679"
"91512","80307"
"91513","80127"
"91516","80732"
"91517","80526"
"91518","80141"
"91519","80519"
"91520","80380"
"91522","80349"
"91523","80342"
"91537","80268"
"91540","80737"
"91548","80731"
"91549","80081"
"91550","80199"
"91559","80532"
"91561","80720"
"91562","80167"
"91579","80050"
"91580","80694"
"91583","80475"
"91584","80537"
"91589","80491"
"91590","80466"
"91593","80423"
"91596","80394"
"91598","80291"
"91599","80383"
"91602","80528"
"91603","80422"
"91605","80020"
"91606","80395"
"91607","80643"
"91608","80254"
"91617","80707"
"91618","80594"
"91622","80492"
"91623","80377"
"91624","80148"
"91625","80420"
"91629","80018"
"91634","80111"
"91635","80716"
"91636","80493"
"91641","80075"
"91643","80430"
"91647","80038"
"91656","80646"
"91669","80438"
"91670","80310"
"91673","80696"
"91674","80457"
"91676","80225"
"91679","80318"
"91682","80688"
"91683","80490"
"91688","80658"
"91701","80016"
"91706","80358"
"91709","80428"
"91712","80044"
"91719","80699"
"91722","80269"
"91723","80416"
"91725","80413"
"91728","80595"
"91734","80333"
"91744","80211"
"91750","80344"
