"precinct_id","polling_location_id"
"90000","80136"
"90001","80508"
"90002","80092"
"90003","80251"
"90004","80080"
"90005","80085"
"90007","80223"
"90009","80262"
"90010","80350"
"90011","80287"
"90012","80049"
"90013","80473"
"90014","80204"
"90015","80213"
"90016","80097"
"90018","80418"
"90019","80313"
"90022","80113"
"90023","80019"
"90026","80233"
"90027","80304"
"90028","80334"
"90029","80039"
"90031","80008"
"90033","80378"
"90034","80377"
"90035","80047"
"90037","80209"
"90039","80415"
"90040","80174"
"90041","80396"
"90042","80330"
"90043","80224"
"90044","80487"
"90045","80062"
"90046","80060"
"90047","80249"
"90048","80156"
"90049","80364"
"90050","80335"
"90051","80052"
"90052","80042"
"90053","80390"
"90054","80011"
"90055","80048"
"90056","80481"
"90057","80369"
"90059","80428"
"90060","80458"
"90061","80131"
"90062","80218"
"90063","80433"
"90064","80431"
"90065","80170"
"90066","80284"
"90067","80143"
"90068","80403"
"90069","80193"
"90070","80404"
"90071","80314"
"90072","80365"
"90073","80372"
"90074","80405"
"90075","80402"
"90077","80045"
"90078","80076"
"90079","80086"
"90080","80523"
"90081","80070"
"90082","80178"
"90083","80165"
"90085","80510"
"90087","80343"
"90088","80371"
"90089","80108"
"90090","80175"
"90091","80018"
"90092","80376"
"90093","80254"
"90094","80489"
"90095","80507"
"90096","80524"
"90097","80515"
"90099","80006"
"90100","80043"
"90101","80010"
"90102","80099"
"90103","80160"
"90104","80127"
"90105","80056"
"90106","80089"
"90107","80336"
"90108","80245"
"90109","80306"
"90110","80274"
"90111","80122"
"90112","80215"
"90114","80009"
"90115","80216"
"90116","80112"
"90117","80016"
"90118","80206"
"90120","80446"
"90123","80441"
"90124","80533"
"90125","80426"
"90127","80407"
"90128","80046"
"90129","80149"
"90131","80026"
"90132","80118"
"90134","80268"
"90135","80495"
"90136","80333"
"90137","80256"
"90138","80484"
"90139","80353"
"90140","80354"
"90141","80095"
"90142","80280"
"90143","80141"
"90144","80355"
"90145","80384"
"90146","80419"
"90147","80201"
"90148","80182"
"90149","80429"
"90150","80264"
"90152","80196"
"90153","80138"
"90155","80345"
"90156","80289"
"90157","80494"
"90158","80351"
"90160","80140"
"90162","80015"
"90163","80448"
"90165","80497"
"90166","80367"
"90167","80082"
"90168","80087"
"90169","80079"
"90170","80271"
"90173","80044"
"90174","80158"
"90175","80316"
"90176","80440"
"90177","80126"
"90178","80217"
"90179","80124"
"90180","80146"
"90181","80191"
"90182","80144"
"90184","80430"
"90187","80360"
"90188","80379"
"90189","80464"
"90190","80068"
"90191","80258"
"90193","80145"
"90194","80486"
"90195","80337"
"90196","80478"
"90197","80153"
"90198","80067"
"90199","80094"
"90200","80229"
"90201","80423"
"90202","80283"
"90203","80246"
"90204","80063"
"90206","80399"
"90207","80004"
"90208","80295"
"90209","80467"
"90210","80325"
"90211","80349"
"90212","80385"
"90213","80152"
"90214","80186"
"90215","80269"
"90216","80326"
"90217","80117"
"90218","80041"
"90219","80200"
"90221","80029"
"90223","80308"
"90225","80518"
"90226","80395"
"90227","80286"
"90228","80226"
"90229","80490"
"90232","80270"
"90233","80462"
"90234","80261"
"90235","80373"
"90236","80347"
"90237","80421"
"90238","80020"
"90239","80090"
"90240","80054"
"90241","80311"
"90244","80053"
"90245","80302"
"90246","80438"
"90247","80387"
"90248","80452"
"90249","80273"
"90250","80096"
"90251","80411"
"90252","80505"
"90253","80520"
"90254","80148"
"90256","80504"
"90257","80301"
"90259","80166"
"90261","80038"
"90262","80116"
"90263","80348"
