"precinct_split_id","electoral_district_id"
"100000","60002"
"100001","60000"
"100002","60002"
"100003","60000"
"100004","60002"
"100005","60000"
"100006","60002"
"100007","60001"
"100008","60001"
"100009","60002"
"100010","60002"
"100011","60002"
"100012","60002"
"100013","60000"
"100014","60001"
"100015","60000"
"100016","60000"
"100017","60000"
"100018","60001"
"100019","60002"
"100020","60002"
"100021","60002"
"100022","60002"
"100023","60003"
"100024","60003"
"100025","60002"
"100026","60003"
"100027","60000"
"100028","60002"
"100029","60001"
"100030","60001"
"100031","60000"
"100032","60001"
"100033","60002"
"100034","60002"
"100035","60000"
"100036","60001"
"100037","60001"
"100038","60000"
"100039","60001"
"100040","60000"
"100041","60002"
"100042","60000"
"100043","60002"
"100044","60002"
"100045","60001"
"100046","60000"
"100047","60002"
"100048","60001"
"100049","60003"
"100050","60002"
"100051","60001"
"100052","60000"
"100053","60001"
"100054","60000"
"100055","60003"
"100056","60001"
"100057","60000"
"100058","60000"
"100059","60003"
"100060","60001"
"100061","60002"
"100062","60001"
"100063","60001"
"100064","60003"
"100065","60000"
"100066","60001"
"100067","60000"
"100068","60001"
"100069","60002"
"100070","60000"
"100071","60000"
"100072","60000"
"100073","60000"
"100074","60002"
"100075","60002"
"100076","60000"
"100077","60000"
"100078","60000"
"100079","60002"
"100080","60002"
"100081","60002"
"100082","60000"
"100083","60001"
"100084","60000"
"100085","60000"
"100086","60001"
"100087","60000"
"100088","60002"
"100089","60002"
"100090","60000"
"100091","60002"
"100092","60001"
"100093","60000"
"100094","60002"
"100095","60003"
"100096","60002"
"100097","60000"
"100098","60000"
"100099","60001"
"100100","60002"
"100101","60000"
"100102","60000"
"100103","60002"
"100104","60002"
"100105","60002"
"100106","60000"
"100106","60002"
"100107","60002"
"100108","60001"
"100109","60002"
"100110","60000"
"100110","60002"
"100111","60000"
"100112","60000"
"100113","60003"
"100114","60001"
"100115","60003"
"100116","60002"
"100117","60001"
"100118","60000"
"100119","60000"
"100119","60002"
"100120","60000"
"100121","60001"
"100122","60001"
"100123","60000"
"100124","60002"
"100125","60000"
"100126","60002"
"100127","60001"
"100128","60002"
"100129","60000"
"100130","60002"
"100131","60000"
"100132","60002"
"100133","60000"
"100133","60002"
"100134","60000"
"100135","60000"
"100136","60001"
"100137","60000"
"100138","60002"
"100139","60001"
"100140","60000"
"100141","60002"
"100142","60000"
"100143","60002"
"100144","60000"
"100145","60000"
"100145","60002"
"100146","60002"
"100147","60003"
"100148","60001"
"100149","60002"
"100150","60002"
"100151","60000"
"100152","60002"
"100153","60001"
"100154","60000"
"100155","60001"
