"name","party","candidate_url","biography","phone","photo_url","filed_mailing_address_location_name","filed_mailing_address_state","filed_mailing_address_line1","filed_mailing_address_line3","filed_mailing_address_line2","filed_mailing_address_zip","filed_mailing_address_city","email","sort_order","id"
"YES","","","","","","","","","","","","","","101","575000114101"
"NO","","","","","","","","","","","","","","102","575000114102"
"Roger Gerrard","Independent","","","","","","","","","","","","","3","5750130973"
"Virginia Carlton","Non Partisan","","","","","","","","","","","","","1","5750132051"
"E. Vincent Davis","Non Partisan","","","","","","","","","","","","","1","5750131451"
"George Ward","Non Partisan","","","","","","","","","","","","","1","5750131461"
"Lillie Blackmon Sanders","Non Partisan","","","","","","","","","","","","","1","5750131931"
"Forrest Al Johnson","Non Partisan","","","","","","","","","","","","","1","5750131941"
"Travis W. Childers","Democrat","","","","","","","","","","","","","1","5750130941"
"Douglas MacArthur (Doug) Magee","Democrat","","","","","","","","","","","","","2","5750130972"
"Gregg Harper","Republican","","","","","","","","","","","","","1","5750130971"
"Thad Cochran","Republican","","","","","","","","","","","","","2","5750130942"
"Shawn O'Hara","Reform","","","","","","","","","","","","","3","5750130943"
"Barbara Dale Washer","Reform","","","","","","","","","","","","","4","5750130974"
"Jimmy Maxwell","Non Partisan","","","","","","","","","","","","","1","5750132031"
"Glenn Alderson","Non Partisan","","","","","","","","","","","","","1","5750131471"
"Carnelia Pettis Fondren","Non Partisan","","","","","","","","","","","","","2","5750131472"
"Tina Dugard Scott","Non Partisan","","","","","","","","","","","","","3","5750131473"
"Helen Kennedy Robinson","Non Partisan","","","","","","","","","","","","","1","5750131101"
"Robert Q. Whitwell","Non Partisan","","","","","","","","","","","","","2","5750131102"
"Andrew K. Howorth","Non Partisan","","","","","","","","","","","","","1","5750131581"
"Shirley C. Byers","Non Partisan","","","","","","","","","","","","","1","5750131591"
"J. Kizer (Ki) Jones","Non Partisan","","","","","","","","","","","","","2","5750131592"
"Kelly Luther","Non Partisan","","","","","","","","","","","","","3","5750131593"
"John A. Gregory","Non Partisan","","","","","","","","","","","","","1","5750131571"
"Gary B. Elliott","Non Partisan","","","","","","","","","","","","","1","5750132431"
"Diana Collins Grist","Non Partisan","","","","","","","","","","","","","2","5750132432"
"Lanell Hutcheson","Non Partisan","","","","","","","","","","","","","1","5750132421"
"Ron E. Dickey","Democrat","","","","","","","","","","","","","1","5750130951"
"Alan Nunnelee","Republican","","","","","","","","","","","","","2","5750130952"
"Danny Bedwell","Libertarian","","","","","","","","","","","","","3","5750130953"
"Lajena Walley","Reform","","","","","","","","","","","","","4","5750130954"
"W Hunter Nowell","","","","","","","","","","","","","","1","7750131251"
"Aelicia L Thomas","","","","","","","","","","","","","","2","7750131252"
"Chresteen Friday Seals","","","","","","","","","","","","","","1","7750131261"
