"name","party","candidate_url","biography","phone","photo_url","filed_mailing_address_location_name","filed_mailing_address_state","filed_mailing_address_line1","filed_mailing_address_line3","filed_mailing_address_line2","filed_mailing_address_zip","filed_mailing_address_city","email","sort_order","id"
""BIG" JIM HATFIELD","D","","","","","","WV","MINGO CO","","","","GILBERT","","5114","54610005114"
"AARON BOGGS","R","","","","","","WV","BOONE CO","","","","DANVILLE","","5048","54610005048"
"ADAM MARSH","D","","","","","","WV","BARBOUR CO","","","","MOATSVILLE","","5043","54610005043"
"ADAM R. YOUNG","D","","","","","","WV","NICHOLAS CO","","","","SUMMERSVILLE","","5181","54610005181"
"ALEX X. MOONEY","R","","","","","","WV","JEFFERSON CO","","","","CHARLES TOWN","","5007","54610005007"
"ALLEN V. EVANS","R","","","","","","WV","GRANT CO","","","","DORCAS","","5243","54610005243"
"AMANDA PASDON","R","","","","","","WV","MONONGALIA CO","","","","MORGANTOWN","","5236","54610005236"
"AMY SUMMERS","R","","","","","","WV","TAYLOR CO","","","","FLEMINGTON","","5215","54610005215"
"ANDREW D. BYRD","D","","","","","","WV","KANAWHA CO","","","","SO. CHARLESTON","","5156","54610005156"
"ANNA BORDER","R","","","","","","WV","WOOD CO","","","","DAVISVILLE","","5300","54610005300"
"ANTHONY P. TONY BARILL","D","","","","","","WV","MONONGALIA CO","","","","MORGANTOWN","","5227","54610005227"
"BARBARA "BOBBIE" HATFIELD","D","","","","","","WV","KANAWHA CO","","","","SO. CHARLESTON","","5159","54610005159"
"BARBARA EVANS FLEISCHAUER","D","","","","","","WV","MONONGALIA CO","","","","MORGANTOWN","","5231","54610005231"
"BARRY BLEDSOE","R","","","","","","WV","MARION CO","","","","FAIRMONT","","5216","54610005216"
"BARRY L. BROWN","D","","","","","","WV","BOONE CO","","","","BOB WHITE","","5100","54610005100"
"BILL  FLANIGAN","R","","","","","","WV","MONONGALIA CO","","","","MORGANTOWN","","5230","54610005230"
"BILL ANDERSON","R","","","","","","WV","WOOD CO","","","","WILLIAMSTOWN","","5298","54610005298"
"BILL HAMILTON","R","","","","","","WV","UPSHUR CO","","","","BUCKHANNON","","5197","54610005197"
