"name","title","phone","fax","email","id"
"ADAMS COUNTY","","(937) 544-2633","(937) 544-5111","adams@OhioSecretaryofState.gov","3910001"
"ALLEN COUNTY","","(419) 223-8530","(419) 222-0311","allen@OhioSecretaryofState.govÿ","3910002"
"ASHLAND COUNTY","","(419) 282-4224","(419) 282-4260","ashland@OhioSecretaryofState.govÿ","3910003"
"ASHTABULA COUNTY","","(440) 576-6915","(440) 576-1445","elections@co.ashtabula.oh.usÿ","3910004"
"ATHENS COUNTY","","(740) 592-3201","(740) 592-3262","athens@OhioSecretaryofState.gov","3910005"
"AUGLAIZE COUNTY","","(419) 739-6720","(419) 739-6721","auglaize@OhioSecretaryofState.govÿ","3910006"
"BELMONT COUNTY","","(740) 526-0188","(740) 526-0512","belmont@OhioSecretaryofState.gov","3910007"
"BROWN COUNTY","","(937) 378-3008","(937) 378-6457","brown@OhioSecretaryofState.govÿ","3910008"
"BUTLER COUNTY","","(513) 887-3700","(513) 887-5535","butler@OhioSecretaryofState.govÿ","3910009"
"CARROLL COUNTY","","(330) 627-2610","(330) 627-5387","carroll@OhioSecretaryofState.gov","39100010"
"CHAMPAIGN COUNTY","","(937) 484-1575","(937) 484-1578","champaig@OhioSecretaryofState.govÿ","39100011"
"CLARK COUNTY","","(937) 521-2120","(937) 328-2603","elections@clarkcountyohio.govÿ","39100012"
"CLERMONT COUNTY","","(513) 732-7275","(513) 732-7330","elections@clermontcountyohio.govÿ","39100013"
"CLINTON COUNTY","","(937) 382-3537","(937) 383-3538","vote@cinci.rr.comÿ","39100014"
"COLUMBIANA COUNTY","","(330) 424-1448","(330) 424-6661","info@columbianaboe.orgÿ","39100015"
"COSHOCTON COUNTY","","(740) 622-1117","(740) 623-6524","coshocto@OhioSecretaryofState.gov","39100016"
"CRAWFORD COUNTY","","(419) 562-8721","(419) 562-2235","crawford@OhioSecretaryofState.govÿ","39100017"
"CUYAHOGA COUNTY","","(216) 443-3200","(216) 443-6633","electioninfo@cuyahogacounty.usÿ","39100018"
"DARKE COUNTY","","(937) 548-1835ÿ","(937) 548-2820","darke@OhioSecretaryofState.govÿ","39100019"
"DEFIANCE COUNTY","","(419) 782-8543","(419) 782-5773","defiance@OhioSecretaryofState.govÿ","39100020"
"DELAWARE COUNTY","","(740) 833-2080","(740) 833-2079","boe@co.delaware.oh.usÿ","39100021"
"ERIE COUNTY","","(419) 627-7601","(419) 626-0034","erie@OhioSecretaryofState.govÿ","39100022"
"FAIRFIELD COUNTY","","(740) 652-7000ÿ","(740) 681-4727","fairfiel@OhioSecretaryofState.govÿ","39100023"
"FAYETTE COUNTY","","(740) 335-1190","(740) 333-3574","fayette@OhioSecretaryofState.govÿ","39100024"
"FRANKLIN COUNTY","","(614) 525-3100ÿ","(614) 525-3489","boe@franklincountyohio.govÿ","39100025"
"FULTON COUNTY","","(419) 335-6841","(419) 337-2363","fulton@OhioSecretaryofState.govÿ","39100026"
"GALLIA COUNTY","","(740) 446-1600","(740) 441-2049","gallia@OhioSecretaryofState.gov","39100027"
"GEAUGA COUNTY","","(440) 279-2030","(440) 285-0959ÿ","geauga@OhioSecretaryofState.govÿ","39100028"
"GREENE COUNTY","","(937) 562-6170","(937) 562-6171","greene@OhioSecretaryofState.govÿ","39100029"
"GUERNSEY COUNTY","","(740) 432-2680ÿ","(740) 432-6784","guernsey@OhioSecretaryofState.govÿ","39100030"
"HAMILTON COUNTY","","(513) 632-7000","(513) 579-0988","hamilton@OhioSecretaryofState.govÿ","39100031"
"HANCOCK COUNTY","","(419) 422-3245ÿ","(419) 424-7293","bdelections@co.hancock.oh.usÿ","39100032"
"HARDIN COUNTY","","(419) 674-2211ÿ","(419) 674-2213","hardin@OhioSecretaryofState.govÿ","39100033"
"HARRISON COUNTY","","(740) 942-8866ÿ","(740) 942-8531","harrison@OhioSecretaryofState.gov","39100034"
"HENRY COUNTY","","(419) 592-7956ÿ","(419) 592-7957","boardofelections@henrycountyohio.comÿ","39100035"
"HIGHLAND COUNTY","","(937) 393-9961ÿ","(937) 393-5854","highland@OhioSecretaryofState.gov","39100036"
"HOCKING COUNTY","","(740) 380-8683","(740) 380-3712","hocking@OhioSecretaryofState.gov","39100037"
"HOLMES COUNTY","","(330) 674-5921ÿ","(330) 674-5978","holmes@OhioSecretaryofState.govÿ","39100038"
"HURON COUNTY","","(419) 668-8238","(419) 668-8710","huron@OhioSecretaryofState.gov","39100039"
"JACKSON COUNTY","","(740) 286-2905","(740) 288-3631","jackson@OhioSecretaryofState.gov","39100040"
"JEFFERSON COUNTY","","(740) 283-8522ÿ","(740) 283-8640","jefferso@OhioSecretaryofState.govÿ","39100041"
"KNOX COUNTY","","(740) 393-6716ÿ","(740) 393-6717","knox@OhioSecretaryofState.gov","39100042"
"LAKE COUNTY","","(440) 350-2700ÿ","(440) 350-2670","lake@OhioSecretaryofState.govÿ","39100043"
"LAWRENCE COUNTY","","(740) 532-0444","(740) 533-2730","lawrence@OhioSecretaryofState.govÿ","39100044"
"LICKING COUNTY","","(740) 670-5080","(740) 670-5081","licking@OhioSecretaryofState.govÿ","39100045"
"LOGAN COUNTY","","(937) 599-7255","(937) 599-7270","elections@co.logan.oh.usÿ","39100046"
"LORAIN COUNTY","","(440) 326-5900","Fax (440) 326-5931ÿ","lorain@OhioSecretaryofState.govÿ","39100047"
"LUCAS COUNTY","","(419) 213-4001ÿ","(419) 213-4069","lucas@ohiosecretaryofstate.govÿ","39100048"
"MADISON COUNTY","","(740) 852-9424ÿ","(740) 852-7131","electionboard@co.madison.oh.usÿ","39100049"
"MAHONING COUNTY","","(330) 783-2474","(330) 783-2801","mahoning@OhioSecretaryofState.govÿ","39100050"
"MARION COUNTY","","(740) 223-4090ÿ","(740) 223-4099","marion@OhioSecretaryofState.govÿ","39100051"
"MEDINA COUNTY","","(330) 722-9278ÿ","(330) 722-9299","medina@OhioSecretaryofState.govÿ","39100052"
"MEIGS COUNTY","","(740) 992-2697ÿ","(740) 992-2645","meigs@OhioSecretaryofState.gov","39100053"
"MERCER COUNTY","","(419) 586-2215ÿ","(419) 586-2748","mercer@OhioSecretaryofState.govÿ","39100054"
"MIAMI COUNTY","","(937) 440-3900ÿ","(937) 440-3901","elections55@co.miami.oh.usÿ","39100055"
"MONROE COUNTY","","(740) 472-0929ÿ","(740) 472-2517","monroe@OhioSecretaryofState.gov","39100056"
"MONTGOMERY COUNTY","","(937) 225-5656ÿ","(937) 496-7798","mcboe@mcohio.orgÿ","39100057"
"MORGAN COUNTY","","(740) 962-3116ÿ","(740) 962-3099","morgan@OhioSecretaryofState.gov","39100058"
"MORROW COUNTY","","(419) 946-4026ÿ","(419) 946-9861","morrow@OhioSecretaryofState.gov","39100059"
